local,codigo,Total_Crimes
Arcos de Valdevez,1111601,643.0
Caminha,1111602,591.0
Melgaço,1111603,317.0
Monção,1111604,329.0
Paredes de Coura,1111605,241.0
Ponte da Barca,1111606,325.0
Ponte de Lima,1111607,921.0
Valença,1111608,524.0
Viana do Castelo,1111609,2520.0
Vila Nova de Cerveira,1111610,330.0
Amares,1120301,355.0
Barcelos,1120302,1906.0
Braga,1120303,4675.0
Esposende,1120306,1012.0
Terras de Bouro,1120310,206.0
Vila Verde,1120313,1308.0
Cabeceiras de Basto,1190304,348.0
Fafe,1190307,1281.0
Guimarães,1190308,3032.0
Mondim de Basto,1191705,152.0
Póvoa de Lanhoso,1190309,578.0
Vieira do Minho,1190311,266.0
Vila Nova de Famalicão,1190312,2757.0
Vizela,1190314,411.0
Arouca,11A0104,304.0
Espinho,11A0107,1069.0
Gondomar,11A1304,3256.0
Maia,11A1306,4048.0
Matosinhos,11A1308,5202.0
Oliveira de Azeméis,11A0113,1234.0
Paredes,11A1310,1956.0
Porto,11A1312,15310.0
Póvoa de Varzim,11A1313,1504.0
Santa Maria da Feira,11A0109,2970.0
Santo Tirso,11A1314,1444.0
São João da Madeira,11A0116,657.0
Trofa,11A1318,719.0
Vale de Cambra,11A0119,611.0
Valongo,11A1315,2159.0
Vila do Conde,11A1316,2229.0
Vila Nova de Gaia,11A1317,8217.0
Boticas,11B1702,113.0
Chaves,11B1703,1113.0
Montalegre,11B1706,254.0
Ribeira de Pena,11B1709,151.0
Valpaços,11B1712,449.0
Vila Pouca de Aguiar,11B1713,251.0
Amarante,11C1301,1034.0
Baião,11C1302,421.0
Castelo de Paiva,11C0106,269.0
Celorico de Basto,11C0305,328.0
Cinfães,11C1804,337.0
Felgueiras,11C1303,1424.0
Lousada,11C1305,962.0
Marco de Canaveses,11C1307,1173.0
Paços de Ferreira,11C1309,1255.0
Penafiel,11C1311,1606.0
Resende,11C1813,213.0
Alijó,11D1701,229.0
Armamar,11D1801,117.0
Carrazeda de Ansiães,11D0403,116.0
Freixo de Espada à Cinta,11D0404,126.0
Lamego,11D1805,522.0
Mesão Frio,11D1704,96.0
Moimenta da Beira,11D1807,294.0
Murça,11D1707,112.0
Penedono,11D1812,45.0
Peso da Régua,11D1708,308.0
Sabrosa,11D1710,102.0
Santa Marta de Penaguião,11D1711,95.0
São João da Pesqueira,11D1815,143.0
Sernancelhe,11D1818,81.0
Tabuaço,11D1819,89.0
Tarouca,11D1820,127.0
Torre de Moncorvo,11D0409,230.0
Vila Nova de Foz Côa,11D0914,239.0
Vila Real,11D1714,1205.0
Alfândega da Fé,11E0401,110.0
Bragança,11E0402,1012.0
Macedo de Cavaleiros,11E0405,364.0
Miranda do Douro,11E0406,187.0
Mirandela,11E0407,593.0
Mogadouro,11E0408,118.0
Vila Flor,11E0410,153.0
Vimioso,11E0411,108.0
Vinhais,11E0412,141.0
Águeda,1910101,1420.0
Albergaria-a-Velha,1910102,830.0
Anadia,1910103,648.0
Aveiro,1910105,2786.0
Estarreja,1910108,855.0
Ílhavo,1910110,1466.0
Murtosa,1910112,355.0
Oliveira do Bairro,1910114,889.0
Ovar,1910115,1561.0
Sever do Vouga,1910117,271.0
Vagos,1910118,554.0
Arganil,1920601,244.0
Cantanhede,1920602,1094.0
Coimbra,1920603,4003.0
Condeixa-a-Nova,1920604,211.0
Figueira da Foz,1920605,1579.0
Góis,1920606,96.0
Lousã,1920607,303.0
Mealhada,1920111,500.0
Mira,1920608,326.0
Miranda do Corvo,1920609,205.0
Montemor-o-Velho,1920610,425.0
Mortágua,1921808,210.0
Oliveira do Hospital,1920611,379.0
Pampilhosa da Serra,1920612,75.0
Penacova,1920613,241.0
Penela,1920614,125.0
Soure,1920615,250.0
Tábua,1920616,253.0
Vila Nova de Poiares,1920617,141.0
Alvaiázere,1931002,148.0
Ansião,1931003,230.0
Batalha,1931004,457.0
Castanheira de Pêra,1931007,100.0
Figueiró dos Vinhos,1931008,109.0
Leiria,1931009,3584.0
Marinha Grande,1931010,1258.0
Pedrógão Grande,1931013,78.0
Pombal,1931015,1164.0
Porto de Mós,1931016,690.0
Aguiar da Beira,1940901,140.0
Carregal do Sal,1941802,242.0
Castro Daire,1941803,250.0
Mangualde,1941806,586.0
Nelas,1941809,333.0
Oliveira de Frades,1941810,267.0
Penalva do Castelo,1941811,132.0
Santa Comba Dão,1941814,307.0
São Pedro do Sul,1941816,320.0
Sátão,1941817,169.0
Tondela,1941821,578.0
Vila Nova de Paiva,1941822,79.0
Viseu,1941823,2671.0
Vouzela,1941824,234.0
Castelo Branco,1950502,1750.0
Idanha-a-Nova,1950505,424.0
Oleiros,1950506,144.0
Penamacor,1950507,202.0
Proença-a-Nova,1950508,216.0
Sertã,1950509,490.0
Vila de Rei,1950510,62.0
Vila Velha de Ródão,1950511,119.0
Almeida,1960902,280.0
Belmonte,1960501,269.0
Celorico da Beira,1960903,171.0
Covilhã,1960503,1534.0
Figueira de Castelo Rodrigo,1960904,211.0
Fornos de Algodres,1960905,121.0
Fundão,1960504,1159.0
Gouveia,1960906,299.0
Guarda,1960907,988.0
Manteigas,1960908,84.0
Mêda,1960909,113.0
Pinhel,1960910,199.0
Sabugal,1960911,301.0
Seia,1960912,774.0
Trancoso,1960913,173.0
Alcobaça,1D11001,1402.0
Alenquer,1D11101,1314.0
Arruda dos Vinhos,1D11102,402.0
Bombarral,1D11005,348.0
Cadaval,1D11104,332.0
Caldas da Rainha,1D11006,1339.0
Lourinhã,1D11108,793.0
Nazaré,1D11011,604.0
Óbidos,1D11012,365.0
Peniche,1D11014,1045.0
Sobral de Monte Agraço,1D11112,403.0
Torres Vedras,1D11113,2300.0
Abrantes,1D21401,840.0
Alcanena,1D21402,358.0
Constância,1D21408,89.0
Entroncamento,1D21410,912.0
Ferreira do Zêzere,1D21411,188.0
Mação,1D21413,215.0
Ourém,1D21421,1252.0
Sardoal,1D21417,107.0
Tomar,1D21418,1143.0
Torres Novas,1D21419,1036.0
Vila Nova da Barquinha,1D21420,215.0
Almeirim,1D31403,895.0
Alpiarça,1D31404,340.0
Azambuja,1D31103,983.0
Benavente,1D31405,1072.0
Cartaxo,1D31406,694.0
Chamusca,1D31407,249.0
Coruche,1D31409,633.0
Golegã,1D31412,186.0
Rio Maior,1D31414,861.0
Salvaterra de Magos,1D31415,788.0
Santarém,1D31416,1666.0
Amadora,1A01115,5241.0
Cascais,1A01105,6281.0
Lisboa,1A01106,30853.0
Loures,1A01107,6210.0
Mafra,1A01109,2340.0
Odivelas,1A01116,2803.0
Oeiras,1A01110,4729.0
Sintra,1A01111,11383.0
Vila Franca de Xira,1A01114,3321.0
Alcochete,1B01502,606.0
Almada,1B01503,7439.0
Barreiro,1B01504,3286.0
Moita,1B01506,2403.0
Montijo,1B01507,2324.0
Palmela,1B01508,2493.0
Seixal,1B01510,4548.0
Sesimbra,1B01511,2092.0
Setúbal,1B01512,4226.0
Alcácer do Sal,1C11501,615.0
Grândola,1C11505,714.0
