local,codigo,Idade da população residente
Arcos de Valdevez,1111601,33.1
Caminha,1111602,30.5
Melgaço,1111603,39.8
Monção,1111604,33.4
Paredes de Coura,1111605,31.5
Ponte da Barca,1111606,30
Ponte de Lima,1111607,27.6
Valença,1111608,28.2
Viana do Castelo,1111609,28.4
Vila Nova de Cerveira,1111610,28.6
Amares,1120301,26.1
Barcelos,1120302,26.4
Braga,1120303,25.5
Esposende,1120306,25.7
Terras de Bouro,1120310,30
Vila Verde,1120313,25.7
Cabeceiras de Basto,1190304,26.7
Fafe,1190307,27.9
Guimarães,1190308,27.1
Mondim de Basto,1191705,29.9
Póvoa de Lanhoso,1190309,27
Vieira do Minho,1190311,31.1
Vila Nova de Famalicão,1190312,26.5
Vizela,1190314,26.1
Arouca,11A0104,27.2
Espinho,11A0107,29.3
Gondomar,11A1304,27
Maia,11A1306,25.8
Matosinhos,11A1308,27.8
Oliveira de Azeméis,11A0113,28.4
Paredes,11A1310,24.7
Porto,11A1312,28
Póvoa de Varzim,11A1313,25.8
Santa Maria da Feira,11A0109,27.1
Santo Tirso,11A1314,29.4
São João da Madeira,11A0116,27.5
Trofa,11A1318,26.9
Vale de Cambra,11A0119,30.7
Valongo,11A1315,26
Vila do Conde,11A1316,25.9
Vila Nova de Gaia,11A1317,27
Boticas,11B1702,37
Chaves,11B1703,33
Montalegre,11B1706,38.2
Ribeira de Pena,11B1709,32.1
Valpaços,11B1712,37.4
Vila Pouca de Aguiar,11B1713,34.8
Amarante,11C1301,27.3
Baião,11C1302,28.3
Castelo de Paiva,11C0106,26.9
Celorico de Basto,11C0305,27.8
Cinfães,11C1804,28.5
Felgueiras,11C1303,26.3
Lousada,11C1305,24.6
Marco de Canaveses,11C1307,25.6
Paços de Ferreira,11C1309,25.1
Penafiel,11C1311,25.3
Resende,11C1813,29.1
Alijó,11D1701,33.6
Armamar,11D1801,31.5
Carrazeda de Ansiães,11D0403,35.9
Freixo de Espada à Cinta,11D0404,32.1
Lamego,11D1805,30.3
Mesão Frio,11D1704,30.1
Moimenta da Beira,11D1807,28.5
Murça,11D1707,34.4
Penedono,11D1812,32
Peso da Régua,11D1708,30
Sabrosa,11D1710,32.2
Santa Marta de Penaguião,11D1711,32.9
São João da Pesqueira,11D1815,30
Sernancelhe,11D1818,32.3
Tabuaço,11D1819,32
Tarouca,11D1820,27.3
Torre de Moncorvo,11D0409,37.6
Vila Nova de Foz Côa,11D0914,34.8
Vila Real,11D1714,28
Alfândega da Fé,11E0401,34.8
Bragança,11E0402,28.6
Macedo de Cavaleiros,11E0405,33.7
Miranda do Douro,11E0406,37.5
Mirandela,11E0407,31.6
Mogadouro,11E0408,37
Vila Flor,11E0410,33.8
Vimioso,11E0411,38
Vinhais,11E0412,42.6
Águeda,1910101,28.5
Albergaria-a-Velha,1910102,26.9
Anadia,1910103,30
Aveiro,1910105,26.8
Estarreja,1910108,27.3
Ílhavo,1910110,26.3
Murtosa,1910112,26.3
Oliveira do Bairro,1910114,25.7
Ovar,1910115,27
Sever do Vouga,1910117,30.2
Vagos,1910118,26.6
Arganil,1920601,32.1
Cantanhede,1920602,29.7
Coimbra,1920603,28.4
Condeixa-a-Nova,1920604,26.3
Figueira da Foz,1920605,29.6
Góis,1920606,35.9
Lousã,1920607,26.8
Mealhada,1920111,29.1
Mira,1920608,29.6
Miranda do Corvo,1920609,29.4
Montemor-o-Velho,1920610,29.1
Mortágua,1921808,33.2
Oliveira do Hospital,1920611,29.4
Pampilhosa da Serra,1920612,40.3
Penacova,1920613,33.4
Penela,1920614,30.6
Soure,1920615,32.3
Tábua,1920616,29.4
Vila Nova de Poiares,1920617,28.5
Alvaiázere,1931002,34
Ansião,1931003,31.3
Batalha,1931004,25.6
Castanheira de Pêra,1931007,34.1
Figueiró dos Vinhos,1931008,34.6
Leiria,1931009,26.3
Marinha Grande,1931010,26.7
Pedrógão Grande,1931013,33.1
Pombal,1931015,28.6
Porto de Mós,1931016,27
Aguiar da Beira,1940901,34.4
Carregal do Sal,1941802,29.4
Castro Daire,1941803,31.9
Mangualde,1941806,29.1
Nelas,1941809,29.2
Oliveira de Frades,1941810,27.3
Penalva do Castelo,1941811,32.1
Santa Comba Dão,1941814,30.4
São Pedro do Sul,1941816,30.7
Sátão,1941817,29.4
Tondela,1941821,31.2
Vila Nova de Paiva,1941822,31
Viseu,1941823,26.6
Vouzela,1941824,30.8
Castelo Branco,1950502,29.5
Idanha-a-Nova,1950505,35.5
Oleiros,1950506,41.6
Penamacor,1950507,39.5
Proença-a-Nova,1950508,35.9
Sertã,1950509,30.4
Vila de Rei,1950510,31.5
Vila Velha de Ródão,1950511,36
Almeida,1960902,40.8
Belmonte,1960501,32
Celorico da Beira,1960903,33.3
Covilhã,1960503,30.8
Figueira de Castelo Rodrigo,1960904,33.4
Fornos de Algodres,1960905,33.7
Fundão,1960504,31.5
Gouveia,1960906,34.8
Guarda,1960907,28.9
Manteigas,1960908,33.8
Mêda,1960909,36
Pinhel,1960910,37.1
Sabugal,1960911,38.7
Seia,1960912,34
Trancoso,1960913,35.5
Alcobaça,1D11001,27.7
Alenquer,1D11101,24.2
Arruda dos Vinhos,1D11102,22.9
Bombarral,1D11005,27.7
Cadaval,1D11104,28
Caldas da Rainha,1D11006,27.3
Lourinhã,1D11108,26.2
Nazaré,1D11011,27.6
Óbidos,1D11012,27.5
Peniche,1D11014,26.5
Sobral de Monte Agraço,1D11112,23.9
Torres Vedras,1D11113,26
Abrantes,1D21401,31.4
Alcanena,1D21402,28.4
Constância,1D21408,26.7
Entroncamento,1D21410,24.7
Ferreira do Zêzere,1D21411,29.9
Mação,1D21413,36.5
Ourém,1D21421,27.3
Sardoal,1D21417,31.9
Tomar,1D21418,30
Torres Novas,1D21419,28.2
Vila Nova da Barquinha,1D21420,26.8
Almeirim,1D31403,26.1
Alpiarça,1D31404,26.5
Azambuja,1D31103,26.4
Benavente,1D31405,23.8
Cartaxo,1D31406,26.9
Chamusca,1D31407,31.3
Coruche,1D31409,31
Golegã,1D31412,28.2
Rio Maior,1D31414,26
Salvaterra de Magos,1D31415,26.9
Santarém,1D31416,26.8
Amadora,1A01115,25.2
Cascais,1A01105,24.8
Lisboa,1A01106,26.6
Loures,1A01107,24.4
Mafra,1A01109,22.8
Odivelas,1A01116,24.3
Oeiras,1A01110,25.4
Sintra,1A01111,23.9
Vila Franca de Xira,1A01114,24
Alcochete,1B01502,22.7
Almada,1B01503,25.7
Barreiro,1B01504,26.1
Moita,1B01506,24
Montijo,1B01507,23.3
Palmela,1B01508,24.4
Seixal,1B01510,24.5
Sesimbra,1B01511,24.3
Setúbal,1B01512,25
Alcácer do Sal,1C11501,30.6
