local,codigo,Indice Renovacao
Arcos de Valdevez,1111601,66.1
Caminha,1111602,64.3
Melgaço,1111603,48.9
Monção,1111604,57.1
Paredes de Coura,1111605,60.6
Ponte da Barca,1111606,68.5
Ponte de Lima,1111607,75.5
Valença,1111608,74.0
Viana do Castelo,1111609,68.8
Vila Nova de Cerveira,1111610,79.8
Amares,1120301,84.1
Barcelos,1120302,80.3
Braga,1120303,81.6
Esposende,1120306,79.6
Terras de Bouro,1120310,68.8
Vila Verde,1120313,85.7
Cabeceiras de Basto,1190304,77.0
Fafe,1190307,71.8
Guimarães,1190308,71.8
Mondim de Basto,1191705,67.2
Póvoa de Lanhoso,1190309,74.8
Vieira do Minho,1190311,65.0
Vila Nova de Famalicão,1190312,76.5
Vizela,1190314,78.7
Arouca,11A0104,70.2
Espinho,11A0107,67.8
Gondomar,11A1304,72.2
Maia,11A1306,77.1
Matosinhos,11A1308,70.0
Oliveira de Azeméis,11A0113,67.8
Paredes,11A1310,82.9
Porto,11A1312,87.2
Póvoa de Varzim,11A1313,83.4
Santa Maria da Feira,11A0109,70.4
Santo Tirso,11A1314,66.1
São João da Madeira,11A0116,74.5
Trofa,11A1318,76.9
Vale de Cambra,11A0119,64.2
Valongo,11A1315,80.4
Vila do Conde,11A1316,75.7
Vila Nova de Gaia,11A1317,72.3
Boticas,11B1702,46.0
Chaves,11B1703,56.5
Montalegre,11B1706,47.6
Ribeira de Pena,11B1709,57.1
Valpaços,11B1712,49.0
Vila Pouca de Aguiar,11B1713,52.2
Amarante,11C1301,70.2
Baião,11C1302,64.4
Castelo de Paiva,11C0106,73.7
Celorico de Basto,11C0305,71.2
Cinfães,11C1804,67.9
Felgueiras,11C1303,78.6
Lousada,11C1305,86.2
Marco de Canaveses,11C1307,80.4
Paços de Ferreira,11C1309,83.4
Penafiel,11C1311,79.7
Resende,11C1813,62.4
Alijó,11D1701,53.6
Armamar,11D1801,58.6
Carrazeda de Ansiães,11D0403,51.9
Freixo de Espada à Cinta,11D0404,72.9
Lamego,11D1805,58.5
Mesão Frio,11D1704,67.1
Moimenta da Beira,11D1807,69.0
Murça,11D1707,57.7
Penedono,11D1812,67.0
Peso da Régua,11D1708,60.8
Sabrosa,11D1710,63.8
Santa Marta de Penaguião,11D1711,64.6
São João da Pesqueira,11D1815,62.0
Sernancelhe,11D1818,60.4
Tabuaço,11D1819,59.5
Tarouca,11D1820,67.2
Torre de Moncorvo,11D0409,49.8
Vila Nova de Foz Côa,11D0914,56.1
Vila Real,11D1714,66.8
Alfândega da Fé,11E0401,51.9
Bragança,11E0402,81.1
Macedo de Cavaleiros,11E0405,57.0
Miranda do Douro,11E0406,53.9
Mirandela,11E0407,66.8
Mogadouro,11E0408,47.8
Vila Flor,11E0410,59.6
Vimioso,11E0411,57.5
Vinhais,11E0412,41.9
Alcobaça,16B1001,74.2
Alenquer,16B1101,89.5
Arruda dos Vinhos,16B1102,87.2
Bombarral,16B1005,75.3
Cadaval,16B1104,79.4
Caldas da Rainha,16B1006,76.8
Lourinhã,16B1108,79.4
Nazaré,16B1011,72.2
Óbidos,16B1012,74.9
Peniche,16B1014,72.9
Sobral de Monte Agraço,16B1112,91.2
Torres Vedras,16B1113,81.9
Águeda,16D0101,68.3
Albergaria-a-Velha,16D0102,76.4
Anadia,16D0103,68.5
Aveiro,16D0105,83.2
Estarreja,16D0108,71.2
Ílhavo,16D0110,75.4
Murtosa,16D0112,78.7
Oliveira do Bairro,16D0114,90.2
Ovar,16D0115,75.5
Sever do Vouga,16D0117,66.2
Vagos,16D0118,79.8
Arganil,16E0601,57.3
Cantanhede,16E0602,68.3
Coimbra,16E0603,73.4
Condeixa-a-Nova,16E0604,69.3
Figueira da Foz,16E0605,64.2
Góis,16E0606,60.5
Lousã,16E0607,73.8
Mealhada,16E0111,68.9
Mira,16E0608,67.7
Miranda do Corvo,16E0609,65.5
Montemor-o-Velho,16E0610,62.7
Mortágua,16E1808,63.2
Oliveira do Hospital,16E0611,66.4
Pampilhosa da Serra,16E0612,41.6
Penacova,16E0613,58.0
Penela,16E0614,63.0
Soure,16E0615,64.3
Tábua,16E0616,67.8
Vila Nova de Poiares,16E0617,73.3
Alvaiázere,16F1002,54.4
Ansião,16F1003,61.9
Batalha,16F1004,78.4
Castanheira de Pêra,16F1007,66.6
Figueiró dos Vinhos,16F1008,53.0
Leiria,16F1009,79.1
Marinha Grande,16F1010,77.9
Pedrógão Grande,16F1013,58.6
Pombal,16F1015,70.0
Porto de Mós,16F1016,78.1
Aguiar da Beira,16G0901,58.6
Carregal do Sal,16G1802,67.9
Castro Daire,16G1803,61.0
Mangualde,16G1806,69.7
Nelas,16G1809,70.7
Oliveira de Frades,16G1810,75.1
Penalva do Castelo,16G1811,67.3
Santa Comba Dão,16G1814,70.0
São Pedro do Sul,16G1816,71.0
Sátão,16G1817,71.7
Tondela,16G1821,65.6
Vila Nova de Paiva,16G1822,68.1
Viseu,16G1823,80.1
Vouzela,16G1824,70.8
Castelo Branco,16H0502,64.7
Idanha-a-Nova,16H0505,57.9
Oleiros,16H0506,47.4
Penamacor,16H0507,46.8
Proença-a-Nova,16H0508,53.9
Vila Velha de Ródão,16H0511,56.2
Abrantes,16I1401,57.2
Alcanena,16I1402,64.2
Constância,16I1408,68.1
Entroncamento,16I1410,77.5
Ferreira do Zêzere,16I1411,67.1
Mação,16I1413,54.6
Ourém,16I1421,77.2
Sardoal,16I1417,65.8
Sertã,16I0509,63.8
Tomar,16I1418,64.7
Torres Novas,16I1419,67.2
Vila de Rei,16I0510,83.0
Vila Nova da Barquinha,16I1420,74.2
Almeida,16J0902,50.7
Belmonte,16J0501,59.2
Celorico da Beira,16J0903,61.6
Covilhã,16J0503,64.5
Figueira de Castelo Rodrigo,16J0904,57.1
Fornos de Algodres,16J0905,52.8
Fundão,16J0504,63.2
Gouveia,16J0906,55.1
Guarda,16J0907,65.4
Manteigas,16J0908,63.0
Mêda,16J0909,53.7
Pinhel,16J0910,50.8
Sabugal,16J0911,51.1
Seia,16J0912,54.6
Trancoso,16J0913,54.5
Alcochete,1701502,82.8
Almada,1701503,82.4
Amadora,1701115,91.0
Barreiro,1701504,85.1
Cascais,1701105,76.5
Lisboa,1701106,93.0
Loures,1701107,87.3
Mafra,1701109,83.4
Moita,1701506,86.4
Montijo,1701507,92.1
Odivelas,1701116,90.6
Oeiras,1701110,82.2
Palmela,1701508,84.2
Seixal,1701510,87.7
Sesimbra,1701511,81.9
Setúbal,1701512,81.0
Sintra,1701111,87.9
Vila Franca de Xira,1701114,81.6
Alcácer do Sal,1811501,60.9
Grândola,1811505,72.6
Odemira,1810211,95.1
Santiago do Cacém,1811509,61.7
Sines,1811513,69.1
Aljustrel,1840201,60.5
Almodôvar,1840202,63.7
Alvito,1840203,77.4
Barrancos,1840204,54.0
Beja,1840205,74.0
Castro Verde,1840206,63.2
Cuba,1840207,69.0
Ferreira do Alentejo,1840208,76.4
Mértola,1840209,48.6
Moura,1840210,76.2
Ourique,1840212,61.1
Serpa,1840213,60.0
Vidigueira,1840214,74.0
Almeirim,1851403,75.9
Alpiarça,1851404,78.3
Azambuja,1851103,81.2
Benavente,1851405,88.0
Cartaxo,1851406,76.8
Chamusca,1851407,60.3
Coruche,1851409,58.7
Golegã,1851412,74.6
Rio Maior,1851414,82.4
Salvaterra de Magos,1851415,77.7
Santarém,1851416,74.8
Alter do Chão,1861201,67.5
Arronches,1861202,65.0
Avis,1861203,68.4
Campo Maior,1861204,80.6
Castelo de Vide,1861205,58.0
Crato,1861206,59.5
Elvas,1861207,68.4
Fronteira,1861208,61.2
Gavião,1861209,48.3
Marvão,1861210,55.7
Monforte,1861211,81.5
Nisa,1861212,51.9
Ponte de Sor,1861213,59.7
Portalegre,1861214,64.7
Sousel,1861215,71.5
Alandroal,1870701,51.9
Arraiolos,1870702,64.0
Borba,1870703,55.4
Estremoz,1870704,57.7
