local,codigo,Total_Pedidos_Residencia
Arcos de Valdevez,1111601,187
Caminha,1111602,400
Melgaço,1111603,61
Monção,1111604,451
Paredes de Coura,1111605,101
Ponte da Barca,1111606,66
Ponte de Lima,1111607,450
Valença,1111608,700
Viana do Castelo,1111609,2008
Vila Nova de Cerveira,1111610,316
Amares,1120301,275
Barcelos,1120302,1573
Braga,1120303,7530
Esposende,1120306,574
Terras de Bouro,1120310,37
Vila Verde,1120313,532
Cabeceiras de Basto,1190304,50
Fafe,1190307,438
Guimarães,1190308,2428
Mondim de Basto,1191705,22
Póvoa de Lanhoso,1190309,275
Vieira do Minho,1190311,50
Vila Nova de Famalicão,1190312,2179
Vizela,1190314,305
Arouca,11A0104,108
Espinho,11A0107,412
Gondomar,11A1304,1985
Maia,11A1306,2151
Matosinhos,11A1308,3472
Oliveira de Azeméis,11A0113,823
Paredes,11A1310,740
Porto,11A1312,14163
Póvoa de Varzim,11A1313,1664
Santa Maria da Feira,11A0109,922
Santo Tirso,11A1314,435
São João da Madeira,11A0116,851
Trofa,11A1318,620
Vale de Cambra,11A0119,318
Valongo,11A1315,908
Vila do Conde,11A1316,1138
Vila Nova de Gaia,11A1317,6171
Boticas,11B1702,30
Chaves,11B1703,534
Montalegre,11B1706,31
Ribeira de Pena,11B1709,55
Valpaços,11B1712,43
Vila Pouca de Aguiar,11B1713,80
Amarante,11C1301,369
Baião,11C1302,71
Castelo de Paiva,11C0106,120
Celorico de Basto,11C0305,48
Cinfães,11C1804,120
Felgueiras,11C1303,394
Lousada,11C1305,257
Marco de Canaveses,11C1307,410
Paços de Ferreira,11C1309,433
Penafiel,11C1311,388
Resende,11C1813,18
Alijó,11D1701,26
Armamar,11D1801,40
Carrazeda de Ansiães,11D0403,39
Freixo de Espada à Cinta,11D0404,26
Lamego,11D1805,142
Mesão Frio,11D1704,5
Moimenta da Beira,11D1807,127
Murça,11D1707,20
Penedono,11D1812,19
Peso da Régua,11D1708,57
Sabrosa,11D1710,9
Santa Marta de Penaguião,11D1711,12
São João da Pesqueira,11D1815,23
Sernancelhe,11D1818,81
Tabuaço,11D1819,30
Tarouca,11D1820,60
Torre de Moncorvo,11D0409,24
Vila Nova de Foz Côa,11D0914,39
Vila Real,11D1714,952
Alfândega da Fé,11E0401,26
Bragança,11E0402,1496
Macedo de Cavaleiros,11E0405,104
Miranda do Douro,11E0406,44
Mirandela,11E0407,293
Mogadouro,11E0408,28
Vila Flor,11E0410,28
Vimioso,11E0411,36
Vinhais,11E0412,18
Águeda,1910101,1461
Albergaria-a-Velha,1910102,422
Anadia,1910103,628
Aveiro,1910105,3477
Estarreja,1910108,379
Ílhavo,1910110,1076
Murtosa,1910112,121
Oliveira do Bairro,1910114,738
Ovar,1910115,692
Sever do Vouga,1910117,238
Vagos,1910118,549
Arganil,1920601,254
Cantanhede,1920602,416
Coimbra,1920603,5892
Condeixa-a-Nova,1920604,187
Figueira da Foz,1920605,1693
Góis,1920606,56
Lousã,1920607,261
Mealhada,1920111,233
Mira,1920608,246
Miranda do Corvo,1920609,152
Montemor-o-Velho,1920610,205
Mortágua,1921808,179
Oliveira do Hospital,1920611,283
Pampilhosa da Serra,1920612,13
Penacova,1920613,94
Penela,1920614,144
Soure,1920615,157
Tábua,1920616,153
Vila Nova de Poiares,1920617,131
Alvaiázere,1931002,109
Ansião,1931003,189
Batalha,1931004,706
Castanheira de Pêra,1931007,37
Figueiró dos Vinhos,1931008,93
Leiria,1931009,4889
Marinha Grande,1931010,1477
Pedrógão Grande,1931013,153
Pombal,1931015,1314
Porto de Mós,1931016,541
Aguiar da Beira,1940901,19
Carregal do Sal,1941802,113
Castro Daire,1941803,98
Mangualde,1941806,274
Nelas,1941809,220
Oliveira de Frades,1941810,299
Penalva do Castelo,1941811,31
Santa Comba Dão,1941814,132
São Pedro do Sul,1941816,308
Sátão,1941817,105
Tondela,1941821,373
Vila Nova de Paiva,1941822,20
Viseu,1941823,2437
Vouzela,1941824,103
Castelo Branco,1950502,1295
Idanha-a-Nova,1950505,187
Oleiros,1950506,67
Penamacor,1950507,88
Proença-a-Nova,1950508,108
Sertã,1950509,280
Vila de Rei,1950510,59
Vila Velha de Ródão,1950511,95
Almeida,1960902,67
Belmonte,1960501,53
Celorico da Beira,1960903,63
Covilhã,1960503,1336
Figueira de Castelo Rodrigo,1960904,7
Fornos de Algodres,1960905,16
Fundão,1960504,517
Gouveia,1960906,83
Guarda,1960907,572
Manteigas,1960908,31
Mêda,1960909,20
Pinhel,1960910,40
Sabugal,1960911,47
Seia,1960912,221
Trancoso,1960913,53
Alcobaça,1D11001,1537
Alenquer,1D11101,1740
Arruda dos Vinhos,1D11102,292
Bombarral,1D11005,316
Cadaval,1D11104,171
Caldas da Rainha,1D11006,2119
Lourinhã,1D11108,754
Nazaré,1D11011,711
Óbidos,1D11012,365
Peniche,1D11014,766
Sobral de Monte Agraço,1D11112,327
Torres Vedras,1D11113,2406
Abrantes,1D21401,482
Alcanena,1D21402,252
Constância,1D21408,26
Entroncamento,1D21410,1179
Ferreira do Zêzere,1D21411,115
Mação,1D21413,59
Ourém,1D21421,1033
Sardoal,1D21417,54
Tomar,1D21418,530
Torres Novas,1D21419,507
Vila Nova da Barquinha,1D21420,56
Almeirim,1D31403,473
Alpiarça,1D31404,71
Azambuja,1D31103,607
Benavente,1D31405,797
Cartaxo,1D31406,440
Chamusca,1D31407,65
Coruche,1D31409,95
Golegã,1D31412,82
Rio Maior,1D31414,824
Salvaterra de Magos,1D31415,201
Santarém,1D31416,2109
Amadora,1A01115,11124
Cascais,1A01105,9894
Lisboa,1A01106,51119
Loures,1A01107,11058
Mafra,1A01109,2983
Odivelas,1A01116,10709
Oeiras,1A01110,5371
Sintra,1A01111,19177
Vila Franca de Xira,1A01114,4390
Alcochete,1B01502,357
Almada,1B01503,8284
Barreiro,1B01504,3235
Moita,1B01506,3077
Montijo,1B01507,2863
Palmela,1B01508,1471
Seixal,1B01510,7770
Sesimbra,1B01511,1216
Setúbal,1B01512,4878
Alcácer do Sal,1C11501,219
Grândola,1C11505,434
Odemira,1C10211,3197
Santiago do Cacém,1C11509,557
Sines,1C11513,585
Aljustrel,1C20201,96
Almodôvar,1C20202,115
Alvito,1C20203,33
Barrancos,1C20204,6
Beja,1C20205,1084
Castro Verde,1C20206,102
Cuba,1C20207,61
Ferreira do Alentejo,1C20208,272
Mértola,1C20209,90
Moura,1C20210,41
Ourique,1C20212,75
Serpa,1C20213,252
Vidigueira,1C20214,73
Alter do Chão,1C31201,36
Arronches,1C31202,11
Avis,1C31203,15
Campo Maior,1C31204,42
Castelo de Vide,1C31205,20
Crato,1C31206,22
Elvas,1C31207,201
Fronteira,1C31208,35
Gavião,1C31209,3
Marvão,1C31210,41
Monforte,1C31211,18
Nisa,1C31212,36
Ponte de Sor,1C31213,145
Portalegre,1C31214,350
Sousel,1C31215,62
Alandroal,1C40701,79
Arraiolos,1C40702,31
Borba,1C40703,32
Estremoz,1C40704,119
Évora,1C40705,1321
Montemor-o-Novo,1C40706,299
Mora,1C40707,24
Mourão,1C40708,16
Portel,1C40709,52
Redondo,1C40710,29
Reguengos de Monsaraz,1C40711,53
Vendas Novas,1C40712,230
Viana do Alentejo,1C40713,46
Vila Viçosa,1C40714,61
Albufeira,1500801,4376
Alcoutim,1500802,52
Aljezur,1500803,515
Castro Marim,1500804,256
Faro,1500805,2943
Lagoa,1500806,1377
Lagos,1500807,2948
Loulé,1500808,4953
Monchique,1500809,192
Olhão,1500810,1074
Portimão,1500811,3802
São Brás de Alportel,1500812,292
Silves,1500813,1911
Tavira,1500814,1752
