local,codigo,Saldo migratório
Arcos de Valdevez,1111601,403.0
Caminha,1111602,332.0
Melgaço,1111603,134.0
Monção,1111604,310.0
Paredes de Coura,1111605,115.0
Ponte da Barca,1111606,161.0
Ponte de Lima,1111607,276.0
Valença,1111608,295.0
Viana do Castelo,1111609,822.0
Vila Nova de Cerveira,1111610,194.0
Amares,1120301,388.0
Barcelos,1120302,446.0
Braga,1120303,3098.0
Esposende,1120306,677.0
Terras de Bouro,1120310,84.0
Vila Verde,1120313,741.0
Cabeceiras de Basto,1190304,149.0
Fafe,1190307,285.0
Guimarães,1190308,509.0
Mondim de Basto,1191705,55.0
Póvoa de Lanhoso,1190309,418.0
Vieira do Minho,1190311,168.0
Vila Nova de Famalicão,1190312,1088.0
Vizela,1190314,186.0
Arouca,11A0104,37.0
Espinho,11A0107,689.0
Gondomar,11A1304,1668.0
Maia,11A1306,2463.0
Matosinhos,11A1308,2861.0
Oliveira de Azeméis,11A0113,629.0
Paredes,11A1310,586.0
Porto,11A1312,6748.0
Póvoa de Varzim,11A1313,1439.0
Santa Maria da Feira,11A0109,1498.0
Santo Tirso,11A1314,437.0
São João da Madeira,11A0116,563.0
Trofa,11A1318,457.0
Vale de Cambra,11A0119,137.0
Valongo,11A1315,1817.0
Vila do Conde,11A1316,1479.0
Vila Nova de Gaia,11A1317,3228.0
Boticas,11B1702,50.0
Chaves,11B1703,457.0
Montalegre,11B1706,155.0
Ribeira de Pena,11B1709,81.0
Valpaços,11B1712,248.0
Vila Pouca de Aguiar,11B1713,174.0
Amarante,11C1301,359.0
Baião,11C1302,61.0
Castelo de Paiva,11C0106,102.0
Celorico de Basto,11C0305,188.0
Cinfães,11C1804,46.0
Felgueiras,11C1303,0.0
Lousada,11C1305,396.0
Marco de Canaveses,11C1307,196.0
Paços de Ferreira,11C1309,106.0
Penafiel,11C1311,467.0
Resende,11C1813,-17.0
Alijó,11D1701,87.0
Armamar,11D1801,37.0
Carrazeda de Ansiães,11D0403,68.0
Freixo de Espada à Cinta,11D0404,18.0
Lamego,11D1805,145.0
Mesão Frio,11D1704,12.0
Moimenta da Beira,11D1807,184.0
Murça,11D1707,93.0
Penedono,11D1812,37.0
Peso da Régua,11D1708,62.0
Sabrosa,11D1710,80.0
Santa Marta de Penaguião,11D1711,59.0
São João da Pesqueira,11D1815,45.0
Sernancelhe,11D1818,128.0
Tabuaço,11D1819,48.0
Tarouca,11D1820,180.0
Torre de Moncorvo,11D0409,72.0
Vila Nova de Foz Côa,11D0914,123.0
Vila Real,11D1714,503.0
Alfândega da Fé,11E0401,32.0
Bragança,11E0402,618.0
Macedo de Cavaleiros,11E0405,234.0
Miranda do Douro,11E0406,28.0
Mirandela,11E0407,261.0
Mogadouro,11E0408,62.0
Vila Flor,11E0410,81.0
Vimioso,11E0411,94.0
Vinhais,11E0412,70.0
Águeda,1910101,785.0
Albergaria-a-Velha,1910102,521.0
Anadia,1910103,540.0
Aveiro,1910105,2394.0
Estarreja,1910108,550.0
Ílhavo,1910110,1294.0
Murtosa,1910112,358.0
Oliveira do Bairro,1910114,864.0
Ovar,1910115,934.0
Sever do Vouga,1910117,125.0
Vagos,1910118,803.0
Arganil,1920601,311.0
