local,codigo,Beneficiários_Abono_Familia
Arcos de Valdevez,1111601,1405.0
Caminha,1111602,1201.0
Melgaço,1111603,375.0
Monção,1111604,1266.0
Paredes de Coura,1111605,691.0
Ponte da Barca,1111606,845.0
Ponte de Lima,1111607,3419.0
Valença,1111608,1179.0
Viana do Castelo,1111609,6146.0
Vila Nova de Cerveira,1111610,727.0
Amares,1120301,1603.0
Barcelos,1120302,9323.0
Braga,1120303,13540.0
Esposende,1120306,2836.0
Terras de Bouro,1120310,468.0
Vila Verde,1120313,4145.0
Cabeceiras de Basto,1190304,1479.0
Fafe,1190307,4075.0
Guimarães,1190308,12093.0
Mondim de Basto,1191705,512.0
Póvoa de Lanhoso,1190309,1740.0
Vieira do Minho,1190311,834.0
Vila Nova de Famalicão,1190312,10051.0
Vizela,1190314,2244.0
Arouca,11A0104,1782.0
Espinho,11A0107,2165.0
Gondomar,11A1304,13542.0
Maia,11A1306,9430.0
Matosinhos,11A1308,11639.0
Oliveira de Azeméis,11A0113,4680.0
Paredes,11A1310,8660.0
Porto,11A1312,13622.0
Póvoa de Varzim,11A1313,5577.0
Santa Maria da Feira,11A0109,10804.0
Santo Tirso,11A1314,4743.0
São João da Madeira,11A0116,1723.0
Trofa,11A1318,3062.0
Vale de Cambra,11A0119,1327.0
Valongo,11A1315,8082.0
Vila do Conde,11A1316,6411.0
Vila Nova de Gaia,11A1317,23436.0
Boticas,11B1702,301.0
Chaves,11B1703,2695.0
Montalegre,11B1706,527.0
Ribeira de Pena,11B1709,431.0
Valpaços,11B1712,1018.0
Vila Pouca de Aguiar,11B1713,741.0
Amarante,11C1301,4642.0
Baião,11C1302,1576.0
Castelo de Paiva,11C0106,1411.0
Celorico de Basto,11C0305,1445.0
Cinfães,11C1804,1635.0
Felgueiras,11C1303,5205.0
Lousada,11C1305,5065.0
Marco de Canaveses,11C1307,4867.0
Paços de Ferreira,11C1309,5778.0
Penafiel,11C1311,6787.0
Resende,11C1813,904.0
Alijó,11D1701,739.0
Armamar,11D1801,407.0
Carrazeda de Ansiães,11D0403,392.0
Freixo de Espada à Cinta,11D0404,243.0
Lamego,11D1805,1880.0
Mesão Frio,11D1704,284.0
Moimenta da Beira,11D1807,821.0
Murça,11D1707,368.0
Penedono,11D1812,176.0
Peso da Régua,11D1708,1148.0
Sabrosa,11D1710,408.0
Santa Marta de Penaguião,11D1711,412.0
São João da Pesqueira,11D1815,539.0
Sernancelhe,11D1818,348.0
Tabuaço,11D1819,358.0
Tarouca,11D1820,637.0
Torre de Moncorvo,11D0409,411.0
Vila Nova de Foz Côa,11D0914,374.0
Vila Real,11D1714,3520.0
Alfândega da Fé,11E0401,294.0
Bragança,11E0402,3476.0
Macedo de Cavaleiros,11E0405,1019.0
Miranda do Douro,11E0406,385.0
Mirandela,11E0407,1815.0
Mogadouro,11E0408,533.0
Vila Flor,11E0410,475.0
Vimioso,11E0411,244.0
Vinhais,11E0412,414.0
Águeda,1910101,3558.0
Albergaria-a-Velha,1910102,1888.0
Anadia,1910103,1905.0
Aveiro,1910105,5528.0
Estarreja,1910108,2103.0
Ílhavo,1910110,3035.0
Murtosa,1910112,920.0
Oliveira do Bairro,1910114,2005.0
Ovar,1910115,4076.0
Sever do Vouga,1910117,698.0
Vagos,1910118,1962.0
Arganil,1920601,806.0
Cantanhede,1920602,2202.0
Coimbra,1920603,7991.0
Condeixa-a-Nova,1920604,1069.0
Figueira da Foz,1920605,4073.0
Góis,1920606,232.0
Lousã,1920607,1361.0
Mealhada,1920111,1254.0
Mira,1920608,797.0
Miranda do Corvo,1920609,801.0
Montemor-o-Velho,1920610,1568.0
Mortágua,1921808,580.0
Oliveira do Hospital,1920611,1528.0
Pampilhosa da Serra,1920612,178.0
Penacova,1920613,793.0
Penela,1920614,332.0
Soure,1920615,960.0
Tábua,1920616,910.0
Vila Nova de Poiares,1920617,553.0
Alvaiázere,1931002,398.0
Ansião,1931003,770.0
Batalha,1931004,1200.0
Castanheira de Pêra,1931007,163.0
Figueiró dos Vinhos,1931008,341.0
Leiria,1931009,9370.0
Marinha Grande,1931010,3224.0
Pedrógão Grande,1931013,245.0
Pombal,1931015,3579.0
Porto de Mós,1931016,1765.0
