local,codigo,Beneficiários_RSI_1000_habitantes
Arcos de Valdevez,1111601,9.37
Caminha,1111602,16.61
Melgaço,1111603,9.05
Monção,1111604,8.81
Paredes de Coura,1111605,9.56
Ponte da Barca,1111606,11.5
Ponte de Lima,1111607,8.19
Valença,1111608,22.63
Viana do Castelo,1111609,17.95
Vila Nova de Cerveira,1111610,12.68
Amares,1120301,12.96
Barcelos,1120302,5.53
Braga,1120303,14.02
Esposende,1120306,9.71
Terras de Bouro,1120310,9.26
Vila Verde,1120313,7.98
Cabeceiras de Basto,1190304,24.91
Fafe,1190307,13.22
Guimarães,1190308,9.81
Mondim de Basto,1191705,33.19
Póvoa de Lanhoso,1190309,10.41
Vieira do Minho,1190311,19.21
Vila Nova de Famalicão,1190312,13.33
Vizela,1190314,6.7
Arouca,11A0104,13.03
Espinho,11A0107,34.39
Gondomar,11A1304,40.85
Maia,11A1306,29.6
Matosinhos,11A1308,36.84
Oliveira de Azeméis,11A0113,9.99
Paredes,11A1310,31.61
Porto,11A1312,70.26
Póvoa de Varzim,11A1313,23.27
Santa Maria da Feira,11A0109,18.86
Santo Tirso,11A1314,21.92
São João da Madeira,11A0116,21.36
Trofa,11A1318,19.95
Vale de Cambra,11A0119,9.96
Valongo,11A1315,39.95
Vila do Conde,11A1316,15.68
Vila Nova de Gaia,11A1317,48.3
Boticas,11B1702,18.27
Chaves,11B1703,37.26
Montalegre,11B1706,27.58
Ribeira de Pena,11B1709,41.37
Valpaços,11B1712,43.47
Vila Pouca de Aguiar,11B1713,31.21
Amarante,11C1301,36.81
Baião,11C1302,45.99
Castelo de Paiva,11C0106,19.99
Celorico de Basto,11C0305,27.07
Cinfães,11C1804,43.31
Felgueiras,11C1303,18.21
Lousada,11C1305,17.99
Marco de Canaveses,11C1307,43.65
Paços de Ferreira,11C1309,27.09
Penafiel,11C1311,28.82
Resende,11C1813,60.75
Alijó,11D1701,38.86
Armamar,11D1801,33.32
Carrazeda de Ansiães,11D0403,31.24
Freixo de Espada à Cinta,11D0404,51.9
Lamego,11D1805,35.23
Mesão Frio,11D1704,50.04
Moimenta da Beira,11D1807,68.83
Murça,11D1707,70.89
Penedono,11D1812,37.07
Peso da Régua,11D1708,70.81
Sabrosa,11D1710,37.33
Santa Marta de Penaguião,11D1711,68.62
São João da Pesqueira,11D1815,13.95
Sernancelhe,11D1818,27.83
Tabuaço,11D1819,54.44
Tarouca,11D1820,36.24
Torre de Moncorvo,11D0409,22.09
Vila Nova de Foz Côa,11D0914,21.75
Vila Real,11D1714,34.74
Alfândega da Fé,11E0401,44.43
Bragança,11E0402,19.8
Macedo de Cavaleiros,11E0405,36.6
Miranda do Douro,11E0406,21.47
Mirandela,11E0407,30.44
Mogadouro,11E0408,36.75
Vila Flor,11E0410,20.19
Vimioso,11E0411,20.38
Vinhais,11E0412,37.36
Alcobaça,16B1001,14.7
Alenquer,16B1101,15.99
Arruda dos Vinhos,16B1102,12.53
Bombarral,16B1005,14.29
Cadaval,16B1104,14.73
Caldas da Rainha,16B1006,14.63
Lourinhã,16B1108,21.03
Nazaré,16B1011,13.14
Óbidos,16B1012,8.25
Peniche,16B1014,19.89
Sobral de Monte Agraço,16B1112,10.94
Torres Vedras,16B1113,14.72
Águeda,16D0101,16.23
Albergaria-a-Velha,16D0102,20.59
Anadia,16D0103,10.63
Aveiro,16D0105,20.87
Estarreja,16D0108,34.17
Ílhavo,16D0110,23.61
Murtosa,16D0112,10.6
