local,codigo,Desemprego
Arcos de Valdevez,1111601,376.0
Caminha,1111602,404.0
Melgaço,1111603,72.0
Monção,1111604,344.0
Paredes de Coura,1111605,296.0
Ponte da Barca,1111606,209.0
Ponte de Lima,1111607,917.0
Valença,1111608,459.0
Viana do Castelo,1111609,2623.0
Vila Nova de Cerveira,1111610,290.0
Amares,1120301,476.0
Barcelos,1120302,2726.0
Braga,1120303,5959.0
Esposende,1120306,817.0
Terras de Bouro,1120310,268.0
Vila Verde,1120313,1023.0
Cabeceiras de Basto,1190304,396.0
Fafe,1190307,1872.0
Guimarães,1190308,6253.0
Mondim de Basto,1191705,110.0
Póvoa de Lanhoso,1190309,573.0
Vieira do Minho,1190311,356.0
Vila Nova de Famalicão,1190312,4484.0
Vizela,1190314,970.0
Arouca,11A0104,467.0
Espinho,11A0107,973.0
Gondomar,11A1304,6083.0
Maia,11A1306,4878.0
Matosinhos,11A1308,6450.0
Oliveira de Azeméis,11A0113,2411.0
Paredes,11A1310,2852.0
Porto,11A1312,8439.0
Póvoa de Varzim,11A1313,2356.0
Santa Maria da Feira,11A0109,4775.0
Santo Tirso,11A1314,2590.0
São João da Madeira,11A0116,1086.0
Trofa,11A1318,1541.0
Vale de Cambra,11A0119,580.0
Valongo,11A1315,3572.0
Vila do Conde,11A1316,3224.0
Vila Nova de Gaia,11A1317,11501.0
Boticas,11B1702,55.0
Chaves,11B1703,820.0
Montalegre,11B1706,125.0
Ribeira de Pena,11B1709,156.0
Valpaços,11B1712,205.0
Vila Pouca de Aguiar,11B1713,278.0
Amarante,11C1301,1643.0
Baião,11C1302,433.0
Castelo de Paiva,11C0106,402.0
Celorico de Basto,11C0305,386.0
Cinfães,11C1804,566.0
Felgueiras,11C1303,2220.0
Lousada,11C1305,1565.0
Marco de Canaveses,11C1307,1609.0
Paços de Ferreira,11C1309,1739.0
Penafiel,11C1311,2101.0
Resende,11C1813,219.0
Alijó,11D1701,215.0
Armamar,11D1801,144.0
Carrazeda de Ansiães,11D0403,99.0
Freixo de Espada à Cinta,11D0404,44.0
Lamego,11D1805,839.0
Mesão Frio,11D1704,69.0
Moimenta da Beira,11D1807,225.0
Murça,11D1707,106.0
Penedono,11D1812,37.0
Peso da Régua,11D1708,378.0
Sabrosa,11D1710,128.0
Santa Marta de Penaguião,11D1711,165.0
São João da Pesqueira,11D1815,100.0
Sernancelhe,11D1818,71.0
Tabuaço,11D1819,112.0
Tarouca,11D1820,220.0
Torre de Moncorvo,11D0409,156.0
Vila Nova de Foz Côa,11D0914,122.0
Vila Real,11D1714,1334.0
Alfândega da Fé,11E0401,102.0
Bragança,11E0402,710.0
Macedo de Cavaleiros,11E0405,239.0
Miranda do Douro,11E0406,73.0
Mirandela,11E0407,517.0
Mogadouro,11E0408,122.0
Vila Flor,11E0410,124.0
Vimioso,11E0411,45.0
Vinhais,11E0412,107.0
Alcobaça,16B1001,1383.0
Alenquer,16B1101,1863.0
Arruda dos Vinhos,16B1102,393.0
Bombarral,16B1005,434.0
Cadaval,16B1104,487.0
Caldas da Rainha,16B1006,1594.0
Lourinhã,16B1108,752.0
Nazaré,16B1011,552.0
Óbidos,16B1012,312.0
Peniche,16B1014,1330.0
Sobral de Monte Agraço,16B1112,261.0
Torres Vedras,16B1113,2121.0
Águeda,16D0101,1086.0
Albergaria-a-Velha,16D0102,583.0
Anadia,16D0103,652.0
Aveiro,16D0105,2532.0
Estarreja,16D0108,774.0
Ílhavo,16D0110,1239.0
Murtosa,16D0112,301.0
Oliveira do Bairro,16D0114,614.0
Ovar,16D0115,1998.0
Sever do Vouga,16D0117,178.0
Vagos,16D0118,533.0
Arganil,16E0601,212.0
Cantanhede,16E0602,867.0
Coimbra,16E0603,3600.0
Condeixa-a-Nova,16E0604,418.0
Figueira da Foz,16E0605,1944.0
Góis,16E0606,60.0
Lousã,16E0607,404.0
Mealhada,16E0111,540.0
Mira,16E0608,293.0
Miranda do Corvo,16E0609,248.0
Montemor-o-Velho,16E0610,658.0
Mortágua,16E1808,161.0
Oliveira do Hospital,16E0611,521.0
Pampilhosa da Serra,16E0612,43.0
Penacova,16E0613,229.0
Penela,16E0614,79.0
Soure,16E0615,338.0
Tábua,16E0616,237.0
Vila Nova de Poiares,16E0617,156.0
Alvaiázere,16F1002,76.0
Ansião,16F1003,220.0
Batalha,16F1004,385.0
Castanheira de Pêra,16F1007,49.0
Figueiró dos Vinhos,16F1008,80.0
Leiria,16F1009,3534.0
Marinha Grande,16F1010,1796.0
Pedrógão Grande,16F1013,49.0
Pombal,16F1015,914.0
Porto de Mós,16F1016,547.0
Aguiar da Beira,16G0901,87.0
Carregal do Sal,16G1802,249.0
Castro Daire,16G1803,387.0
Mangualde,16G1806,601.0
Nelas,16G1809,418.0
Oliveira de Frades,16G1810,305.0
Penalva do Castelo,16G1811,204.0
Santa Comba Dão,16G1814,294.0
São Pedro do Sul,16G1816,501.0
Sátão,16G1817,325.0
Tondela,16G1821,657.0
Vila Nova de Paiva,16G1822,142.0
Viseu,16G1823,2871.0
Vouzela,16G1824,321.0
Castelo Branco,16H0502,1641.0
Idanha-a-Nova,16H0505,177.0
Oleiros,16H0506,41.0
Penamacor,16H0507,74.0
Proença-a-Nova,16H0508,119.0
Vila Velha de Ródão,16H0511,73.0
Abrantes,16I1401,1308.0
Alcanena,16I1402,346.0
Constância,16I1408,97.0
Entroncamento,16I1410,555.0
Ferreira do Zêzere,16I1411,99.0
Mação,16I1413,111.0
Ourém,16I1421,925.0
Sardoal,16I1417,122.0
Sertã,16I0509,239.0
Tomar,16I1418,744.0
Torres Novas,16I1419,828.0
Vila de Rei,16I0510,65.0
Vila Nova da Barquinha,16I1420,140.0
Almeida,16J0902,95.0
Belmonte,16J0501,184.0
Celorico da Beira,16J0903,167.0
Covilhã,16J0503,1202.0
Figueira de Castelo Rodrigo,16J0904,103.0
Fornos de Algodres,16J0905,84.0
Fundão,16J0504,607.0
Gouveia,16J0906,236.0
Guarda,16J0907,1003.0
Manteigas,16J0908,64.0
Mêda,16J0909,49.0
Pinhel,16J0910,125.0
Sabugal,16J0911,146.0
Seia,16J0912,427.0
Trancoso,16J0913,113.0
Alcochete,1701502,620.0
Almada,1701503,5635.0
Amadora,1701115,5431.0
Barreiro,1701504,2967.0
Cascais,1701105,5990.0
Lisboa,1701106,15300.0
Loures,1701107,6591.0
Mafra,1701109,2030.0
Moita,1701506,2871.0
Montijo,1701507,2186.0
Odivelas,1701116,4622.0
Oeiras,1701110,4520.0
Palmela,1701508,2535.0
Seixal,1701510,5277.0
Sesimbra,1701511,1836.0
Setúbal,1701512,5217.0
Sintra,1701111,12902.0
Vila Franca de Xira,1701114,5016.0
Alcácer do Sal,1811501,310.0
Grândola,1811505,271.0
Odemira,1810211,2961.0
Santiago do Cacém,1811509,964.0
Sines,1811513,760.0
Aljustrel,1840201,198.0
Almodôvar,1840202,190.0
Alvito,1840203,59.0
Barrancos,1840204,67.0
Beja,1840205,812.0
Castro Verde,1840206,176.0
Cuba,1840207,103.0
Ferreira do Alentejo,1840208,268.0
Mértola,1840209,179.0
Moura,1840210,438.0
Ourique,1840212,156.0
Serpa,1840213,508.0
Vidigueira,1840214,199.0
Almeirim,1851403,932.0
Alpiarça,1851404,251.0
Azambuja,1851103,818.0
Benavente,1851405,1216.0
Cartaxo,1851406,825.0
Chamusca,1851407,262.0
Coruche,1851409,616.0
Golegã,1851412,136.0
Rio Maior,1851414,597.0
Salvaterra de Magos,1851415,930.0
Santarém,1851416,1542.0
Alter do Chão,1861201,108.0
Arronches,1861202,52.0
Avis,1861203,135.0
Campo Maior,1861204,313.0
Castelo de Vide,1861205,61.0
Crato,1861206,64.0
Elvas,1861207,779.0
Fronteira,1861208,96.0
Gavião,1861209,82.0
Marvão,1861210,56.0
Monforte,1861211,80.0
Nisa,1861212,141.0
Ponte de Sor,1861213,654.0
Portalegre,1861214,688.0
Sousel,1861215,190.0
Alandroal,1870701,135.0
Arraiolos,1870702,155.0
Borba,1870703,227.0
Estremoz,1870704,287.0
Évora,1870705,1403.0
Montemor-o-Novo,1870706,322.0
Mora,1870707,82.0
Mourão,1870708,95.0
Portel,1870709,224.0
Redondo,1870710,242.0
