local,codigo,Duracao_Sub_desemprego
Arcos de Valdevez,1111601,150.0
Caminha,1111602,163.0
Melgaço,1111603,206.0
Monção,1111604,171.0
Paredes de Coura,1111605,159.0
Ponte da Barca,1111606,138.0
Ponte de Lima,1111607,169.0
Valença,1111608,154.0
Viana do Castelo,1111609,144.0
Vila Nova de Cerveira,1111610,170.0
Amares,1120301,173.0
Barcelos,1120302,179.0
Braga,1120303,177.0
Esposende,1120306,166.0
Terras de Bouro,1120310,159.0
Vila Verde,1120313,185.0
Cabeceiras de Basto,1190304,174.0
Fafe,1190307,183.0
Guimarães,1190308,188.0
Mondim de Basto,1191705,207.0
Póvoa de Lanhoso,1190309,182.0
Vieira do Minho,1190311,180.0
Vila Nova de Famalicão,1190312,181.0
Vizela,1190314,191.0
Arouca,11A0104,179.0
Espinho,11A0107,188.0
Gondomar,11A1304,180.0
Maia,11A1306,174.0
Matosinhos,11A1308,178.0
Oliveira de Azeméis,11A0113,170.0
Paredes,11A1310,182.0
Porto,11A1312,176.0
Póvoa de Varzim,11A1313,170.0
Santa Maria da Feira,11A0109,172.0
Santo Tirso,11A1314,190.0
São João da Madeira,11A0116,170.0
Trofa,11A1318,177.0
Vale de Cambra,11A0119,169.0
Valongo,11A1315,177.0
Vila do Conde,11A1316,172.0
Vila Nova de Gaia,11A1317,182.0
Boticas,11B1702,177.0
Chaves,11B1703,187.0
Montalegre,11B1706,189.0
Ribeira de Pena,11B1709,178.0
Valpaços,11B1712,183.0
Vila Pouca de Aguiar,11B1713,200.0
Amarante,11C1301,174.0
Baião,11C1302,182.0
Castelo de Paiva,11C0106,180.0
Celorico de Basto,11C0305,189.0
Cinfães,11C1804,182.0
Felgueiras,11C1303,172.0
Lousada,11C1305,166.0
Marco de Canaveses,11C1307,191.0
Paços de Ferreira,11C1309,181.0
Penafiel,11C1311,181.0
Resende,11C1813,216.0
Alijó,11D1701,192.0
Armamar,11D1801,195.0
Carrazeda de Ansiães,11D0403,200.0
Freixo de Espada à Cinta,11D0404,193.0
Lamego,11D1805,179.0
Mesão Frio,11D1704,206.0
Moimenta da Beira,11D1807,199.0
Murça,11D1707,210.0
Penedono,11D1812,176.0
Peso da Régua,11D1708,192.0
Sabrosa,11D1710,176.0
Santa Marta de Penaguião,11D1711,183.0
São João da Pesqueira,11D1815,182.0
Sernancelhe,11D1818,189.0
Tabuaço,11D1819,196.0
