local,codigo,Valor_Medio_Pensoes
Arcos de Valdevez,1111601,4027.0
Caminha,1111602,5410.0
Melgaço,1111603,3963.0
Monção,1111604,4197.0
Paredes de Coura,1111605,4452.0
Ponte da Barca,1111606,4352.0
Ponte de Lima,1111607,4773.0
Valença,1111608,4612.0
Viana do Castelo,1111609,5777.0
Vila Nova de Cerveira,1111610,4739.0
Amares,1120301,4736.0
Barcelos,1120302,5454.0
Braga,1120303,6156.0
Esposende,1120306,5329.0
Terras de Bouro,1120310,4753.0
Vila Verde,1120313,4641.0
Cabeceiras de Basto,1190304,4484.0
Fafe,1190307,4929.0
Guimarães,1190308,6208.0
Mondim de Basto,1191705,4386.0
Póvoa de Lanhoso,1190309,4621.0
Vieira do Minho,1190311,4551.0
Vila Nova de Famalicão,1190312,6221.0
Vizela,1190314,6106.0
Arouca,11A0104,4887.0
Espinho,11A0107,6501.0
Gondomar,11A1304,6369.0
Maia,11A1306,7375.0
Matosinhos,11A1308,7758.0
Oliveira de Azeméis,11A0113,6262.0
Paredes,11A1310,5271.0
Porto,11A1312,8059.0
Póvoa de Varzim,11A1313,5726.0
Santa Maria da Feira,11A0109,5904.0
Santo Tirso,11A1314,5999.0
São João da Madeira,11A0116,6471.0
Trofa,11A1318,6638.0
Vale de Cambra,11A0119,6075.0
Valongo,11A1315,6396.0
Vila do Conde,11A1316,6181.0
Vila Nova de Gaia,11A1317,7043.0
Boticas,11B1702,3904.0
Chaves,11B1703,4427.0
Montalegre,11B1706,4264.0
Ribeira de Pena,11B1709,4033.0
Valpaços,11B1712,4000.0
Vila Pouca de Aguiar,11B1713,4094.0
Amarante,11C1301,5069.0
Baião,11C1302,5044.0
Castelo de Paiva,11C0106,5511.0
Celorico de Basto,11C0305,4405.0
Cinfães,11C1804,4895.0
Felgueiras,11C1303,5355.0
Lousada,11C1305,5292.0
Marco de Canaveses,11C1307,5417.0
Paços de Ferreira,11C1309,5051.0
Penafiel,11C1311,5588.0
Resende,11C1813,4406.0
Alijó,11D1701,4382.0
Armamar,11D1801,4626.0
Carrazeda de Ansiães,11D0403,4195.0
Freixo de Espada à Cinta,11D0404,4258.0
Lamego,11D1805,4908.0
Mesão Frio,11D1704,4962.0
Moimenta da Beira,11D1807,4397.0
Murça,11D1707,4173.0
Penedono,11D1812,4119.0
Peso da Régua,11D1708,5176.0
Sabrosa,11D1710,4376.0
Santa Marta de Penaguião,11D1711,4587.0
São João da Pesqueira,11D1815,4443.0
Sernancelhe,11D1818,4092.0
Tabuaço,11D1819,4422.0
Tarouca,11D1820,4470.0
Torre de Moncorvo,11D0409,4213.0
Vila Nova de Foz Côa,11D0914,4193.0
Vila Real,11D1714,4689.0
Alfândega da Fé,11E0401,4163.0
Bragança,11E0402,4437.0
Macedo de Cavaleiros,11E0405,4176.0
Miranda do Douro,11E0406,4782.0
Mirandela,11E0407,4362.0
Mogadouro,11E0408,4275.0
Vila Flor,11E0410,4230.0
Vimioso,11E0411,3834.0
Vinhais,11E0412,4113.0
Águeda,1910101,6397.0
Albergaria-a-Velha,1910102,6016.0
Anadia,1910103,5680.0
Aveiro,1910105,6924.0
Estarreja,1910108,6473.0
Ílhavo,1910110,6752.0
Murtosa,1910112,5181.0
Oliveira do Bairro,1910114,5174.0
Ovar,1910115,6507.0
Sever do Vouga,1910117,5154.0
Vagos,1910118,4960.0
Arganil,1920601,5198.0
Cantanhede,1920602,4895.0
Coimbra,1920603,6272.0
Condeixa-a-Nova,1920604,5586.0
Figueira da Foz,1920605,6762.0
Góis,1920606,5321.0
Lousã,1920607,6008.0
Mealhada,1920111,5821.0
Mira,1920608,4867.0
Miranda do Corvo,1920609,5359.0
Montemor-o-Velho,1920610,5808.0
Mortágua,1921808,4599.0
Oliveira do Hospital,1920611,5233.0
Pampilhosa da Serra,1920612,5420.0
Penacova,1920613,4838.0
Penela,1920614,4895.0
Soure,1920615,5704.0
Tábua,1920616,5188.0
Vila Nova de Poiares,1920617,5230.0
Alvaiázere,1931002,4592.0
Ansião,1931003,4907.0
Batalha,1931004,5658.0
Castanheira de Pêra,1931007,5269.0
Figueiró dos Vinhos,1931008,4760.0
Leiria,1931009,6424.0
Marinha Grande,1931010,7591.0
Pedrógão Grande,1931013,4919.0
Pombal,1931015,4988.0
Porto de Mós,1931016,5616.0
Aguiar da Beira,1940901,4126.0
Carregal do Sal,1941802,4779.0
Castro Daire,1941803,4431.0
Mangualde,1941806,5402.0
Nelas,1941809,5215.0
Oliveira de Frades,1941810,5140.0
Penalva do Castelo,1941811,4341.0
Santa Comba Dão,1941814,5286.0
São Pedro do Sul,1941816,4726.0
Sátão,1941817,4261.0
Tondela,1941821,4828.0
Vila Nova de Paiva,1941822,3875.0
Viseu,1941823,5182.0
Vouzela,1941824,4895.0
Castelo Branco,1950502,5330.0
Idanha-a-Nova,1950505,4800.0
Oleiros,1950506,4629.0
Penamacor,1950507,4429.0
Proença-a-Nova,1950508,4868.0
Sertã,1950509,4999.0
Vila de Rei,1950510,5274.0
Vila Velha de Ródão,1950511,6307.0
Almeida,1960902,4328.0
Belmonte,1960501,4876.0
Celorico da Beira,1960903,4556.0
Covilhã,1960503,5253.0
Figueira de Castelo Rodrigo,1960904,4413.0
Fornos de Algodres,1960905,4445.0
Fundão,1960504,4967.0
Gouveia,1960906,4591.0
Guarda,1960907,5140.0
Manteigas,1960908,4730.0
Mêda,1960909,4109.0
Pinhel,1960910,4335.0
Sabugal,1960911,4100.0
Seia,1960912,5231.0
Trancoso,1960913,4354.0
Alcobaça,1D11001,6071.0
Alenquer,1D11101,6602.0
Arruda dos Vinhos,1D11102,6908.0
Bombarral,1D11005,5467.0
Cadaval,1D11104,5772.0
Caldas da Rainha,1D11006,6077.0
Lourinhã,1D11108,5908.0
Nazaré,1D11011,5876.0
Óbidos,1D11012,5865.0
Peniche,1D11014,5763.0
Sobral de Monte Agraço,1D11112,6404.0
Torres Vedras,1D11113,6461.0
Abrantes,1D21401,5842.0
Alcanena,1D21402,5940.0
Constância,1D21408,6263.0
Entroncamento,1D21410,7317.0
Ferreira do Zêzere,1D21411,5044.0
Mação,1D21413,5150.0
Ourém,1D21421,5237.0
Sardoal,1D21417,5690.0
Tomar,1D21418,5733.0
Torres Novas,1D21419,6174.0
Vila Nova da Barquinha,1D21420,6420.0
Almeirim,1D31403,5436.0
Alpiarça,1D31404,5204.0
Azambuja,1D31103,6504.0
Benavente,1D31405,6599.0
Cartaxo,1D31406,6769.0
Chamusca,1D31407,5357.0
Coruche,1D31409,5578.0
Golegã,1D31412,5700.0
Rio Maior,1D31414,5984.0
Salvaterra de Magos,1D31415,6118.0
Santarém,1D31416,6106.0
Amadora,1A01115,7606.0
Cascais,1A01105,9530.0
Lisboa,1A01106,9357.0
Loures,1A01107,8004.0
Mafra,1A01109,7335.0
Odivelas,1A01116,7569.0
Oeiras,1A01110,10323.0
Sintra,1A01111,7852.0
Vila Franca de Xira,1A01114,7946.0
Alcochete,1B01502,7534.0
Almada,1B01503,7685.0
Barreiro,1B01504,7637.0
Moita,1B01506,6905.0
Montijo,1B01507,6438.0
Palmela,1B01508,7131.0
Seixal,1B01510,7457.0
Sesimbra,1B01511,7469.0
Setúbal,1B01512,7803.0
Alcácer do Sal,1C11501,5509.0
Grândola,1C11505,5479.0
Odemira,1C10211,4997.0
Santiago do Cacém,1C11509,7577.0
Sines,1C11513,7809.0
Aljustrel,1C20201,6508.0
Almodôvar,1C20202,5351.0
Alvito,1C20203,5160.0
Barrancos,1C20204,4344.0
Beja,1C20205,5268.0
Castro Verde,1C20206,6554.0
Cuba,1C20207,5148.0
Ferreira do Alentejo,1C20208,5070.0
Mértola,1C20209,4940.0
Moura,1C20210,4664.0
Ourique,1C20212,4779.0
Serpa,1C20213,4779.0
Vidigueira,1C20214,5033.0
Alter do Chão,1C31201,5327.0
Arronches,1C31202,4671.0
Avis,1C31203,5396.0
Campo Maior,1C31204,5982.0
Castelo de Vide,1C31205,5479.0
Crato,1C31206,5470.0
Elvas,1C31207,5248.0
Fronteira,1C31208,5627.0
Gavião,1C31209,5570.0
Marvão,1C31210,5245.0
Monforte,1C31211,5152.0
Nisa,1C31212,5516.0
Ponte de Sor,1C31213,5593.0
Portalegre,1C31214,5395.0
Sousel,1C31215,5096.0
Alandroal,1C40701,5444.0
Arraiolos,1C40702,5529.0
Borba,1C40703,6230.0
Estremoz,1C40704,5795.0
Évora,1C40705,6042.0
Montemor-o-Novo,1C40706,5795.0
Mora,1C40707,5820.0
Mourão,1C40708,5116.0
Portel,1C40709,4831.0
Redondo,1C40710,5338.0
Reguengos de Monsaraz,1C40711,5543.0
Vendas Novas,1C40712,6038.0
Viana do Alentejo,1C40713,5268.0
Vila Viçosa,1C40714,6551.0
Albufeira,1500801,6180.0
Alcoutim,1500802,4462.0
Aljezur,1500803,4984.0
Castro Marim,1500804,5497.0
Faro,1500805,6502.0
Lagoa,1500806,5891.0
Lagos,1500807,5856.0
Loulé,1500808,6020.0
Monchique,1500809,4861.0
Olhão,1500810,5663.0
Portimão,1500811,6272.0
São Brás de Alportel,1500812,5283.0
Silves,1500813,5592.0
Tavira,1500814,5371.0
Vila do Bispo,1500815,5668.0
Vila Real de Santo António,1500816,5794.0
Angra do Heroísmo,2004301,5548.0
Calheta (R.A.A.),2004501,4228.0
Corvo,2004901,5216.0
Horta,2004701,5227.0
Lagoa (R.A.A.),2004201,6046.0
Lajes das Flores,2004801,4848.0
Lajes do Pico,2004601,4877.0
Madalena,2004602,5289.0
Nordeste,2004202,4455.0
Ponta Delgada,2004203,6967.0
Povoação,2004204,4680.0
Ribeira Grande,2004205,5268.0
Santa Cruz da Graciosa,2004401,4490.0
Santa Cruz das Flores,2004802,5539.0
São Roque do Pico,2004603,4822.0
Velas,2004502,5025.0
Vila da Praia da Vitória,2004302,6603.0
Vila do Porto,2004101,7262.0
Vila Franca do Campo,2004206,4878.0
Calheta (R.A.M.),3003101,4365.0
Câmara de Lobos,3003102,4828.0
Funchal,3003103,6382.0
Machico,3003104,5586.0
Ponta do Sol,3003105,4476.0
Porto Moniz,3003106,4097.0
Ribeira Brava,3003107,4815.0
Santa Cruz,3003108,5638.0
Santana,3003109,4337.0
São Vicente,3003110,4376.0
Porto Santo,3003201,7019.0
