local,codigo,valor_processado_IRS
Arcos de Valdevez,1111601,271.0
Caminha,1111602,265.0
Melgaço,1111603,84.0
Monção,1111604,171.0
Paredes de Coura,1111605,113.0
Ponte da Barca,1111606,151.0
Ponte de Lima,1111607,379.0
Valença,1111608,428.0
Viana do Castelo,1111609,1827.0
Vila Nova de Cerveira,1111610,131.0
Amares,1120301,276.0
Barcelos,1120302,655.0
Braga,1120303,2947.0
Esposende,1120306,308.0
Terras de Bouro,1120310,62.0
Vila Verde,1120313,392.0
Cabeceiras de Basto,1190304,399.0
Fafe,1190307,678.0
Guimarães,1190308,1674.0
Mondim de Basto,1191705,184.0
Póvoa de Lanhoso,1190309,304.0
Vieira do Minho,1190311,269.0
Vila Nova de Famalicão,1190312,2046.0
Vizela,1190314,170.0
Arouca,11A0104,308.0
Espinho,11A0107,1075.0
Gondomar,11A1304,7091.0
Maia,11A1306,4755.0
Matosinhos,11A1308,7319.0
Oliveira de Azeméis,11A0113,789.0
Paredes,11A1310,2863.0
Porto,11A1312,19931.0
Póvoa de Varzim,11A1313,1876.0
Santa Maria da Feira,11A0109,3022.0
Santo Tirso,11A1314,1794.0
São João da Madeira,11A0116,548.0
Trofa,11A1318,831.0
Vale de Cambra,11A0119,292.0
Valongo,11A1315,4372.0
Vila do Conde,11A1316,1516.0
Vila Nova de Gaia,11A1317,16150.0
Boticas,11B1702,115.0
Chaves,11B1703,1660.0
Montalegre,11B1706,299.0
Ribeira de Pena,11B1709,268.0
Valpaços,11B1712,766.0
Vila Pouca de Aguiar,11B1713,368.0
Amarante,11C1301,2079.0
Baião,11C1302,1017.0
Castelo de Paiva,11C0106,319.0
Celorico de Basto,11C0305,542.0
Cinfães,11C1804,927.0
Felgueiras,11C1303,1102.0
Lousada,11C1305,834.0
Marco de Canaveses,11C1307,2369.0
Paços de Ferreira,11C1309,1599.0
Penafiel,11C1311,2062.0
Resende,11C1813,523.0
Alijó,11D1701,570.0
Armamar,11D1801,159.0
Carrazeda de Ansiães,11D0403,190.0
Freixo de Espada à Cinta,11D0404,216.0
Lamego,11D1805,1114.0
Mesão Frio,11D1704,178.0
Moimenta da Beira,11D1807,775.0
Murça,11D1707,354.0
Penedono,11D1812,127.0
Peso da Régua,11D1708,1122.0
Sabrosa,11D1710,200.0
Santa Marta de Penaguião,11D1711,518.0
São João da Pesqueira,11D1815,151.0
Sernancelhe,11D1818,208.0
Tabuaço,11D1819,315.0
Tarouca,11D1820,327.0
Torre de Moncorvo,11D0409,179.0
Vila Nova de Foz Côa,11D0914,141.0
Vila Real,11D1714,2191.0
Alfândega da Fé,11E0401,213.0
Bragança,11E0402,1050.0
Macedo de Cavaleiros,11E0405,679.0
Miranda do Douro,11E0406,150.0
Mirandela,11E0407,771.0
Mogadouro,11E0408,395.0
Vila Flor,11E0410,131.0
Vimioso,11E0411,119.0
Vinhais,11E0412,395.0
Águeda,1910101,808.0
Albergaria-a-Velha,1910102,517.0
Anadia,1910103,323.0
Aveiro,1910105,1873.0
Estarreja,1910108,1153.0
Ílhavo,1910110,996.0
Murtosa,1910112,67.0
Oliveira do Bairro,1910114,578.0
Ovar,1910115,1458.0
Sever do Vouga,1910117,134.0
Vagos,1910118,344.0
Arganil,1920601,217.0
Cantanhede,1920602,647.0
Coimbra,1920603,4817.0
Condeixa-a-Nova,1920604,146.0
Figueira da Foz,1920605,2341.0
Góis,1920606,79.0
Lousã,1920607,477.0
Mealhada,1920111,250.0
Mira,1920608,165.0
Miranda do Corvo,1920609,229.0
Montemor-o-Velho,1920610,333.0
Mortágua,1921808,96.0
Oliveira do Hospital,1920611,368.0
Pampilhosa da Serra,1920612,96.0
Penacova,1920613,192.0
Penela,1920614,77.0
Soure,1920615,269.0
Tábua,1920616,331.0
Vila Nova de Poiares,1920617,115.0
Alvaiázere,1931002,175.0
Ansião,1931003,284.0
Batalha,1931004,226.0
Castanheira de Pêra,1931007,91.0
Figueiró dos Vinhos,1931008,168.0
Leiria,1931009,2503.0
Marinha Grande,1931010,1224.0
Pedrógão Grande,1931013,168.0
Pombal,1931015,1110.0
Porto de Mós,1931016,386.0
Aguiar da Beira,1940901,93.0
Carregal do Sal,1941802,212.0
Castro Daire,1941803,465.0
Mangualde,1941806,595.0
Nelas,1941809,335.0
Oliveira de Frades,1941810,81.0
Penalva do Castelo,1941811,152.0
Santa Comba Dão,1941814,303.0
São Pedro do Sul,1941816,292.0
Sátão,1941817,399.0
Tondela,1941821,411.0
Vila Nova de Paiva,1941822,84.0
Viseu,1941823,3460.0
Vouzela,1941824,89.0
