local,codigo,votos_por_partido_ou_coligacao
Arcos de Valdevez,1111601,2
Caminha,1111602,1
Melgaço,1111603,1
Monção,1111604,2
Paredes de Coura,1111605,2
Ponte da Barca,1111606,1
Ponte de Lima,1111607,0
Valença,1111608,0
Viana do Castelo,1111609,0
Vila Nova de Cerveira,1111610,1
Amares,1120301,1
Barcelos,1120302,0
Braga,1120303,0
Esposende,1120306,2
Terras de Bouro,1120310,2
Vila Verde,1120313,1
Cabeceiras de Basto,1190304,0
Fafe,1190307,1
Guimarães,1190308,1
Mondim de Basto,1191705,1
Póvoa de Lanhoso,1190309,1
Vieira do Minho,1190311,2
Vila Nova de Famalicão,1190312,1
Vizela,1190314,2
Arouca,11A0104,1
Espinho,11A0107,0
Gondomar,11A1304,1
Maia,11A1306,0
Matosinhos,11A1308,0
Oliveira de Azeméis,11A0113,1
Paredes,11A1310,2
Porto,11A1312,0
Póvoa de Varzim,11A1313,1
Santa Maria da Feira,11A0109,1
Santo Tirso,11A1314,2
São João da Madeira,11A0116,1
Trofa,11A1318,2
Vale de Cambra,11A0119,2
Valongo,11A1315,1
Vila do Conde,11A1316,0
Vila Nova de Gaia,11A1317,2
Boticas,11B1702,2
Chaves,11B1703,1
Montalegre,11B1706,1
Ribeira de Pena,11B1709,1
Valpaços,11B1712,2
Vila Pouca de Aguiar,11B1713,2
Amarante,11C1301,1
Baião,11C1302,2
Castelo de Paiva,11C0106,0
Celorico de Basto,11C0305,0
Cinfães,11C1804,2
Felgueiras,11C1303,2
Lousada,11C1305,2
Marco de Canaveses,11C1307,2
Paços de Ferreira,11C1309,1
Penafiel,11C1311,2
Resende,11C1813,1
Alijó,11D1701,2
Armamar,11D1801,2
Carrazeda de Ansiães,11D0403,2
Freixo de Espada à Cinta,11D0404,2
Lamego,11D1805,0
Mesão Frio,11D1704,1
Moimenta da Beira,11D1807,1
Murça,11D1707,2
Penedono,11D1812,1
Peso da Régua,11D1708,1
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,2
São João da Pesqueira,11D1815,2
Sernancelhe,11D1818,2
Tabuaço,11D1819,2
Tarouca,11D1820,2
Torre de Moncorvo,11D0409,1
Vila Nova de Foz Côa,11D0914,1
Vila Real,11D1714,2
Alfândega da Fé,11E0401,1
Bragança,11E0402,2
Macedo de Cavaleiros,11E0405,1
Miranda do Douro,11E0406,1
Mirandela,11E0407,1
Mogadouro,11E0408,1
Vila Flor,11E0410,1
Vimioso,11E0411,2
Vinhais,11E0412,1
Águeda,1910101,0
Albergaria-a-Velha,1910102,2
Anadia,1910103,0
Aveiro,1910105,1
Estarreja,1910108,1
Ílhavo,1910110,0
Murtosa,1910112,2
Oliveira do Bairro,1910114,0
Ovar,1910115,2
Sever do Vouga,1910117,0
Vagos,1910118,2
Arganil,1920601,2
Cantanhede,1920602,1
Coimbra,1920603,0
Condeixa-a-Nova,1920604,0
Figueira da Foz,1920605,0
Góis,1920606,0
Lousã,1920607,1
Mealhada,1920111,0
Mira,1920608,2
Miranda do Corvo,1920609,0
Montemor-o-Velho,1920610,1
Mortágua,1921808,2
Oliveira do Hospital,1920611,1
Pampilhosa da Serra,1920612,2
Penacova,1920613,1
Penela,1920614,2
Soure,1920615,0
Tábua,1920616,1
Vila Nova de Poiares,1920617,2
Alvaiázere,1931002,0
Ansião,1931003,1
Batalha,1931004,1
Castanheira de Pêra,1931007,0
Figueiró dos Vinhos,1931008,0
Leiria,1931009,1
