local,codigo,votos_nulos_assembleias_municipais
Arcos de Valdevez,1111601,0
Caminha,1111602,0
Melgaço,1111603,0
Monção,1111604,0
Paredes de Coura,1111605,1
Ponte da Barca,1111606,0
Ponte de Lima,1111607,0
Valença,1111608,0
Viana do Castelo,1111609,2
Vila Nova de Cerveira,1111610,0
Amares,1120301,1
Barcelos,1120302,0
Braga,1120303,0
Esposende,1120306,0
Terras de Bouro,1120310,0
Vila Verde,1120313,0
Cabeceiras de Basto,1190304,0
Fafe,1190307,1
Guimarães,1190308,0
Mondim de Basto,1191705,0
Póvoa de Lanhoso,1190309,0
Vieira do Minho,1190311,0
Vila Nova de Famalicão,1190312,0
Vizela,1190314,0
Arouca,11A0104,0
Espinho,11A0107,1
Gondomar,11A1304,1
Maia,11A1306,1
Matosinhos,11A1308,0
Oliveira de Azeméis,11A0113,1
Paredes,11A1310,1
Porto,11A1312,0
Póvoa de Varzim,11A1313,0
Santa Maria da Feira,11A0109,1
Santo Tirso,11A1314,0
São João da Madeira,11A0116,0
Trofa,11A1318,0
Vale de Cambra,11A0119,1
Valongo,11A1315,1
Vila do Conde,11A1316,0
Vila Nova de Gaia,11A1317,0
Boticas,11B1702,1
Chaves,11B1703,1
Montalegre,11B1706,0
Ribeira de Pena,11B1709,0
Valpaços,11B1712,1
Vila Pouca de Aguiar,11B1713,0
Amarante,11C1301,0
Baião,11C1302,0
Castelo de Paiva,11C0106,1
Celorico de Basto,11C0305,0
Cinfães,11C1804,1
Felgueiras,11C1303,0
Lousada,11C1305,0
Marco de Canaveses,11C1307,0
Paços de Ferreira,11C1309,0
Penafiel,11C1311,0
Resende,11C1813,0
Alijó,11D1701,2
Armamar,11D1801,2
Carrazeda de Ansiães,11D0403,2
Freixo de Espada à Cinta,11D0404,1
Lamego,11D1805,1
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,1
Murça,11D1707,1
Penedono,11D1812,2
Peso da Régua,11D1708,0
Sabrosa,11D1710,1
Santa Marta de Penaguião,11D1711,1
São João da Pesqueira,11D1815,1
Sernancelhe,11D1818,1
Tabuaço,11D1819,2
Tarouca,11D1820,1
Torre de Moncorvo,11D0409,0
Vila Nova de Foz Côa,11D0914,1
Vila Real,11D1714,0
Alfândega da Fé,11E0401,1
Bragança,11E0402,1
Macedo de Cavaleiros,11E0405,1
Miranda do Douro,11E0406,1
Mirandela,11E0407,1
Mogadouro,11E0408,1
Vila Flor,11E0410,0
Vimioso,11E0411,2
Vinhais,11E0412,0
Águeda,1910101,1
Albergaria-a-Velha,1910102,0
Anadia,1910103,1
Aveiro,1910105,1
Estarreja,1910108,1
Ílhavo,1910110,0
Murtosa,1910112,0
Oliveira do Bairro,1910114,0
Ovar,1910115,1
Sever do Vouga,1910117,0
Vagos,1910118,0
Arganil,1920601,1
Cantanhede,1920602,1
Coimbra,1920603,0
Condeixa-a-Nova,1920604,0
Figueira da Foz,1920605,0
Góis,1920606,1
Lousã,1920607,0
Mealhada,1920111,0
Mira,1920608,0
Miranda do Corvo,1920609,0
Montemor-o-Velho,1920610,0
Mortágua,1921808,0
Oliveira do Hospital,1920611,1
Pampilhosa da Serra,1920612,0
Penacova,1920613,0
Penela,1920614,0
Soure,1920615,1
Tábua,1920616,1
Vila Nova de Poiares,1920617,1
Alvaiázere,1931002,1
Ansião,1931003,0
Batalha,1931004,0
Castanheira de Pêra,1931007,1
Figueiró dos Vinhos,1931008,1
Leiria,1931009,1
Marinha Grande,1931010,0
Pedrógão Grande,1931013,1
Pombal,1931015,1
Porto de Mós,1931016,0
Aguiar da Beira,1940901,0
Carregal do Sal,1941802,1
Castro Daire,1941803,0
Mangualde,1941806,1
Nelas,1941809,1
Oliveira de Frades,1941810,1
Penalva do Castelo,1941811,1
Santa Comba Dão,1941814,1
São Pedro do Sul,1941816,1
Sátão,1941817,0
Tondela,1941821,0
Vila Nova de Paiva,1941822,1
Viseu,1941823,0
Vouzela,1941824,1
Castelo Branco,1950502,1
Idanha-a-Nova,1950505,1
Oleiros,1950506,1
Penamacor,1950507,1
Proença-a-Nova,1950508,2
Sertã,1950509,1
Vila de Rei,1950510,2
Vila Velha de Ródão,1950511,1
Almeida,1960902,1
Belmonte,1960501,1
Celorico da Beira,1960903,1
Covilhã,1960503,1
Figueira de Castelo Rodrigo,1960904,1
Fornos de Algodres,1960905,0
Fundão,1960504,1
Gouveia,1960906,1
Guarda,1960907,1
Manteigas,1960908,1
Mêda,1960909,2
Pinhel,1960910,2
Sabugal,1960911,1
Seia,1960912,1
Trancoso,1960913,1
Alcobaça,1D11001,1
Alenquer,1D11101,1
Arruda dos Vinhos,1D11102,0
Bombarral,1D11005,1
Cadaval,1D11104,1
Caldas da Rainha,1D11006,0
Lourinhã,1D11108,1
Nazaré,1D11011,1
Óbidos,1D11012,0
Peniche,1D11014,0
Sobral de Monte Agraço,1D11112,1
Torres Vedras,1D11113,1
Abrantes,1D21401,1
Alcanena,1D21402,1
Constância,1D21408,0
Entroncamento,1D21410,0
Ferreira do Zêzere,1D21411,1
Mação,1D21413,1
Ourém,1D21421,1
Sardoal,1D21417,1
Tomar,1D21418,1
Torres Novas,1D21419,0
Vila Nova da Barquinha,1D21420,1
Almeirim,1D31403,0
Alpiarça,1D31404,0
Azambuja,1D31103,1
Benavente,1D31405,1
Cartaxo,1D31406,0
Chamusca,1D31407,0
Coruche,1D31409,0
Golegã,1D31412,0
Rio Maior,1D31414,1
Salvaterra de Magos,1D31415,1
Santarém,1D31416,0
Amadora,1A01115,0
Cascais,1A01105,0
Lisboa,1A01106,0
Loures,1A01107,1
Mafra,1A01109,0
Odivelas,1A01116,1
Oeiras,1A01110,0
Sintra,1A01111,1
Vila Franca de Xira,1A01114,1
Alcochete,1B01502,0
Almada,1B01503,0
Barreiro,1B01504,0
Moita,1B01506,0
Montijo,1B01507,0
Palmela,1B01508,0
Seixal,1B01510,0
Sesimbra,1B01511,1
Setúbal,1B01512,0
Alcácer do Sal,1C11501,0
Grândola,1C11505,0
