local,codigo,taxa_de_abstenção
Arcos de Valdevez,1111601,1
Caminha,1111602,1
Melgaço,1111603,2
Monção,1111604,1
Paredes de Coura,1111605,1
Ponte da Barca,1111606,1
Ponte de Lima,1111607,0
Valença,1111608,0
Viana do Castelo,1111609,1
Vila Nova de Cerveira,1111610,0
Amares,1120301,1
Barcelos,1120302,0
Braga,1120303,1
Esposende,1120306,1
Terras de Bouro,1120310,0
Vila Verde,1120313,1
Cabeceiras de Basto,1190304,0
Fafe,1190307,1
Guimarães,1190308,1
Mondim de Basto,1191705,1
Póvoa de Lanhoso,1190309,0
Vieira do Minho,1190311,0
Vila Nova de Famalicão,1190312,1
Vizela,1190314,1
Arouca,11A0104,0
Espinho,11A0107,1
Gondomar,11A1304,2
Maia,11A1306,2
Matosinhos,11A1308,2
Oliveira de Azeméis,11A0113,2
Paredes,11A1310,0
Porto,11A1312,2
Póvoa de Varzim,11A1313,2
Santa Maria da Feira,11A0109,1
Santo Tirso,11A1314,1
São João da Madeira,11A0116,2
Trofa,11A1318,1
Vale de Cambra,11A0119,1
Valongo,11A1315,2
Vila do Conde,11A1316,1
Vila Nova de Gaia,11A1317,2
Boticas,11B1702,2
Chaves,11B1703,1
Montalegre,11B1706,1
Ribeira de Pena,11B1709,1
Valpaços,11B1712,2
Vila Pouca de Aguiar,11B1713,1
Amarante,11C1301,1
Baião,11C1302,0
Castelo de Paiva,11C0106,0
Celorico de Basto,11C0305,0
Cinfães,11C1804,0
Felgueiras,11C1303,1
Lousada,11C1305,0
Marco de Canaveses,11C1307,0
Paços de Ferreira,11C1309,0
Penafiel,11C1311,0
Resende,11C1813,0
Alijó,11D1701,1
Armamar,11D1801,0
Carrazeda de Ansiães,11D0403,1
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,1
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,1
Murça,11D1707,1
Penedono,11D1812,0
Peso da Régua,11D1708,1
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,1
São João da Pesqueira,11D1815,0
Sernancelhe,11D1818,0
Tabuaço,11D1819,0
Tarouca,11D1820,1
Torre de Moncorvo,11D0409,0
Vila Nova de Foz Côa,11D0914,1
Vila Real,11D1714,1
Alfândega da Fé,11E0401,0
Bragança,11E0402,2
Macedo de Cavaleiros,11E0405,1
Miranda do Douro,11E0406,0
Mirandela,11E0407,1
Mogadouro,11E0408,0
Vila Flor,11E0410,0
Vimioso,11E0411,1
Vinhais,11E0412,0
