local,codigo,credito_habitacao_permanente
Arcos de Valdevez,1111601,2
Caminha,1111602,1
Melgaço,1111603,2
Monção,1111604,2
Paredes de Coura,1111605,0
Ponte da Barca,1111606,2
Ponte de Lima,1111607,2
Valença,1111608,2
Viana do Castelo,1111609,1
Vila Nova de Cerveira,1111610,1
Amares,1120301,2
Barcelos,1120302,2
Braga,1120303,1
Esposende,1120306,2
Terras de Bouro,1120310,2
Vila Verde,1120313,2
Cabeceiras de Basto,1190304,2
Fafe,1190307,2
Guimarães,1190308,2
Mondim de Basto,1191705,2
Póvoa de Lanhoso,1190309,2
Vieira do Minho,1190311,2
Vila Nova de Famalicão,1190312,2
Vizela,1190314,2
Arouca,11A0104,2
Espinho,11A0107,1
Gondomar,11A1304,2
Maia,11A1306,1
Matosinhos,11A1308,1
Oliveira de Azeméis,11A0113,1
Paredes,11A1310,2
Porto,11A1312,0
Póvoa de Varzim,11A1313,2
Santa Maria da Feira,11A0109,2
Santo Tirso,11A1314,1
São João da Madeira,11A0116,1
Trofa,11A1318,2
Vale de Cambra,11A0119,0
Valongo,11A1315,2
Vila do Conde,11A1316,2
Vila Nova de Gaia,11A1317,1
Boticas,11B1702,1
Chaves,11B1703,1
Montalegre,11B1706,1
Ribeira de Pena,11B1709,1
Valpaços,11B1712,2
Vila Pouca de Aguiar,11B1713,1
Amarante,11C1301,2
Baião,11C1302,2
Castelo de Paiva,11C0106,2
Celorico de Basto,11C0305,2
Cinfães,11C1804,2
Felgueiras,11C1303,2
Lousada,11C1305,2
Marco de Canaveses,11C1307,2
Paços de Ferreira,11C1309,2
Penafiel,11C1311,2
Resende,11C1813,2
Alijó,11D1701,2
Armamar,11D1801,2
Carrazeda de Ansiães,11D0403,2
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,1
Mesão Frio,11D1704,1
Moimenta da Beira,11D1807,2
Murça,11D1707,2
Penedono,11D1812,1
Peso da Régua,11D1708,1
Sabrosa,11D1710,1
Santa Marta de Penaguião,11D1711,2
São João da Pesqueira,11D1815,2
Sernancelhe,11D1818,2
Tabuaço,11D1819,1
Tarouca,11D1820,1
Torre de Moncorvo,11D0409,1
Vila Nova de Foz Côa,11D0914,2
Vila Real,11D1714,1
Alfândega da Fé,11E0401,2
Bragança,11E0402,0
Macedo de Cavaleiros,11E0405,1
Miranda do Douro,11E0406,1
Mirandela,11E0407,1
Mogadouro,11E0408,1
Vila Flor,11E0410,1
Vimioso,11E0411,1
Vinhais,11E0412,1
Águeda,1910101,1
Albergaria-a-Velha,1910102,1
Anadia,1910103,1
Aveiro,1910105,1
Estarreja,1910108,1
Ílhavo,1910110,1
Murtosa,1910112,1
Oliveira do Bairro,1910114,2
Ovar,1910115,1
Sever do Vouga,1910117,1
Vagos,1910118,2
Arganil,1920601,0
Cantanhede,1920602,1
Coimbra,1920603,1
Condeixa-a-Nova,1920604,0
Figueira da Foz,1920605,0
Góis,1920606,1
Lousã,1920607,1
Mealhada,1920111,1
Mira,1920608,1
Miranda do Corvo,1920609,1
Montemor-o-Velho,1920610,1
Mortágua,1921808,1
Oliveira do Hospital,1920611,1
Pampilhosa da Serra,1920612,1
Penacova,1920613,1
Penela,1920614,0
Soure,1920615,0
Tábua,1920616,1
Vila Nova de Poiares,1920617,1
Alvaiázere,1931002,1
Ansião,1931003,1
Batalha,1931004,1
Castanheira de Pêra,1931007,0
Figueiró dos Vinhos,1931008,1
Leiria,1931009,1
