local,codigo,populacao_ativa
Arcos de Valdevez,1111601,0
Caminha,1111602,0
Melgaço,1111603,0
Monção,1111604,0
Paredes de Coura,1111605,0
Ponte da Barca,1111606,0
Ponte de Lima,1111607,0
Valença,1111608,0
Viana do Castelo,1111609,1
Vila Nova de Cerveira,1111610,0
Amares,1120301,0
Barcelos,1120302,1
Braga,1120303,2
Esposende,1120306,0
Terras de Bouro,1120310,0
Vila Verde,1120313,0
Cabeceiras de Basto,1190304,0
Fafe,1190307,0
Guimarães,1190308,2
Mondim de Basto,1191705,0
Póvoa de Lanhoso,1190309,0
Vieira do Minho,1190311,0
Vila Nova de Famalicão,1190312,1
Vizela,1190314,0
Arouca,11A0104,0
Espinho,11A0107,0
Gondomar,11A1304,2
Maia,11A1306,1
Matosinhos,11A1308,2
Oliveira de Azeméis,11A0113,1
Paredes,11A1310,1
Porto,11A1312,2
Póvoa de Varzim,11A1313,1
Santa Maria da Feira,11A0109,1
Santo Tirso,11A1314,1
São João da Madeira,11A0116,0
Trofa,11A1318,0
Vale de Cambra,11A0119,0
Valongo,11A1315,1
Vila do Conde,11A1316,1
Vila Nova de Gaia,11A1317,2
Boticas,11B1702,0
Chaves,11B1703,0
Montalegre,11B1706,0
Ribeira de Pena,11B1709,0
Valpaços,11B1712,0
Vila Pouca de Aguiar,11B1713,0
Amarante,11C1301,0
Baião,11C1302,0
Castelo de Paiva,11C0106,0
Celorico de Basto,11C0305,0
Cinfães,11C1804,0
Felgueiras,11C1303,1
Lousada,11C1305,1
Marco de Canaveses,11C1307,0
Paços de Ferreira,11C1309,1
Penafiel,11C1311,1
Resende,11C1813,0
Alijó,11D1701,0
Armamar,11D1801,0
Carrazeda de Ansiães,11D0403,0
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,0
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,0
Murça,11D1707,0
Penedono,11D1812,0
Peso da Régua,11D1708,0
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,0
São João da Pesqueira,11D1815,0
Sernancelhe,11D1818,0
Tabuaço,11D1819,0
Tarouca,11D1820,0
Torre de Moncorvo,11D0409,0
Vila Nova de Foz Côa,11D0914,0
Vila Real,11D1714,0
Alfândega da Fé,11E0401,0
Bragança,11E0402,0
Macedo de Cavaleiros,11E0405,0
Miranda do Douro,11E0406,0
Mirandela,11E0407,0
Mogadouro,11E0408,0
Vila Flor,11E0410,0
Vimioso,11E0411,0
Vinhais,11E0412,0
Alcobaça,16B1001,1
Alenquer,16B1101,0
Arruda dos Vinhos,16B1102,0
Bombarral,16B1005,0
Cadaval,16B1104,0
Caldas da Rainha,16B1006,0
Lourinhã,16B1108,0
Nazaré,16B1011,0
Óbidos,16B1012,0
Peniche,16B1014,0
Sobral de Monte Agraço,16B1112,0
Torres Vedras,16B1113,1
Águeda,16D0101,0
Albergaria-a-Velha,16D0102,0
Anadia,16D0103,0
Aveiro,16D0105,1
Estarreja,16D0108,0
Ílhavo,16D0110,0
Murtosa,16D0112,0
Oliveira do Bairro,16D0114,0
Ovar,16D0115,1
Sever do Vouga,16D0117,0
Vagos,16D0118,0
Arganil,16E0601,0
Cantanhede,16E0602,0
Coimbra,16E0603,1
Condeixa-a-Nova,16E0604,0
Figueira da Foz,16E0605,1
Góis,16E0606,0
Lousã,16E0607,0
Mealhada,16E0111,0
Mira,16E0608,0
Miranda do Corvo,16E0609,0
Montemor-o-Velho,16E0610,0
Mortágua,16E1808,0
Oliveira do Hospital,16E0611,0
Pampilhosa da Serra,16E0612,0
Penacova,16E0613,0
Penela,16E0614,0
Soure,16E0615,0
Tábua,16E0616,0
Vila Nova de Poiares,16E0617,0
Alvaiázere,16F1002,0
Ansião,16F1003,0
Batalha,16F1004,0
Castanheira de Pêra,16F1007,0
Figueiró dos Vinhos,16F1008,0
Leiria,16F1009,1
Marinha Grande,16F1010,0
Pedrógão Grande,16F1013,0
Pombal,16F1015,0
Porto de Mós,16F1016,0
Aguiar da Beira,16G0901,0
Carregal do Sal,16G1802,0
Castro Daire,16G1803,0
Mangualde,16G1806,0
Nelas,16G1809,0
Oliveira de Frades,16G1810,0
Penalva do Castelo,16G1811,0
Santa Comba Dão,16G1814,0
São Pedro do Sul,16G1816,0
Sátão,16G1817,0
Tondela,16G1821,0
Vila Nova de Paiva,16G1822,0
Viseu,16G1823,1
Vouzela,16G1824,0
Castelo Branco,16H0502,0
Idanha-a-Nova,16H0505,0
Oleiros,16H0506,0
Penamacor,16H0507,0
Proença-a-Nova,16H0508,0
Vila Velha de Ródão,16H0511,0
Abrantes,16I1401,0
Alcanena,16I1402,0
Constância,16I1408,0
Entroncamento,16I1410,0
Ferreira do Zêzere,16I1411,0
Mação,16I1413,0
Ourém,16I1421,0
Sardoal,16I1417,0
Sertã,16I0509,0
Tomar,16I1418,0
Torres Novas,16I1419,0
Vila de Rei,16I0510,0
Vila Nova da Barquinha,16I1420,0
Almeida,16J0902,0
Belmonte,16J0501,0
Celorico da Beira,16J0903,0
Covilhã,16J0503,0
Figueira de Castelo Rodrigo,16J0904,0
Fornos de Algodres,16J0905,0
Fundão,16J0504,0
Gouveia,16J0906,0
Guarda,16J0907,0
Manteigas,16J0908,0
Mêda,16J0909,0
Pinhel,16J0910,0
Sabugal,16J0911,0
Seia,16J0912,0
Trancoso,16J0913,0
Alcochete,1701502,0
Almada,1701503,2
Amadora,1701115,2
Barreiro,1701504,1
Cascais,1701105,2
Lisboa,1701106,2
Loures,1701107,2
Mafra,1701109,1
Moita,1701506,1
Montijo,1701507,1
Odivelas,1701116,1
Oeiras,1701110,2
Palmela,1701508,1
Seixal,1701510,2
Sesimbra,1701511,1
Setúbal,1701512,1
Sintra,1701111,2
Vila Franca de Xira,1701114,1
Alcácer do Sal,1811501,0
Grândola,1811505,0
Odemira,1810211,0
Santiago do Cacém,1811509,0
Sines,1811513,0
Aljustrel,1840201,0
Almodôvar,1840202,0
Alvito,1840203,0
Barrancos,1840204,0
Beja,1840205,0
