local,codigo,taxa_emprego
Arcos de Valdevez,1111601,0
Caminha,1111602,1
Melgaço,1111603,0
Monção,1111604,0
Paredes de Coura,1111605,1
Ponte da Barca,1111606,1
Ponte de Lima,1111607,1
Valença,1111608,1
Viana do Castelo,1111609,2
Vila Nova de Cerveira,1111610,2
Amares,1120301,2
Barcelos,1120302,2
Braga,1120303,2
Esposende,1120306,2
Terras de Bouro,1120310,0
Vila Verde,1120313,1
Cabeceiras de Basto,1190304,1
Fafe,1190307,1
Guimarães,1190308,2
Mondim de Basto,1191705,0
Póvoa de Lanhoso,1190309,1
Vieira do Minho,1190311,0
Vila Nova de Famalicão,1190312,2
Vizela,1190314,2
Arouca,11A0104,1
Espinho,11A0107,1
Gondomar,11A1304,2
Maia,11A1306,2
Matosinhos,11A1308,2
Oliveira de Azeméis,11A0113,2
Paredes,11A1310,2
Porto,11A1312,1
Póvoa de Varzim,11A1313,2
Santa Maria da Feira,11A0109,2
Santo Tirso,11A1314,2
São João da Madeira,11A0116,2
Trofa,11A1318,2
Vale de Cambra,11A0119,1
Valongo,11A1315,2
Vila do Conde,11A1316,2
Vila Nova de Gaia,11A1317,2
Boticas,11B1702,0
Chaves,11B1703,0
Montalegre,11B1706,0
Ribeira de Pena,11B1709,0
Valpaços,11B1712,0
Vila Pouca de Aguiar,11B1713,0
Amarante,11C1301,1
Baião,11C1302,0
Castelo de Paiva,11C0106,1
Celorico de Basto,11C0305,1
Cinfães,11C1804,0
Felgueiras,11C1303,2
Lousada,11C1305,2
Marco de Canaveses,11C1307,1
Paços de Ferreira,11C1309,2
Penafiel,11C1311,2
Resende,11C1813,0
Alijó,11D1701,0
Armamar,11D1801,0
Carrazeda de Ansiães,11D0403,0
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,1
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,0
Murça,11D1707,0
Penedono,11D1812,0
Peso da Régua,11D1708,1
Sabrosa,11D1710,0
Santa Marta de Penaguião,11D1711,0
São João da Pesqueira,11D1815,1
Sernancelhe,11D1818,0
Tabuaço,11D1819,0
Tarouca,11D1820,1
Torre de Moncorvo,11D0409,0
Vila Nova de Foz Côa,11D0914,0
Vila Real,11D1714,1
Alfândega da Fé,11E0401,0
Bragança,11E0402,1
