local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Abrantes,1.0,0.0,0.0,24.8,1.0,482.0,1.0,2.0,0.0,1.0,-0.14,5842.0,0.0,359.0,1.0,0.0,1.0,0.0,1231.0,0.0,840.0,1308.0,31.4,1.0,0.0,160.0,1.0,0.0,0.0,2507.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,32.44,1.0,57.2,47.4,1.0,0.0
Aguiar da Beira,0.0,0.0,,26.4,0.0,19.0,0.0,1.0,0.0,0.0,0.34,4126.0,0.0,132.0,1.0,0.0,1.0,0.0,93.0,0.0,140.0,87.0,34.4,0.0,0.0,184.0,0.0,0.0,0.0,287.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.74,0.0,58.6,25.6,0.0,0.0
Alandroal,0.0,0.0,,18.2,0.0,79.0,0.0,0.0,0.0,0.0,-0.26,5444.0,0.0,52.0,2.0,0.0,2.0,0.0,51.0,0.0,91.0,135.0,32.6,0.0,0.0,157.0,0.0,0.0,0.0,356.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12.86,0.0,51.9,9.2,0.0,0.0
Albergaria-a-Velha,1.0,0.0,1.0,32.2,0.0,422.0,1.0,1.0,0.0,1.0,1.78,6016.0,0.0,521.0,2.0,0.0,2.0,0.0,517.0,0.0,830.0,583.0,26.9,1.0,0.0,167.0,1.0,0.0,0.0,1888.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,20.59,0.0,76.4,159.5,1.0,0.0
Albufeira,2.0,0.0,2.0,80.4,1.0,4376.0,0.0,1.0,0.0,1.0,2.15,6180.0,0.0,877.0,0.0,0.0,0.0,0.0,1567.0,0.0,3819.0,5547.0,25.3,2.0,0.0,111.0,1.0,0.0,0.0,5031.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,36.27,0.0,78.0,330.7,1.0,0.0
Alcanena,1.0,0.0,0.0,28.1,0.0,252.0,1.0,1.0,0.0,1.0,1.07,5940.0,0.0,230.0,1.0,0.0,1.0,0.0,192.0,0.0,358.0,346.0,28.4,1.0,0.0,173.0,1.0,0.0,0.0,1042.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.68,0.0,64.2,99.1,1.0,0.0
Alcobaça,1.0,1.0,1.0,24.4,0.0,1537.0,0.0,1.0,0.0,1.0,1.79,6071.0,0.0,1242.0,0.0,1.0,0.0,0.0,833.0,1.0,1402.0,1383.0,27.7,1.0,0.0,176.0,1.0,1.0,0.0,4296.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,14.7,0.0,74.2,138.0,1.0,0.0
Alcochete,2.0,0.0,2.0,30.1,0.0,357.0,1.0,1.0,0.0,1.0,1.39,7534.0,0.0,306.0,1.0,0.0,1.0,0.0,388.0,0.0,606.0,620.0,22.7,1.0,0.0,183.0,2.0,0.0,0.0,1243.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.01,0.0,82.8,154.4,2.0,0.0
Alcoutim,0.0,0.0,,41.0,0.0,52.0,1.0,0.0,0.0,0.0,-1.85,4462.0,0.0,11.0,1.0,0.0,1.0,0.0,35.0,0.0,99.0,37.0,41.2,0.0,0.0,138.0,0.0,0.0,0.0,128.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,64.7,4.3,1.0,0.0
Alcácer do Sal,0.0,0.0,1.0,55.5,0.0,219.0,0.0,1.0,0.0,0.0,0.23,5509.0,0.0,109.0,1.0,0.0,1.0,0.0,153.0,0.0,615.0,310.0,30.6,1.0,0.0,154.0,1.0,0.0,0.0,805.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.11,0.0,60.9,7.4,1.0,0.0
Alenquer,1.0,0.0,1.0,27.2,1.0,1740.0,0.0,1.0,0.0,1.0,2.94,6602.0,0.0,1489.0,0.0,0.0,0.0,0.0,775.0,0.0,1314.0,1863.0,24.2,2.0,0.0,175.0,1.0,0.0,0.0,4107.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,15.99,0.0,89.5,154.2,1.0,0.0
Alfândega da Fé,0.0,0.0,,26.1,0.0,26.0,0.0,1.0,0.0,0.0,-0.54,4163.0,0.0,32.0,1.0,0.0,1.0,0.0,213.0,0.0,110.0,102.0,34.8,0.0,0.0,179.0,0.0,0.0,0.0,294.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,44.43,0.0,51.9,13.2,0.0,0.0
Alijó,0.0,0.0,,22.2,0.0,26.0,0.0,1.0,0.0,0.0,-0.37,4382.0,0.0,87.0,2.0,0.0,2.0,0.0,570.0,0.0,229.0,215.0,33.6,1.0,0.0,192.0,0.0,0.0,0.0,739.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,38.86,0.0,53.6,34.8,0.0,0.0
Aljezur,1.0,0.0,1.0,55.6,1.0,515.0,0.0,0.0,0.0,0.0,1.65,4984.0,0.0,130.0,0.0,0.0,0.0,0.0,141.0,0.0,354.0,186.0,28.3,1.0,0.0,138.0,0.0,0.0,0.0,539.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,23.69,0.0,59.2,19.3,0.0,0.0
Aljustrel,0.0,0.0,1.0,34.4,1.0,96.0,0.0,1.0,0.0,2.0,0.17,6508.0,0.0,101.0,1.0,0.0,1.0,0.0,533.0,0.0,307.0,198.0,29.2,0.0,0.0,185.0,1.0,0.0,0.0,592.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.65,0.0,60.5,19.4,1.0,0.0
Almada,2.0,1.0,2.0,41.0,1.0,8284.0,1.0,1.0,1.0,1.0,1.03,7685.0,1.0,2146.0,0.0,2.0,0.0,1.0,8298.0,1.0,7439.0,5635.0,25.7,2.0,0.0,190.0,1.0,1.0,1.0,14146.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,42.38,1.0,82.4,2562.1,2.0,0.0
Almeida,0.0,0.0,,49.3,0.0,67.0,0.0,1.0,0.0,0.0,-0.37,4328.0,0.0,83.0,1.0,0.0,1.0,0.0,133.0,0.0,280.0,95.0,40.8,1.0,0.0,173.0,0.0,0.0,0.0,266.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.83,0.0,50.7,11.0,1.0,0.0
Almeirim,1.0,0.0,1.0,39.2,1.0,473.0,0.0,1.0,0.0,0.0,1.01,5436.0,0.0,396.0,2.0,0.0,2.0,0.0,495.0,0.0,895.0,932.0,26.1,2.0,0.0,143.0,1.0,0.0,0.0,2094.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.42,0.0,75.9,101.7,1.0,0.0
Almodôvar,0.0,0.0,0.0,29.3,0.0,115.0,0.0,1.0,0.0,0.0,0.07,5351.0,0.0,75.0,2.0,0.0,2.0,0.0,131.0,0.0,196.0,190.0,30.8,0.0,0.0,176.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.43,0.0,63.7,8.6,1.0,0.0
Alpiarça,1.0,0.0,,46.4,0.0,71.0,0.0,1.0,0.0,0.0,1.62,5204.0,0.0,184.0,0.0,0.0,0.0,0.0,86.0,0.0,340.0,251.0,26.5,1.0,0.0,146.0,0.0,0.0,0.0,637.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.63,0.0,78.3,75.6,1.0,0.0
Alter do Chão,0.0,0.0,,35.2,2.0,36.0,0.0,2.0,0.0,0.0,0.5,5327.0,0.0,61.0,0.0,0.0,0.0,0.0,187.0,0.0,112.0,108.0,29.1,0.0,0.0,160.0,0.0,0.0,0.0,278.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18,0.0,67.5,8.7,1.0,0.0
Alvaiázere,0.0,0.0,,23.3,0.0,109.0,0.0,1.0,0.0,0.0,1.03,4592.0,0.0,157.0,0.0,0.0,0.0,0.0,175.0,0.0,148.0,76.0,34.0,0.0,0.0,154.0,0.0,0.0,0.0,398.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.92,0.0,54.4,39.2,0.0,0.0
Alvito,0.0,0.0,,47.0,0.0,33.0,0.0,2.0,0.0,1.0,0.7,5160.0,0.0,46.0,1.0,0.0,1.0,0.0,93.0,0.0,107.0,59.0,26.3,0.0,0.0,220.0,0.0,0.0,0.0,204.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.66,0.0,77.4,8.5,0.0,0.0
Amadora,2.0,0.0,2.0,29.4,1.0,11124.0,2.0,1.0,2.0,1.0,1.78,7606.0,1.0,2849.0,0.0,2.0,0.0,1.0,5235.0,1.0,5241.0,5431.0,25.2,2.0,1.0,181.0,1.0,0.0,1.0,15693.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,32.44,1.0,91.0,7363.6,2.0,1.0
Amarante,1.0,0.0,0.0,19.8,0.0,369.0,0.0,2.0,0.0,0.0,0.31,5069.0,0.0,359.0,1.0,0.0,1.0,0.0,2079.0,0.0,1034.0,1643.0,27.3,1.0,0.0,174.0,0.0,0.0,0.0,4642.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,36.81,0.0,70.2,172.8,0.0,0.0
Amares,1.0,0.0,0.0,18.1,0.0,275.0,0.0,1.0,0.0,0.0,1.86,4736.0,0.0,388.0,1.0,0.0,1.0,0.0,276.0,0.0,355.0,476.0,26.1,1.0,0.0,173.0,0.0,0.0,0.0,1603.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,12.96,0.0,84.1,234.5,0.0,0.0
