local,codigo,Alojamentos
0,0,Total
Portugal,PT,5981482
Continente,1,5736759
Norte,11,1897484
Alto Minho,111,155514
Arcos de Valdevez,1601,17810
Aboim das Choças,160101,220
Aguiã,160102,489
Ázere,160104,175
Cabana Maior,160105,417
Cabreiro,160106,366
Cendufe,160108,213
Couto,160109,504
Gavieira,160113,565
Gondoriz,160115,730
Jolda (São Paio),160142,207
Miranda,160121,405
Monte Redondo,160122,181
Oliveira,160123,233
Paçô,160124,660
Padroso,160125,232
Prozelo,160128,616
Rio de Moinhos,160131,332
Rio Frio,160130,649
Sabadim,160133,348
Senharei,160144,234
Sistelo,160145,228
Soajo,160146,998
União das freguesias de Alvora e Loureda,160152,365
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",160154,1989
União das freguesias de Arcos de Valdevez (São Paio) e Giela,160153,1237
União das freguesias de Eiras e Mei,160155,288
União das freguesias de Grade e Carralcova,160156,436
União das freguesias de Guilhadeses e Santar,160157,673
União das freguesias de Jolda (Madalena) e Rio Cabrão,160158,304
União das freguesias de Padreiro (Salvador e Santa Cristina),160159,288
União das freguesias de Portela e Extremo,160160,298
União das freguesias de São Jorge e Ermelo,160161,690
União das freguesias de Souto e Tabaçô,160162,579
União das freguesias de Távora (Santa Maria e São Vicente),160163,600
"União das freguesias de Vilela, São Cosme e São Damião e Sá",160164,470
Vale,160149,591
Caminha,1602,14378
Âncora,160201,792
Argela,160205,266
Dem,160209,193
Lanhelas,160211,580
Riba de Âncora,160214,428
Seixas,160215,1256
"União das freguesias de Arga (Baixo, Cima e São João)",160221,145
União das freguesias de Caminha (Matriz) e Vilarelho,160222,2050
União das freguesias de Gondar e Orbacém,160223,217
União das freguesias de Moledo e Cristelo,160224,2213
União das freguesias de Venade e Azevedo,160225,681
Vila Praia de Âncora,160217,4861
Vilar de Mouros,160218,536
Vile,160220,160
Melgaço,1603,7846
Alvaredo,160301,330
Cousso,160304,271
Cristoval,160305,427
Fiães,160307,212
Gave,160308,320
Paderne,160311,797
Penso,160313,422
São Paio,160317,451
União das freguesias de Castro Laboreiro e Lamas de Mouro,160319,1124
União das freguesias de Chaviães e Paços,160320,593
União das freguesias de Parada do Monte e Cubalhão,160321,695
União das freguesias de Prado e Remoães,160322,361
União das freguesias de Vila e Roussas,160323,1843
Monção,1604,13863
Abedim,160401,180
Barbeita,160404,625
Barroças e Taias,160405,215
Bela,160406,413
Cambeses,160407,348
Lara,160410,203
Longos Vales,160411,660
Merufe,160415,681
Moreira,160418,422
Pias,160420,563
Pinheiros,160421,221
Podame,160422,225
Portela,160423,193
Riba de Mouro,160424,1012
Segude,160427,251
Tangil,160428,572
Trute,160431,215
União das freguesias de Anhões e Luzio,160434,201
União das freguesias de Ceivães e Badim,160435,555
União das freguesias de Mazedo e Cortes,160436,2613
"União das freguesias de Messegães, Valadares e Sá",160437,502
União das freguesias de Monção e Troviscoso,160438,2305
"União das freguesias de Sago, Lordelo e Parada",160439,340
União das freguesias de Troporiz e Lapela,160440,348
Paredes de Coura,1605,6341
Agualonga,160501,208
Castanheira,160503,377
Coura,160505,312
Cunha,160507,306
Infesta,160510,342
Mozelos,160513,240
Padornelo,160514,277
Parada,160515,193
Romarigães,160519,219
Rubiães,160520,434
União das freguesias de Bico e Cristelo,160522,540
União das freguesias de Cossourado e Linhares,160523,432
União das freguesias de Formariz e Ferreira,160524,725
União das freguesias de Insalde e Porreiras,160525,331
União das freguesias de Paredes de Coura e Resende,160526,1221
Vascões,160521,184
Ponte da Barca,1606,8358
Azias,160601,309
Boivães,160602,170
Bravães,160603,363
Britelo,160604,497
