local,codigo,Densidade de alojamentos
Portugal,PT,64.9
Continente,1,64.4
Norte,11,89.1
Alto Minho,111,70.1
Arcos de Valdevez,1601,39.8
Aboim das Choças,160101,120.2
Aguiã,160102,128.3
Ázere,160104,55.0
Cabana Maior,160105,31.1
Cabreiro,160106,8.8
Cendufe,160108,67.4
Couto,160109,87.0
Gavieira,160113,9.8
Gondoriz,160115,21.5
Jolda (São Paio),160142,121.8
Miranda,160121,40.4
Monte Redondo,160122,76.1
Oliveira,160123,72.6
Paçô,160124,143.5
Padroso,160125,29.3
Prozelo,160128,155.6
Rio de Moinhos,160131,92.5
Rio Frio,160130,33.7
Sabadim,160133,41.8
Senharei,160144,31.1
Sistelo,160145,8.7
Soajo,160146,16.9
União das freguesias de Alvora e Loureda,160152,35.6
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",160154,377.4
União das freguesias de Arcos de Valdevez (São Paio) e Giela,160153,224.1
União das freguesias de Eiras e Mei,160155,48.0
União das freguesias de Grade e Carralcova,160156,31.3
União das freguesias de Guilhadeses e Santar,160157,172.1
União das freguesias de Jolda (Madalena) e Rio Cabrão,160158,71.9
União das freguesias de Padreiro (Salvador e Santa Cristina),160159,65.0
União das freguesias de Portela e Extremo,160160,25.7
União das freguesias de São Jorge e Ermelo,160161,28.5
União das freguesias de Souto e Tabaçô,160162,115.6
União das freguesias de Távora (Santa Maria e São Vicente),160163,89.0
"União das freguesias de Vilela, São Cosme e São Damião e Sá",160164,52.5
Vale,160149,39.1
Caminha,1602,105.3
Âncora,160201,146.1
Argela,160205,24.6
Dem,160209,30.0
Lanhelas,160211,115.1
Riba de Âncora,160214,50.1
Seixas,160215,150.8
"União das freguesias de Arga (Baixo, Cima e São João)",160221,4.7
União das freguesias de Caminha (Matriz) e Vilarelho,160222,304.2
União das freguesias de Gondar e Orbacém,160223,19.6
União das freguesias de Moledo e Cristelo,160224,213.6
União das freguesias de Venade e Azevedo,160225,59.8
Vila Praia de Âncora,160217,580.8
Vilar de Mouros,160218,51.6
Vile,160220,57.1
Melgaço,1603,32.9
Alvaredo,160301,75.7
Cousso,160304,37.5
Cristoval,160305,76.8
Fiães,160307,18.9
Gave,160308,17.2
Paderne,160311,62.0
Penso,160313,47.7
São Paio,160317,45.3
União das freguesias de Castro Laboreiro e Lamas de Mouro,160319,10.6
União das freguesias de Chaviães e Paços,160320,69.9
União das freguesias de Parada do Monte e Cubalhão,160321,23.3
União das freguesias de Prado e Remoães,160322,98.4
União das freguesias de Vila e Roussas,160323,160.1
Monção,1604,65.6
Abedim,160401,23.3
Barbeita,160404,90.8
Barroças e Taias,160405,79.0
Bela,160406,109.0
Cambeses,160407,86.6
Lara,160410,41.2
Longos Vales,160411,47.1
Merufe,160415,23.9
Moreira,160418,113.1
Pias,160420,50.6
Pinheiros,160421,103.8
Podame,160422,61.6
Portela,160423,23.8
Riba de Mouro,160424,72.0
Segude,160427,105.9
Tangil,160428,25.0
Trute,160431,35.7
União das freguesias de Anhões e Luzio,160434,14.0
União das freguesias de Ceivães e Badim,160435,62.0
União das freguesias de Mazedo e Cortes,160436,215.4
"União das freguesias de Messegães, Valadares e Sá",160437,60.8
União das freguesias de Monção e Troviscoso,160438,265.6
"União das freguesias de Sago, Lordelo e Parada",160439,40.8
União das freguesias de Troporiz e Lapela,160440,87.9
Paredes de Coura,1605,45.9
Agualonga,160501,39.1
Castanheira,160503,48.6
Coura,160505,47.3
Cunha,160507,30.7
Infesta,160510,58.1
Mozelos,160513,71.4
Padornelo,160514,41.6
Parada,160515,32.7
Romarigães,160519,30.7
Rubiães,160520,47.8
União das freguesias de Bico e Cristelo,160522,46.2
União das freguesias de Cossourado e Linhares,160523,44.8
União das freguesias de Formariz e Ferreira,160524,37.1
União das freguesias de Insalde e Porreiras,160525,18.8
União das freguesias de Paredes de Coura e Resende,160526,209.1
Vascões,160521,29.6
Ponte da Barca,1606,45.9
Azias,160601,36.6
Boivães,160602,43.5
Bravães,160603,87.1
Britelo,160604,38.5
Cuide de Vila Verde,160606,55.2
Lavradas,160611,75.6
Lindoso,160612,8.5
Nogueira,160613,112.1
Oleiros,160614,87.4
Sampriz,160619,40.9
