local,codigo,Edifícios de habitação familiar clássica
Portugal,PT,3589361.0
Continente,1,3396919.0
Norte,11,1234073.0
Alto Minho,111,124124.0
Arcos de Valdevez,1111601,15769.0
Caminha,1111602,9577.0
Melgaço,1111603,7204.0
Monção,1111604,11875.0
Paredes de Coura,1111605,5972.0
Ponte da Barca,1111606,7144.0
Ponte de Lima,1111607,20255.0
Valença,1111608,7017.0
Viana do Castelo,1111609,33650.0
Vila Nova de Cerveira,1111610,5661.0
Cávado,112,131164.0
Amares,1120301,8866.0
Barcelos,1120302,39287.0
Braga,1120303,40794.0
Esposende,1120306,16091.0
Terras de Bouro,1120310,4631.0
Vila Verde,1120313,21495.0
Ave,119,143851.0
Cabeceiras de Basto,1190304,8781.0
Fafe,1190307,20837.0
Guimarães,1190308,45519.0
Mondim de Basto,1191705,4129.0
Póvoa de Lanhoso,1190309,10327.0
Vieira do Minho,1190311,7392.0
Vila Nova de Famalicão,1190312,40675.0
Vizela,1190314,6191.0
Área Metropolitana do Porto,11A,418183.0
Arouca,11A0104,10347.0
Espinho,11A0107,8785.0
Gondomar,11A1304,36765.0
Maia,11A1306,26462.0
Matosinhos,11A1308,32509.0
Oliveira de Azeméis,11A0113,22845.0
Paredes,11A1310,24396.0
Porto,11A1312,39440.0
Póvoa de Varzim,11A1313,17814.0
Santa Maria da Feira,11A0109,44753.0
Santo Tirso,11A1314,22608.0
São João da Madeira,11A0116,3294.0
Trofa,11A1318,10127.0
Vale de Cambra,11A0119,9623.0
Valongo,11A1315,19149.0
Vila do Conde,11A1316,23073.0
Vila Nova de Gaia,11A1317,66193.0
Alto Tâmega e Barroso,11B,64424.0
Boticas,11B1702,4679.0
Chaves,11B1703,22696.0
Montalegre,11B1706,10530.0
Ribeira de Pena,11B1709,4719.0
Valpaços,11B1712,12313.0
Vila Pouca de Aguiar,11B1713,9487.0
Tâmega e Sousa,11C,162966.0
Amarante,11C1301,23685.0
Baião,11C1302,10718.0
Castelo de Paiva,11C0106,6636.0
Celorico de Basto,11C0305,10143.0
Cinfães,11C1804,11346.0
Felgueiras,11C1303,18423.0
Lousada,11C1305,15167.0
Marco de Canaveses,11C1307,19600.0
Paços de Ferreira,11C1309,15739.0
Penafiel,11C1311,24378.0
Resende,11C1813,7131.0
Douro,11D,118420.0
Alijó,11D1701,8099.0
Armamar,11D1801,4640.0
Carrazeda de Ansiães,11D0403,5108.0
Freixo de Espada à Cinta,11D0404,3065.0
Lamego,11D1805,12445.0
Mesão Frio,11D1704,2200.0
Moimenta da Beira,11D1807,7031.0
Murça,11D1707,4065.0
Penedono,11D1812,2702.0
Peso da Régua,11D1708,6673.0
Sabrosa,11D1710,4670.0
Santa Marta de Penaguião,11D1711,4361.0
São João da Pesqueira,11D1815,5368.0
Sernancelhe,11D1818,4512.0
Tabuaço,11D1819,4077.0
Tarouca,11D1820,5352.0
Torre de Moncorvo,11D0409,6656.0
Vila Nova de Foz Côa,11D0914,6031.0
Vila Real,11D1714,21365.0
Terras de Trás-os-Montes,11E,70941.0
Alfândega da Fé,11E0401,3649.0
Bragança,11E0402,16924.0
Macedo de Cavaleiros,11E0405,9927.0
Miranda do Douro,11E0406,5332.0
Mirandela,11E0407,11787.0
Mogadouro,11E0408,6799.0
Vila Flor,11E0410,4868.0
Vimioso,11E0411,4700.0
Vinhais,11E0412,6955.0
Centro,19,844262.0
Região de Aveiro,191,143511.0
Águeda,1910101,18738.0
Albergaria-a-Velha,1910102,10249.0
Anadia,1910103,12925.0
Aveiro,1910105,23183.0
Estarreja,1910108,11247.0
Ílhavo,1910110,15294.0
Murtosa,1910112,5941.0
Oliveira do Bairro,1910114,9173.0
Ovar,1910115,19509.0
Sever do Vouga,1910117,6513.0
Vagos,1910118,10739.0
Região de Coimbra,192,203030.0
Arganil,1920601,9959.0
Cantanhede,1920602,18903.0
Coimbra,1920603,40792.0
Condeixa-a-Nova,1920604,6472.0
Figueira da Foz,1920605,24915.0
Góis,1920606,4809.0
Lousã,1920607,7123.0
Mealhada,1920111,8577.0
Mira,1920608,7081.0
Miranda do Corvo,1920609,6085.0
Montemor-o-Velho,1920610,11635.0
Mortágua,1921808,5686.0
Oliveira do Hospital,1920611,11799.0
Pampilhosa da Serra,1920612,5364.0
Penacova,1920613,7918.0
Penela,1920614,4156.0
Soure,1920615,10158.0
Tábua,1920616,7812.0
Vila Nova de Poiares,1920617,3786.0
Região de Leiria,193,134275.0
Alvaiázere,1931002,5445.0
Ansião,1931003,7765.0
Batalha,1931004,7495.0
Castanheira de Pêra,1931007,2480.0
Figueiró dos Vinhos,1931008,4565.0
Leiria,1931009,47525.0
Marinha Grande,1931010,14943.0
Pedrógão Grande,1931013,3354.0
Pombal,1931015,29329.0
Porto de Mós,1931016,11374.0
Viseu Dão Lafões,194,142465.0
Aguiar da Beira,1940901,4839.0
Carregal do Sal,1941802,6137.0
Castro Daire,1941803,11945.0
Mangualde,1941806,11250.0
Nelas,1941809,7446.0
Oliveira de Frades,1941810,5205.0
Penalva do Castelo,1941811,5311.0
Santa Comba Dão,1941814,6480.0
São Pedro do Sul,1941816,10428.0
Sátão,1941817,8606.0
Tondela,1941821,16084.0
Vila Nova de Paiva,1941822,4385.0
Viseu,1941823,37893.0
Vouzela,1941824,6456.0
Beira Baixa,195,72129.0
Castelo Branco,1950502,25539.0
Idanha-a-Nova,1950505,12121.0
Oleiros,1950506,4750.0
Penamacor,1950507,6680.0
Proença-a-Nova,1950508,5918.0
Sertã,1950509,10743.0
Vila de Rei,1950510,2891.0
Vila Velha de Ródão,1950511,3487.0
Beiras e Serra da Estrela,196,148852.0
Almeida,1960902,6454.0
Belmonte,1960501,4350.0
Celorico da Beira,1960903,5856.0
Covilhã,1960503,22099.0
Figueira de Castelo Rodrigo,1960904,5203.0
Fornos de Algodres,1960905,3707.0
Fundão,1960504,18443.0
Gouveia,1960906,10164.0
Guarda,1960907,19645.0
Manteigas,1960908,2315.0
Mêda,1960909,4819.0
Pinhel,1960910,7629.0
Sabugal,1960911,15357.0
Seia,1960912,14731.0
Trancoso,1960913,8080.0
Oeste e Vale do Tejo,1D,382839.0
Oeste,1D1,163200.0
Alcobaça,1D11001,26900.0
Alenquer,1D11101,16360.0
Arruda dos Vinhos,1D11102,4731.0
Bombarral,1D11005,6571.0
Cadaval,1D11104,7969.0
Caldas da Rainha,1D11006,19649.0
Lourinhã,1D11108,13788.0
