local,codigo,Novos contratos de arrendamento de alojamentos familiares (N.º) por Localização geográfica (NUTS - 2024); Anual
Portugal,PT,98657.0
Continente,1,95929.0
Norte,11,31823.0
Alto Minho,111,2377.0
Arcos de Valdevez,1111601,144.0
Caminha,1111602,155.0
Melgaço,1111603,40.0
Monção,1111604,205.0
Paredes de Coura,1111605,40.0
Ponte da Barca,1111606,83.0
Ponte de Lima,1111607,248.0
Valença,1111608,278.0
Viana do Castelo,1111609,1107.0
Vila Nova de Cerveira,1111610,77.0
Cávado,112,3994.0
Amares,1120301,110.0
Barcelos,1120302,796.0
Braga,1120303,2501.0
Esposende,1120306,370.0
Terras de Bouro,1120310,0.0
Vila Verde,1120313,201.0
Ave,119,2779.0
Cabeceiras de Basto,1190304,52.0
Fafe,1190307,302.0
Guimarães,1190308,1250.0
Mondim de Basto,1191705,0.0
Póvoa de Lanhoso,1190309,122.0
Vieira do Minho,1190311,0.0
Vila Nova de Famalicão,1190312,851.0
Vizela,1190314,140.0
Área Metropolitana do Porto,11A,17577.0
Arouca,11A0104,108.0
Alvarenga,11A010402,0.0
Chave,11A010407,0.0
Escariz,11A010409,0.0
Fermedo,11A010411,0.0
Mansores,11A010413,0.0
Moldes,11A010414,0.0
Rossas,11A010415,0.0
Santa Eulália,11A010416,0.0
São Miguel do Mato,11A010417,0.0
Tropeço,11A010418,0.0
União das freguesias de Arouca e Burgo,11A010421,52.0
União das freguesias de Cabreiros e Albergaria da Serra,11A010422,0.0
União das freguesias de Canelas e Espiunca,11A010423,0.0
União das freguesias de Covelo de Paivó e Janarde,11A010424,0.0
Urrô,11A010419,0.0
Várzea,11A010420,0.0
Espinho,11A0107,289.0
Espinho,11A010702,175.0
Paramos,11A010704,0.0
Silvalde,11A010705,35.0
União das freguesias de Anta e Guetim,11A010706,59.0
Gondomar,11A1304,1063.0
Baguim do Monte (Rio Tinto),11A130412,76.0
Lomba,11A130405,0.0
Rio Tinto,11A130408,458.0
União das freguesias de Fânzeres e São Pedro da Cova,11A130413,222.0
União das freguesias de Foz do Sousa e Covelo,11A130414,0.0
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",11A130415,281.0
União das freguesias de Melres e Medas,11A130416,0.0
Maia,11A1306,1105.0
Águas Santas,11A130601,198.0
Castêlo da Maia,11A130618,147.0
Cidade da Maia,11A130619,314.0
Folgosa,11A130603,0.0
Milheirós,11A130608,0.0
Moreira,11A130609,89.0
Nogueira e Silva Escura,11A130620,50.0
Pedrouços,11A130617,224.0
São Pedro Fins,11A130613,0.0
Vila Nova da Telha,11A130616,36.0
Matosinhos,11A1308,1838.0
"União das freguesias de Custóias, Leça do Balio e Guifões",11A130811,285.0
União das freguesias de Matosinhos e Leça da Palmeira,11A130812,612.0
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",11A130813,171.0
União das freguesias de São Mamede de Infesta e Senhora da Hora,11A130814,770.0
Oliveira de Azeméis,11A0113,593.0
Carregosa,11A011301,0.0
Cesar,11A011302,0.0
Fajões,11A011303,0.0
Loureiro,11A011304,0.0
Macieira de Sarnes,11A011305,0.0
Ossela,11A011310,0.0
São Martinho da Gândara,11A011315,0.0
São Roque,11A011318,37.0
União das freguesias de Nogueira do Cravo e Pindelo,11A011320,35.0
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",11A011321,288.0
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",11A011322,0.0
Vila de Cucujães,11A011319,74.0
Paredes,11A1310,532.0
Aguiar de Sousa,11A131001,0.0
Astromil,11A131002,0.0
Baltar,11A131003,0.0
Beire,11A131004,0.0
Cete,11A131008,0.0
Cristelo,11A131009,0.0
Duas Igrejas,11A131010,0.0
Gandra,11A131011,82.0
Lordelo,11A131013,45.0
Louredo,11A131014,0.0
Parada de Todeia,11A131017,0.0
Paredes,11A131025,185.0
Rebordosa,11A131018,48.0
Recarei,11A131019,0.0
Sobreira,11A131020,0.0
Sobrosa,11A131021,0.0
Vandoma,11A131022,0.0
Vilela,11A131024,0.0
Porto,11A1312,4854.0
Bonfim,11A131202,653.0
Campanhã,11A131203,399.0
Paranhos,11A131210,1462.0
Ramalde,11A131211,451.0
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,260.0
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,1257.0
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,372.0
Póvoa de Varzim,11A1313,719.0
Balazar,11A131305,0.0
Estela,11A131307,0.0
Laundos,11A131308,0.0
Rates,11A131311,0.0
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",11A131315,507.0
União das freguesias de Aguçadoura e Navais,11A131314,33.0
"União das freguesias de Aver-o-Mar, Amorim e Terroso",11A131313,139.0
Santa Maria da Feira,11A0109,902.0
Argoncilhe,11A010901,34.0
Arrifana,11A010902,54.0
Escapães,11A010904,0.0
Fiães,11A010907,38.0
Fornos,11A010908,0.0
Lourosa,11A010913,76.0
Milheirós de Poiares,11A010914,0.0
Mozelos,11A010916,0.0
Nogueira da Regedoura,11A010917,0.0
Paços de Brandão,11A010919,0.0
Rio Meão,11A010921,0.0
Romariz,11A010922,0.0
Sanguedo,11A010924,0.0
Santa Maria de Lamas,11A010925,0.0
São João de Ver,11A010926,82.0
São Paio de Oleiros,11A010918,0.0
União das freguesias de Caldas de São Jorge e Pigeiros,11A010932,0.0
"União das freguesias de Canedo, Vale e Vila Maior",11A010933,47.0
"União das freguesias de Lobão, Gião, Louredo e Guisande",11A010934,57.0
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",11A010935,242.0
União de freguesias de São Miguel de Souto e Mosteirô,11A010936,0.0
Santo Tirso,11A1314,325.0
Agrela,11A131401,0.0
Água Longa,11A131402,0.0
Aves,11A131405,45.0
Monte Córdova,11A131413,0.0
Negrelos (São Tomé),11A131430,0.0
Rebordões,11A131416,0.0
Reguenga,11A131418,0.0
Roriz,11A131419,0.0
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",11A131433,0.0
União das freguesias de Carreira e Refojos de Riba de Ave,11A131435,0.0
União das freguesias de Lamelas e Guimarei,11A131436,0.0
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",11A131437,146.0
Vila Nova do Campo,11A131434,0.0
Vilarinho,11A131432,0.0
São João da Madeira,11A0116,265.0
São João da Madeira,11A011601,265.0
Trofa,11A1318,273.0
Covelas,11A131806,0.0
Muro,11A131808,0.0
União das freguesias de Alvarelhos e Guidões,11A131809,0.0
União das freguesias de Bougado (São Martinho e Santiago),11A131810,194.0
União das freguesias de Coronado (São Romão e São Mamede),11A131811,49.0
Vale de Cambra,11A0119,138.0
Arões,11A011901,0.0
Cepelos,11A011903,0.0
Junqueira,11A011905,0.0
Macieira de Cambra,11A011906,0.0
Roge,11A011907,0.0
São Pedro de Castelões,11A011902,39.0
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",11A011910,69.0
Valongo,11A1315,671.0
Alfena,11A131501,92.0
Ermesinde,11A131503,322.0
União das freguesias de Campo e Sobrado,11A131506,47.0
Valongo,11A131505,210.0
Vila do Conde,11A1316,549.0
Árvore,11A131602,33.0
Aveleda,11A131603,0.0
Azurara,11A131604,0.0
Fajozes,11A131607,0.0
Gião,11A131610,0.0
Guilhabreu,11A131611,0.0
Junqueira,11A131612,0.0
Labruge,11A131613,38.0
Macieira da Maia,11A131614,0.0
Mindelo,11A131616,0.0
Modivas,11A131617,0.0
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",11A131631,0.0
União das freguesias de Fornelo e Vairão,11A131632,0.0
União das freguesias de Malta e Canidelo,11A131633,0.0
União das freguesias de Retorta e Tougues,11A131634,0.0
União das freguesias de Rio Mau e Arcos,11A131635,0.0
União das freguesias de Touguinha e Touguinhó,11A131636,0.0
União das freguesias de Vilar e Mosteiró,11A131637,0.0
Vila Chã,11A131627,0.0
Vila do Conde,11A131628,281.0
Vilar de Pinheiro,11A131630,0.0
Vila Nova de Gaia,11A1317,3353.0
Arcozelo,11A131701,97.0
Avintes,11A131702,79.0
Canelas,11A131703,96.0
Canidelo,11A131704,343.0
Madalena,11A131709,74.0
Oliveira do Douro,11A131712,293.0
São Félix da Marinha,11A131717,149.0
União das freguesias de Grijó e Sermonde,11A131725,59.0
União das freguesias de Gulpilhares e Valadares,11A131726,188.0
União das freguesias de Mafamude e Vilar do Paraíso,11A131727,853.0
União das freguesias de Pedroso e Seixezelo,11A131728,123.0
"União das freguesias de Sandim, Olival, Lever e Crestuma",11A131729,48.0
União das freguesias de Santa Marinha e São Pedro da Afurada,11A131730,752.0
União das freguesias de Serzedo e Perosinho,11A131731,57.0
Vilar de Andorinho,11A131723,142.0
Alto Tâmega e Barroso,11B,621.0
Boticas,11B1702,0.0
Chaves,11B1703,439.0
Montalegre,11B1706,0.0
Ribeira de Pena,11B1709,0.0
Valpaços,11B1712,69.0
Vila Pouca de Aguiar,11B1713,54.0
Tâmega e Sousa,11C,2045.0
Amarante,11C1301,313.0
Baião,11C1302,67.0
Castelo de Paiva,11C0106,55.0
Celorico de Basto,11C0305,54.0
Cinfães,11C1804,77.0
Felgueiras,11C1303,304.0
Lousada,11C1305,238.0
Marco de Canaveses,11C1307,242.0
Paços de Ferreira,11C1309,289.0
Penafiel,11C1311,384.0
Resende,11C1813,0.0
Douro,11D,1275.0
Alijó,11D1701,0.0
Armamar,11D1801,0.0
Carrazeda de Ansiães,11D0403,0.0
Freixo de Espada à Cinta,11D0404,0.0
Lamego,11D1805,178.0
Mesão Frio,11D1704,0.0
Moimenta da Beira,11D1807,60.0
Murça,11D1707,0.0
Penedono,11D1812,0.0
Peso da Régua,11D1708,62.0
Sabrosa,11D1710,0.0
Santa Marta de Penaguião,11D1711,0.0
São João da Pesqueira,11D1815,0.0
Sernancelhe,11D1818,0.0
Tabuaço,11D1819,0.0
Tarouca,11D1820,0.0
Torre de Moncorvo,11D0409,0.0
Vila Nova de Foz Côa,11D0914,43.0
Vila Real,11D1714,687.0
Terras de Trás-os-Montes,11E,1155.0
Alfândega da Fé,11E0401,0.0
Bragança,11E0402,636.0
Macedo de Cavaleiros,11E0405,108.0
Miranda do Douro,11E0406,34.0
Mirandela,11E0407,299.0
Mogadouro,11E0408,0.0
Vila Flor,11E0410,35.0
Vimioso,11E0411,0.0
Vinhais,11E0412,0.0
Centro,19,17124.0
Região de Aveiro,191,4183.0
Águeda,1910101,471.0
Albergaria-a-Velha,1910102,230.0
Anadia,1910103,224.0
Aveiro,1910105,1512.0
Estarreja,1910108,195.0
Ílhavo,1910110,420.0
Murtosa,1910112,85.0
Oliveira do Bairro,1910114,277.0
Ovar,1910115,423.0
Sever do Vouga,1910117,104.0
Vagos,1910118,242.0
Região de Coimbra,192,4709.0
Arganil,1920601,79.0
Cantanhede,1920602,281.0
Coimbra,1920603,2441.0
Condeixa-a-Nova,1920604,118.0
