local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
0,0,Total
Portugal,PT,10178146
Continente,1,9698154
Norte,11,3542430
Alto Minho,111,227881
Arcos de Valdevez,1601,20338
Aboim das Choças,160101,295
Aguiã,160102,707
Ázere,160104,207
Cabana Maior,160105,177
Cabreiro,160106,324
Cendufe,160108,308
Couto,160109,599
Gavieira,160113,258
Gondoriz,160115,861
Jolda (São Paio),160142,315
Miranda,160121,245
Monte Redondo,160122,196
Oliveira,160123,327
Paçô,160124,970
Padroso,160125,197
Prozelo,160128,740
Rio de Moinhos,160131,433
Rio Frio,160130,494
Sabadim,160133,410
Senharei,160144,164
Sistelo,160145,199
Soajo,160146,668
União das freguesias de Alvora e Loureda,160152,378
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",160154,2676
União das freguesias de Arcos de Valdevez (São Paio) e Giela,160153,1674
União das freguesias de Eiras e Mei,160155,322
União das freguesias de Grade e Carralcova,160156,410
União das freguesias de Guilhadeses e Santar,160157,1122
União das freguesias de Jolda (Madalena) e Rio Cabrão,160158,421
União das freguesias de Padreiro (Salvador e Santa Cristina),160159,349
União das freguesias de Portela e Extremo,160160,323
União das freguesias de São Jorge e Ermelo,160161,682
União das freguesias de Souto e Tabaçô,160162,913
União das freguesias de Távora (Santa Maria e São Vicente),160163,848
"União das freguesias de Vilela, São Cosme e São Damião e Sá",160164,476
Vale,160149,650
Caminha,1602,15518
Âncora,160201,1169
Argela,160205,368
Dem,160209,308
Lanhelas,160211,897
Riba de Âncora,160214,680
Seixas,160215,1351
"União das freguesias de Arga (Baixo, Cima e São João)",160221,159
União das freguesias de Caminha (Matriz) e Vilarelho,160222,2254
União das freguesias de Gondar e Orbacém,160223,398
União das freguesias de Moledo e Cristelo,160224,1488
União das freguesias de Venade e Azevedo,160225,880
Vila Praia de Âncora,160217,4553
Vilar de Mouros,160218,725
Vile,160220,288
Melgaço,1603,7580
Alvaredo,160301,492
Cousso,160304,239
Cristoval,160305,417
Fiães,160307,146
Gave,160308,180
Paderne,160311,976
Penso,160313,445
São Paio,160317,535
União das freguesias de Castro Laboreiro e Lamas de Mouro,160319,485
União das freguesias de Chaviães e Paços,160320,559
União das freguesias de Parada do Monte e Cubalhão,160321,477
União das freguesias de Prado e Remoães,160322,429
União das freguesias de Vila e Roussas,160323,2200
Monção,1604,17528
Abedim,160401,191
Barbeita,160404,861
Barroças e Taias,160405,279
Bela,160406,590
Cambeses,160407,496
Lara,160410,255
Longos Vales,160411,863
Merufe,160415,838
Moreira,160418,572
Pias,160420,763
Pinheiros,160421,319
Podame,160422,235
Portela,160423,202
Riba de Mouro,160424,802
Segude,160427,320
Tangil,160428,629
Trute,160431,246
União das freguesias de Anhões e Luzio,160434,196
União das freguesias de Ceivães e Badim,160435,539
União das freguesias de Mazedo e Cortes,160436,3810
"União das freguesias de Messegães, Valadares e Sá",160437,553
União das freguesias de Monção e Troviscoso,160438,3134
"União das freguesias de Sago, Lordelo e Parada",160439,381
União das freguesias de Troporiz e Lapela,160440,454
Paredes de Coura,1605,8488
Agualonga,160501,263
Castanheira,160503,637
Coura,160505,330
Cunha,160507,459
Infesta,160510,413
Mozelos,160513,324
Padornelo,160514,411
Parada,160515,278
Romarigães,160519,224
Rubiães,160520,492
União das freguesias de Bico e Cristelo,160522,703
União das freguesias de Cossourado e Linhares,160523,509
União das freguesias de Formariz e Ferreira,160524,913
União das freguesias de Insalde e Porreiras,160525,393
União das freguesias de Paredes de Coura e Resende,160526,1921
Vascões,160521,218
Ponte da Barca,1606,10884
Azias,160601,303
Boivães,160602,264
Bravães,160603,600
Britelo,160604,379
Cuide de Vila Verde,160606,311
Lavradas,160611,826
Lindoso,160612,373
Nogueira,160613,374
Oleiros,160614,447
Sampriz,160619,307
"União das freguesias de Crasto, Ruivos e Grovelas",160626,759
"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil",160627,464
"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",160628,4076
União das freguesias de Touvedo (São Lourenço e Salvador),160629,327
União das freguesias de Vila Chã (São João Baptista e Santiago),160630,539
Vade (São Pedro),160623,240
Vade (São Tomé),160624,295
Ponte de Lima,1607,40617
Anais,160701,1026
Arca e Ponte de Lima,160752,3731
Arcozelo,160704,3500
"Ardegão, Freixo e Mato",160753,1506
Associação de freguesias do Vale do Neiva,160754,903
Bárrio e Cepões,160755,784
Beiral do Lima,160707,498
Bertiandos,160708,360
Boalhosa,160709,117
Brandara,160710,420
Cabaços e Fojo Lobal,160756,818
Cabração e Moreira do Lima,160757,884
Calheiros,160713,927
Calvelo,160714,617
Correlhã,160716,2741
Estorãos,160717,408
Facha,160718,1389
Feitosa,160719,1865
Fontão,160721,1067
Fornelos e Queijada,160758,1840
Friastelas,160724,430
Gandra,160726,1032
Gemieira,160727,601
Gondufe,160728,420
Labruja,160729,383
