local,codigo,Valor mediano das vendas por m2
0,0,Total
Portugal,PT,1777
Continente,1,1778
Norte,11,1558
Alto Minho,111,1248
Arcos de Valdevez,1111601,958
Caminha,1111602,1425
Melgaço,1111603,400
Monção,1111604,1205
Paredes de Coura,1111605,708
Ponte da Barca,1111606,952
Ponte de Lima,1111607,1246
Valença,1111608,893
Viana do Castelo,1111609,1591
Vila Nova de Cerveira,1111610,883
Cávado,112,1527
Amares,1120301,1118
Barcelos,1120302,1347
Abade de Neiva,112030201,1334
Aborim,112030202,0
Adães,112030203,0
Airó,112030205,0
Aldreu,112030206,0
Alvelos,112030208,0
Arcozelo,112030209,1281
Areias,112030210,0
Balugães,112030212,0
Barcelinhos,112030213,1809
Barqueiros,112030215,0
Cambeses,112030216,0
Carapeços,112030218,0
Carvalhal,112030220,0
Carvalhas,112030221,0
Cossourado,112030224,0
Cristelo,112030228,0
Fornelos,112030234,0
Fragoso,112030235,0
Galegos (Santa Maria),112030268,0
Galegos (São Martinho),112030272,0
Gilmonde,112030237,0
Lama,112030242,0
Lijó,112030243,0
Macieira de Rates,112030244,0
Manhente,112030245,0
Martim,112030247,0
Moure,112030252,0
Oliveira,112030254,0
Palme,112030255,0
Panque,112030256,0
Paradela,112030257,0
Pereira,112030259,0
Perelhal,112030260,0
Pousa,112030261,0
Remelhe,112030263,0
Rio Covo (Santa Eugénia),112030265,0
Roriz,112030264,0
Silva,112030279,0
Tamel (São Veríssimo),112030277,0
Ucha,112030282,0
União das freguesias de Alheira e Igreja Nova,112030290,0
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,112030291,0
União das freguesias de Areias de Vilar e Encourados,112030292,0
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",112030293,1670
União das freguesias de Campo e Tamel (São Pedro Fins),112030294,0
União das freguesias de Carreira e Fonte Coberta,112030295,0
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",112030296,0
União das freguesias de Creixomil e Mariz,112030297,0
União das freguesias de Durrães e Tregosa,112030298,0
União das freguesias de Gamil e Midões,112030299,0
"União das freguesias de Milhazes, Vilar de Figos e Faria",1120302FA,0
União das freguesias de Negreiros e Chavão,1120302FB,0
União das freguesias de Quintiães e Aguiar,1120302FC,0
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),1120302FD,0
União das freguesias de Silveiros e Rio Covo (Santa Eulália),1120302FE,0
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,1120302FF,0
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",1120302FG,1162
União das freguesias de Vila Cova e Feitos,1120302FH,0
Várzea,112030283,1528
Vila Seca,112030287,0
Braga,1120303,1671
Adaúfe,112030301,0
Braga (São Vicente),112030349,1770
Braga (São Vítor),112030351,1729
Espinho,112030312,0
Esporões,112030313,0
Figueiredo,112030315,0
Gualtar,112030319,1944
Lamas,112030322,0
Mire de Tibães,112030325,0
Padim da Graça,112030330,0
Palmeira,112030331,1368
Pedralva,112030334,0
Priscos,112030336,0
Ruilhe,112030338,0
Sequeira,112030354,0
Sobreposta,112030355,0
Tadim,112030356,0
Tebosa,112030357,0
União das freguesias de Arentim e Cunha,112030363,0
"União das freguesias de Braga (Maximinos, Sé e Cividade)",112030364,1551
União das freguesias de Braga (São José de São Lázaro e São João do Souto),112030365,1655
União das freguesias de Cabreiros e Passos (São Julião),112030366,0
"União das freguesias de Celeirós, Aveleda e Vimieiro",112030367,1400
União das freguesias de Crespos e Pousada,112030368,0
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),112030369,0
União das freguesias de Este (São Pedro e São Mamede),112030370,0
União das freguesias de Ferreiros e Gondizalves,112030371,1693
União das freguesias de Guisande e Oliveira (São Pedro),112030372,0
União das freguesias de Lomar e Arcos,112030373,1508
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",112030374,1333
União das freguesias de Merelim (São Pedro) e Frossos,112030375,1518
União das freguesias de Morreira e Trandeiras,112030376,0
"União das freguesias de Nogueira, Fraião e Lamaçães",112030377,1976
União das freguesias de Nogueiró e Tenões,112030378,1975
"União das freguesias de Real, Dume e Semelhe",112030379,1701
União das freguesias de Santa Lucrécia de Algeriz e Navarra,112030380,0
União das freguesias de Vilaça e Fradelos,112030381,0
Esposende,1120306,1986
Terras de Bouro,1120310,763
Vila Verde,1120313,1219
Ave,119,1256
Cabeceiras de Basto,1190304,750
Fafe,1190307,1078
Guimarães,1190308,1358
Aldão,119030801,1408
Azurém,119030804,1615
Barco,119030806,0
Brito,119030807,0
Caldelas,119030808,1438
Candoso (São Martinho),119030857,0
Costa,119030812,1638
Creixomil,119030813,1418
Fermentões,119030815,1328
Gonça,119030820,0
Gondar,119030821,0
Guardizela,119030823,0
Infantas,119030824,0
Longos,119030827,0
Lordelo,119030828,1061
Mesão Frio,119030830,1458
Moreira de Cónegos,119030831,1107
Nespereira,119030832,0
Pencelo,119030835,0
Pinheiro,119030836,0
Polvoreira,119030837,0
Ponte,119030838,1345
Prazins (Santa Eufémia),119030842,0
Ronfe,119030840,1268
Sande (São Martinho),119030858,0
São Torcato,119030865,829
Selho (São Cristóvão),119030850,0
Selho (São Jorge),119030854,1172
Serzedelo,119030866,0
Silvares,119030868,0
União das freguesias de Abação e Gémeos,119030875,0
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",119030876,0
União das freguesias de Arosa e Castelões,119030877,0
União das freguesias de Atães e Rendufe,119030878,0
União das freguesias de Briteiros Santo Estêvão e Donim,119030879,0
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,119030880,0
União das freguesias de Candoso São Tiago e Mascotelos,119030881,0
União das freguesias de Conde e Gandarela,119030882,0
"União das freguesias de Leitões, Oleiros e Figueiredo",119030883,0
"União das freguesias de Oliveira, São Paio e São Sebastião",119030884,1786
União das freguesias de Prazins Santo Tirso e Corvite,119030885,0
União das freguesias de Sande São Lourenço e Balazar,119030886,0
União das freguesias de Sande Vila Nova e Sande São Clemente,119030887,0
União das freguesias de Selho São Lourenço e Gominhães,119030888,0
União das freguesias de Serzedo e Calvos,119030889,0
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",119030890,0
União das freguesias de Tabuadelo e São Faustino,119030891,0
Urgezes,119030871,1477
Mondim de Basto,1191705,662
