local,codigo,Bens imóveis culturais
Portugal,PT,4852.0
Continente,1,4340.0
Norte,11,1468.0
Alto Minho,111,211.0
Arcos de Valdevez,1111601,29.0
Caminha,1111602,20.0
Melgaço,1111603,23.0
Monção,1111604,13.0
Paredes de Coura,1111605,9.0
Ponte da Barca,1111606,11.0
Ponte de Lima,1111607,51.0
Valença,1111608,9.0
Viana do Castelo,1111609,38.0
Vila Nova de Cerveira,1111610,8.0
Cávado,112,149.0
Amares,1120301,15.0
Barcelos,1120302,23.0
Braga,1120303,81.0
Esposende,1120306,10.0
Terras de Bouro,1120310,7.0
Vila Verde,1120313,13.0
Ave,119,127.0
Cabeceiras de Basto,1190304,12.0
Fafe,1190307,9.0
Guimarães,1190308,54.0
Mondim de Basto,1191705,6.0
Póvoa de Lanhoso,1190309,14.0
Vieira do Minho,1190311,10.0
Vila Nova de Famalicão,1190312,16.0
Vizela,1190314,6.0
Área Metropolitana do Porto,11A,308.0
Arouca,11A0104,13.0
Espinho,11A0107,1.0
Gondomar,11A1304,6.0
Maia,11A1306,3.0
Matosinhos,11A1308,32.0
Oliveira de Azeméis,11A0113,11.0
Paredes,11A1310,13.0
Porto,11A1312,131.0
Póvoa de Varzim,11A1313,13.0
Santa Maria da Feira,11A0109,15.0
Santo Tirso,11A1314,12.0
São João da Madeira,11A0116,1.0
Trofa,11A1318,3.0
Vale de Cambra,11A0119,3.0
Valongo,11A1315,3.0
Vila do Conde,11A1316,24.0
Vila Nova de Gaia,11A1317,24.0
Alto Tâmega,11B,87.0
Boticas,11B1702,11.0
Chaves,11B1703,24.0
Montalegre,11B1706,12.0
Ribeira de Pena,11B1709,5.0
Valpaços,11B1712,17.0
Vila Pouca de Aguiar,11B1713,18.0
Tâmega e Sousa,11C,146.0
Amarante,11C1301,25.0
Baião,11C1302,11.0
Castelo de Paiva,11C0106,10.0
Celorico de Basto,11C0305,6.0
Cinfães,11C1804,9.0
Felgueiras,11C1303,14.0
Lousada,11C1305,5.0
Marco de Canaveses,11C1307,24.0
Paços de Ferreira,11C1309,5.0
Penafiel,11C1311,23.0
Resende,11C1813,14.0
Douro,11D,330.0
Alijó,11D1701,15.0
Armamar,11D1801,12.0
Carrazeda de Ansiães,11D0403,15.0
Freixo de Espada à Cinta,11D0404,11.0
Lamego,11D1805,33.0
Mesão Frio,11D1704,11.0
Moimenta da Beira,11D1807,12.0
Murça,11D1707,5.0
Penedono,11D1812,4.0
Peso da Régua,11D1708,29.0
Sabrosa,11D1710,26.0
Santa Marta de Penaguião,11D1711,14.0
São João da Pesqueira,11D1815,7.0
Sernancelhe,11D1818,19.0
Tabuaço,11D1819,21.0
Tarouca,11D1820,12.0
Torre de Moncorvo,11D0409,19.0
Vila Nova de Foz Côa,11D0914,22.0
Vila Real,11D1714,43.0
Terras de Trás-os-Montes,11E,110.0
Alfândega da Fé,11E0401,2.0
Bragança,11E0402,30.0
Macedo de Cavaleiros,11E0405,9.0
Miranda do Douro,11E0406,10.0
Mirandela,11E0407,17.0
Mogadouro,11E0408,16.0
Vila Flor,11E0410,9.0
Vimioso,11E0411,6.0
Vinhais,11E0412,11.0
Centro,16,1186.0
Oeste,16B,156.0
Alcobaça,16B1001,22.0
Alenquer,16B1101,24.0
Arruda dos Vinhos,16B1102,3.0
Bombarral,16B1005,9.0
Cadaval,16B1104,5.0
Caldas da Rainha,16B1006,13.0
Lourinhã,16B1108,6.0
Nazaré,16B1011,13.0
Óbidos,16B1012,9.0
Peniche,16B1014,16.0
Sobral de Monte Agraço,16B1112,3.0
Torres Vedras,16B1113,33.0
Região de Aveiro,16D,78.0
Águeda,16D0101,12.0
Albergaria-a-Velha,16D0102,8.0
Anadia,16D0103,9.0
Aveiro,16D0105,22.0
Estarreja,16D0108,4.0
Ílhavo,16D0110,5.0
Murtosa,16D0112,3.0
Oliveira do Bairro,16D0114,0.0
Ovar,16D0115,8.0
Sever do Vouga,16D0117,7.0
Vagos,16D0118,0.0
Região de Coimbra,16E,246.0
Arganil,16E0601,12.0
Cantanhede,16E0602,7.0
Coimbra,16E0603,62.0
Condeixa-a-Nova,16E0604,12.0
Figueira da Foz,16E0605,47.0
Góis,16E0606,8.0
Lousã,16E0607,17.0
Mealhada,16E0111,2.0
Mira,16E0608,2.0
Miranda do Corvo,16E0609,3.0
Montemor-o-Velho,16E0610,23.0
Mortágua,16E1808,1.0
Oliveira do Hospital,16E0611,23.0
Pampilhosa da Serra,16E0612,0.0
Penacova,16E0613,5.0
Penela,16E0614,7.0
Soure,16E0615,4.0
Tábua,16E0616,10.0
Vila Nova de Poiares,16E0617,1.0
Região de Leiria,16F,77.0
Alvaiázere,16F1002,3.0
Ansião,16F1003,5.0
Batalha,16F1004,16.0
Castanheira de Pêra,16F1007,1.0
Figueiró dos Vinhos,16F1008,5.0
Leiria,16F1009,17.0
Marinha Grande,16F1010,3.0
Pedrógão Grande,16F1013,5.0
Pombal,16F1015,15.0
Porto de Mós,16F1016,7.0
Viseu Dão Lafões,16G,191.0
Aguiar da Beira,16G0901,7.0
Carregal do Sal,16G1802,12.0
Castro Daire,16G1803,14.0
Mangualde,16G1806,28.0
Nelas,16G1809,16.0
Oliveira de Frades,16G1810,6.0
Penalva do Castelo,16G1811,7.0
Santa Comba Dão,16G1814,7.0
São Pedro do Sul,16G1816,11.0
Sátão,16G1817,15.0
Tondela,16G1821,20.0
Vila Nova de Paiva,16G1822,6.0
Viseu,16G1823,33.0
Vouzela,16G1824,9.0
Beira Baixa,16H,57.0
Castelo Branco,16H0502,22.0
Idanha-a-Nova,16H0505,20.0
Oleiros,16H0506,3.0
Penamacor,16H0507,6.0
Proença-a-Nova,16H0508,1.0
Vila Velha de Ródão,16H0511,5.0
Médio Tejo,16I,154.0
Abrantes,16I1401,45.0
Alcanena,16I1402,3.0
Constância,16I1408,5.0
Entroncamento,16I1410,0.0
Ferreira do Zêzere,16I1411,9.0
Mação,16I1413,11.0
Ourém,16I1421,8.0
Sardoal,16I1417,7.0
Sertã,16I0509,16.0
Tomar,16I1418,30.0
Torres Novas,16I1419,12.0
Vila de Rei,16I0510,3.0
Vila Nova da Barquinha,16I1420,5.0
Beiras e Serra da Estrela,16J,227.0
Almeida,16J0902,10.0
Belmonte,16J0501,5.0
