local,codigo,Espectadores de espetáculos ao vivo por habitante
Portugal,PT,1.6
Continente,1,1.6
Norte,11,1.4
Alto Minho,111,1.1
Arcos de Valdevez,1111601,0.0
Caminha,1111602,0.3
Melgaço,1111603,0.0
Monção,1111604,1.7
Paredes de Coura,1111605,0.0
Ponte da Barca,1111606,0.0
Ponte de Lima,1111607,1.7
Valença,1111608,2.3
Viana do Castelo,1111609,0.5
Vila Nova de Cerveira,1111610,0.0
Cávado,112,0.7
Amares,1120301,0.0
Barcelos,1120302,0.3
Braga,1120303,0.8
Esposende,1120306,2.3
Terras de Bouro,1120310,0.0
Vila Verde,1120313,0.0
Ave,119,2.2
Cabeceiras de Basto,1190304,0.0
Fafe,1190307,2.8
Guimarães,1190308,0.6
Mondim de Basto,1191705,0.7
Póvoa de Lanhoso,1190309,1.2
Vieira do Minho,1190311,0.0
Vila Nova de Famalicão,1190312,4.7
Vizela,1190314,0.0
Área Metropolitana do Porto,11A,1.6
Arouca,11A0104,1.7
Espinho,11A0107,2.8
Gondomar,11A1304,0.3
Maia,11A1306,0.4
Matosinhos,11A1308,1.7
Oliveira de Azeméis,11A0113,0.1
Paredes,11A1310,0.0
Porto,11A1312,6.5
Póvoa de Varzim,11A1313,2.0
Santa Maria da Feira,11A0109,1.6
Santo Tirso,11A1314,2.1
São João da Madeira,11A0116,2.6
Trofa,11A1318,0.0
Vale de Cambra,11A0119,0.0
Valongo,11A1315,0.7
Vila do Conde,11A1316,0.3
Vila Nova de Gaia,11A1317,0.4
Alto Tâmega e Barroso,11B,2.0
Boticas,11B1702,4.3
Chaves,11B1703,0.0
Montalegre,11B1706,0.0
Ribeira de Pena,11B1709,0.0
Valpaços,11B1712,0.0
Vila Pouca de Aguiar,11B1713,1.4
Tâmega e Sousa,11C,0.7
Amarante,11C1301,0.3
Baião,11C1302,0.0
Castelo de Paiva,11C0106,0.0
Celorico de Basto,11C0305,0.0
Cinfães,11C1804,0.4
Felgueiras,11C1303,3.1
Lousada,11C1305,0.5
Marco de Canaveses,11C1307,0.3
Paços de Ferreira,11C1309,0.1
Penafiel,11C1311,0.0
Resende,11C1813,0.0
Douro,11D,1.0
Alijó,11D1701,0.3
Armamar,11D1801,1.9
Carrazeda de Ansiães,11D0403,9.7
Freixo de Espada à Cinta,11D0404,0.0
Lamego,11D1805,0.5
Mesão Frio,11D1704,0.0
Moimenta da Beira,11D1807,0.7
Murça,11D1707,0.0
Penedono,11D1812,0.0
Peso da Régua,11D1708,0.1
Sabrosa,11D1710,0.0
Santa Marta de Penaguião,11D1711,0.0
São João da Pesqueira,11D1815,0.6
Sernancelhe,11D1818,0.0
Tabuaço,11D1819,0.0
Tarouca,11D1820,0.0
Torre de Moncorvo,11D0409,0.0
Vila Nova de Foz Côa,11D0914,0.0
Vila Real,11D1714,1.6
Terras de Trás-os-Montes,11E,0.4
Alfândega da Fé,11E0401,0.0
Bragança,11E0402,0.5
Macedo de Cavaleiros,11E0405,0.0
Miranda do Douro,11E0406,0.3
Mirandela,11E0407,0.0
Mogadouro,11E0408,0.0
Vila Flor,11E0410,0.5
Vimioso,11E0411,0.5
Vinhais,11E0412,0.0
Centro,19,2.0
Região de Aveiro,191,1.1
Águeda,1910101,0.7
Albergaria-a-Velha,1910102,0.4
Anadia,1910103,0.0
Aveiro,1910105,2.2
Estarreja,1910108,1.4
Ílhavo,1910110,1.5
Murtosa,1910112,0.0
Oliveira do Bairro,1910114,0.5
Ovar,1910115,0.3
Sever do Vouga,1910117,5.5
Vagos,1910118,0.0
Região de Coimbra,192,2.5
Arganil,1920601,0.0
Cantanhede,1920602,1.2
Coimbra,1920603,3.8
Condeixa-a-Nova,1920604,2.9
Figueira da Foz,1920605,1.5
Góis,1920606,0.0
Lousã,1920607,0.0
Mealhada,1920111,0.5
Mira,1920608,0.0
Miranda do Corvo,1920609,0.2
Montemor-o-Velho,1920610,3.7
Mortágua,1921808,1.2
Oliveira do Hospital,1920611,0.0
Pampilhosa da Serra,1920612,4.3
Penacova,1920613,0.7
Penela,1920614,0.1
Soure,1920615,4.6
Tábua,1920616,0.7
Vila Nova de Poiares,1920617,5.7
Região de Leiria,193,2.2
Alvaiázere,1931002,0.0
Ansião,1931003,0.0
Batalha,1931004,3.6
Castanheira de Pêra,1931007,0.0
Figueiró dos Vinhos,1931008,0.0
Leiria,1931009,1.8
Marinha Grande,1931010,2.9
Pedrógão Grande,1931013,0.0
Pombal,1931015,3.5
Porto de Mós,1931016,0.2
Viseu Dão Lafões,194,3.0
Aguiar da Beira,1940901,0.8
Carregal do Sal,1941802,0.0
Castro Daire,1941803,0.2
Mangualde,1941806,0.0
Nelas,1941809,0.0
Oliveira de Frades,1941810,0.0
Penalva do Castelo,1941811,1.0
Santa Comba Dão,1941814,0.0
São Pedro do Sul,1941816,0.0
Sátão,1941817,0.0
Tondela,1941821,1.3
Vila Nova de Paiva,1941822,1.0
Viseu,1941823,5.5
Vouzela,1941824,2.1
Beira Baixa,195,1.0
Castelo Branco,1950502,0.5
Idanha-a-Nova,1950505,5.8
Oleiros,1950506,0.0
Penamacor,1950507,0.0
Proença-a-Nova,1950508,0.0
Sertã,1950509,0.0
Vila de Rei,1950510,4.4
Vila Velha de Ródão,1950511,0.3
Beiras e Serra da Estrela,196,1.7
Almeida,1960902,0.0
Belmonte,1960501,5.9
Celorico da Beira,1960903,0.0
Covilhã,1960503,2.1
