local,codigo,Sessões de espetáculos ao vivo
Portugal,PT,42792.0
Continente,1,40724.0
Norte,11,11916.0
Alto Minho,111,903.0
Arcos de Valdevez,1111601,36.0
Caminha,1111602,41.0
Melgaço,1111603,0.0
Monção,1111604,203.0
Paredes de Coura,1111605,128.0
Ponte da Barca,1111606,0.0
Ponte de Lima,1111607,236.0
Valença,1111608,50.0
Viana do Castelo,1111609,150.0
Vila Nova de Cerveira,1111610,59.0
Cávado,112,878.0
Amares,1120301,12.0
Barcelos,1120302,252.0
Braga,1120303,491.0
Esposende,1120306,119.0
Terras de Bouro,1120310,0.0
Vila Verde,1120313,4.0
Ave,119,961.0
Cabeceiras de Basto,1190304,0.0
Fafe,1190307,126.0
Guimarães,1190308,355.0
Mondim de Basto,1191705,71.0
Póvoa de Lanhoso,1190309,54.0
Vieira do Minho,1190311,9.0
Vila Nova de Famalicão,1190312,331.0
Vizela,1190314,15.0
Área Metropolitana do Porto,11A,7752.0
Arouca,11A0104,135.0
Espinho,11A0107,130.0
Gondomar,11A1304,168.0
Maia,11A1306,174.0
Matosinhos,11A1308,383.0
Oliveira de Azeméis,11A0113,33.0
Paredes,11A1310,31.0
Porto,11A1312,4929.0
Póvoa de Varzim,11A1313,146.0
Santa Maria da Feira,11A0109,355.0
Santo Tirso,11A1314,143.0
São João da Madeira,11A0116,255.0
Trofa,11A1318,18.0
Vale de Cambra,11A0119,5.0
Valongo,11A1315,139.0
Vila do Conde,11A1316,100.0
Vila Nova de Gaia,11A1317,608.0
Alto Tâmega,11B,215.0
Boticas,11B1702,40.0
Chaves,11B1703,136.0
Montalegre,11B1706,0.0
Ribeira de Pena,11B1709,0.0
Valpaços,11B1712,2.0
Vila Pouca de Aguiar,11B1713,37.0
Tâmega e Sousa,11C,558.0
Amarante,11C1301,82.0
Baião,11C1302,49.0
Castelo de Paiva,11C0106,12.0
Celorico de Basto,11C0305,5.0
Cinfães,11C1804,41.0
Felgueiras,11C1303,114.0
Lousada,11C1305,90.0
Marco de Canaveses,11C1307,53.0
Paços de Ferreira,11C1309,31.0
Penafiel,11C1311,39.0
Resende,11C1813,42.0
Douro,11D,445.0
Alijó,11D1701,13.0
Armamar,11D1801,51.0
Carrazeda de Ansiães,11D0403,51.0
Freixo de Espada à Cinta,11D0404,0.0
Lamego,11D1805,15.0
Mesão Frio,11D1704,24.0
Moimenta da Beira,11D1807,23.0
Murça,11D1707,0.0
Penedono,11D1812,2.0
Peso da Régua,11D1708,6.0
Sabrosa,11D1710,1.0
Santa Marta de Penaguião,11D1711,0.0
São João da Pesqueira,11D1815,9.0
Sernancelhe,11D1818,0.0
Tabuaço,11D1819,0.0
Tarouca,11D1820,0.0
Torre de Moncorvo,11D0409,0.0
Vila Nova de Foz Côa,11D0914,15.0
Vila Real,11D1714,235.0
Terras de Trás-os-Montes,11E,204.0
Alfândega da Fé,11E0401,0.0
Bragança,11E0402,109.0
Macedo de Cavaleiros,11E0405,4.0
Miranda do Douro,11E0406,12.0
Mirandela,11E0407,25.0
Mogadouro,11E0408,0.0
