local,codigo,Constituição de pessoas coletivas e entidades equiparadas
0,0,Total
Portugal,PT,4905
Continente,1,4702
Norte,11,1618
Alto Minho,111,110
Arcos de Valdevez,1111601,12
Caminha,1111602,7
Melgaço,1111603,2
Monção,1111604,24
Paredes de Coura,1111605,0
Ponte da Barca,1111606,4
Ponte de Lima,1111607,19
Valença,1111608,13
Viana do Castelo,1111609,25
Vila Nova de Cerveira,1111610,4
Cávado,112,236
Amares,1120301,8
Barcelos,1120302,57
Braga,1120303,116
Esposende,1120306,24
Terras de Bouro,1120310,1
Vila Verde,1120313,30
Ave,119,175
Cabeceiras de Basto,1190304,3
Fafe,1190307,19
Guimarães,1190308,64
Mondim de Basto,1191705,1
Póvoa de Lanhoso,1190309,6
Vieira do Minho,1190311,5
Vila Nova de Famalicão,1190312,66
Vizela,1190314,11
Área Metropolitana do Porto,11A,815
Arouca,11A0104,9
Espinho,11A0107,15
Gondomar,11A1304,67
Maia,11A1306,50
Matosinhos,11A1308,74
Oliveira de Azeméis,11A0113,17
Paredes,11A1310,23
Porto,11A1312,218
Póvoa de Varzim,11A1313,32
Santa Maria da Feira,11A0109,58
Santo Tirso,11A1314,30
São João da Madeira,11A0116,12
Trofa,11A1318,12
Vale de Cambra,11A0119,6
Valongo,11A1315,27
Vila do Conde,11A1316,27
Vila Nova de Gaia,11A1317,138
Alto Tâmega e Barroso,11B,27
Boticas,11B1702,2
Chaves,11B1703,10
Montalegre,11B1706,3
Ribeira de Pena,11B1709,2
Valpaços,11B1712,3
Vila Pouca de Aguiar,11B1713,7
Tâmega e Sousa,11C,174
Amarante,11C1301,21
Baião,11C1302,3
Castelo de Paiva,11C0106,2
Celorico de Basto,11C0305,7
Cinfães,11C1804,5
Felgueiras,11C1303,24
Lousada,11C1305,24
Marco de Canaveses,11C1307,29
Paços de Ferreira,11C1309,33
Penafiel,11C1311,24
Resende,11C1813,2
Douro,11D,46
Alijó,11D1701,2
Armamar,11D1801,3
Carrazeda de Ansiães,11D0403,3
Freixo de Espada à Cinta,11D0404,0
Lamego,11D1805,3
Mesão Frio,11D1704,0
Moimenta da Beira,11D1807,2
Murça,11D1707,1
Penedono,11D1812,1
