local,codigo,Pessoal ao serviço dos estabelecimentos
0,0,Total
Portugal,PT,4720987
Continente,1,4535068
Norte,11,1618977
Alto Minho,111,93140
Arcos de Valdevez,1111601,8040
Caminha,1111602,4992
Melgaço,1111603,2041
Monção,1111604,6586
Paredes de Coura,1111605,2735
Ponte da Barca,1111606,3043
Ponte de Lima,1111607,15109
Valença,1111608,7138
Viana do Castelo,1111609,37113
Vila Nova de Cerveira,1111610,6343
Cávado,112,197384
Amares,1120301,5982
Barcelos,1120302,57202
Braga,1120303,98441
Esposende,1120306,16517
Terras de Bouro,1120310,1807
Vila Verde,1120313,17435
Ave,119,185255
Cabeceiras de Basto,1190304,4565
Fafe,1190307,17256
Guimarães,1190308,74943
Mondim de Basto,1191705,1650
Póvoa de Lanhoso,1190309,7409
Vieira do Minho,1190311,2862
Vila Nova de Famalicão,1190312,66967
Vizela,1190314,9603
Área Metropolitana do Porto,11A,853400
Arouca,11A0104,8592
Espinho,11A0107,9709
Gondomar,11A1304,43443
Maia,11A1306,90919
Matosinhos,11A1308,94635
Oliveira de Azeméis,11A0113,31118
Paredes,11A1310,35044
Porto,11A1312,191013
Póvoa de Varzim,11A1313,26490
Santa Maria da Feira,11A0109,55875
Santo Tirso,11A1314,26413
São João da Madeira,11A0116,18661
Trofa,11A1318,24064
Vale de Cambra,11A0119,9553
Valongo,11A1315,29125
Vila do Conde,11A1316,35670
Vila Nova de Gaia,11A1317,123076
Alto Tâmega e Barroso,11B,25153
Boticas,11B1702,1444
Chaves,11B1703,11234
Montalegre,11B1706,2601
Ribeira de Pena,11B1709,1844
Valpaços,11B1712,4780
Vila Pouca de Aguiar,11B1713,3250
Tâmega e Sousa,11C,167294
Amarante,11C1301,20026
Baião,11C1302,4846
Castelo de Paiva,11C0106,4983
Celorico de Basto,11C0305,4423
Cinfães,11C1804,7947
Felgueiras,11C1303,31274
Lousada,11C1305,20222
Marco de Canaveses,11C1307,19616
Paços de Ferreira,11C1309,25656
Penafiel,11C1311,25581
Resende,11C1813,2720
Douro,11D,62125
Alijó,11D1701,3715
Armamar,11D1801,1965
Carrazeda de Ansiães,11D0403,1686
Freixo de Espada à Cinta,11D0404,1022
Lamego,11D1805,7487
Mesão Frio,11D1704,1210
Moimenta da Beira,11D1807,2943
Murça,11D1707,1666
Penedono,11D1812,916
Peso da Régua,11D1708,4941
Sabrosa,11D1710,1944
Santa Marta de Penaguião,11D1711,2117
São João da Pesqueira,11D1815,2824
Sernancelhe,11D1818,1847
Tabuaço,11D1819,1369
Tarouca,11D1820,2308
Torre de Moncorvo,11D0409,1895
Vila Nova de Foz Côa,11D0914,2131
Vila Real,11D1714,18139
Terras de Trás-os-Montes,11E,35226
Alfândega da Fé,11E0401,1382
Bragança,11E0402,12499
Macedo de Cavaleiros,11E0405,4857
Miranda do Douro,11E0406,1924
Mirandela,11E0407,6715
Mogadouro,11E0408,2758
Vila Flor,11E0410,1899
Vimioso,11E0411,909
Vinhais,11E0412,2283
Centro,19,663537
Região de Aveiro,191,179630
Águeda,1910101,23822
Albergaria-a-Velha,1910102,11439
Anadia,1910103,10931
Aveiro,1910105,53265
Estarreja,1910108,11526
Ílhavo,1910110,15005
Murtosa,1910112,2816
Oliveira do Bairro,1910114,10996
Ovar,1910115,24687
Sever do Vouga,1910117,4823
Vagos,1910118,10320
Região de Coimbra,192,161885
Arganil,1920601,3269
Cantanhede,1920602,13455
Coimbra,1920603,61331
Condeixa-a-Nova,1920604,4705
Figueira da Foz,1920605,23792
Góis,1920606,880
Lousã,1920607,5133
Mealhada,1920111,8003
Mira,1920608,3926
Miranda do Corvo,1920609,2602
Montemor-o-Velho,1920610,6224
Mortágua,1921808,4324
Oliveira do Hospital,1920611,6654
Pampilhosa da Serra,1920612,561
Penacova,1920613,3829
Penela,1920614,2774
Soure,1920615,3678
Tábua,1920616,4238
Vila Nova de Poiares,1920617,2507
Região de Leiria,193,135886
Alvaiázere,1931002,2107
Ansião,1931003,4472
Batalha,1931004,7594
Castanheira de Pêra,1931007,808
Figueiró dos Vinhos,1931008,1199
Leiria,1931009,68727
Marinha Grande,1931010,18870
Pedrógão Grande,1931013,876
Pombal,1931015,21892
Porto de Mós,1931016,9341
Viseu Dão Lafões,194,92435
Aguiar da Beira,1940901,1545
Carregal do Sal,1941802,3829
Castro Daire,1941803,3437
Mangualde,1941806,7812
Nelas,1941809,4525
Oliveira de Frades,1941810,5765
Penalva do Castelo,1941811,1756
Santa Comba Dão,1941814,2643
São Pedro do Sul,1941816,3778
Sátão,1941817,2928
Tondela,1941821,9765
Vila Nova de Paiva,1941822,1188
Viseu,1941823,41005
Vouzela,1941824,2459
Beira Baixa,195,29378
Castelo Branco,1950502,16998
Idanha-a-Nova,1950505,1918
Oleiros,1950506,1267
Penamacor,1950507,977
Proença-a-Nova,1950508,1764
Sertã,1950509,4464
Vila de Rei,1950510,839
Vila Velha de Ródão,1950511,1151
Beiras e Serra da Estrela,196,64323
Almeida,1960902,1174
Belmonte,1960501,1960
Celorico da Beira,1960903,1449
Covilhã,1960503,15374
Figueira de Castelo Rodrigo,1960904,1407
Fornos de Algodres,1960905,1019
Fundão,1960504,9168
Gouveia,1960906,2620
Guarda,1960907,13983
Manteigas,1960908,809
Mêda,1960909,1305
Pinhel,1960910,2718
Sabugal,1960911,2248
Seia,1960912,6307
Trancoso,1960913,2782
Oeste e Vale do Tejo,1D,313761
Oeste,1D1,155856
Alcobaça,1D11001,23492
Alenquer,1D11101,19458
Arruda dos Vinhos,1D11102,5148
Bombarral,1D11005,5073
Cadaval,1D11104,4186
Caldas da Rainha,1D11006,27177
Lourinhã,1D11108,9217
Nazaré,1D11011,6187
Óbidos,1D11012,5772
Peniche,1D11014,9602
Sobral de Monte Agraço,1D11112,3329
Torres Vedras,1D11113,37215
Médio Tejo,1D2,70501
Abrantes,1D21401,9432
Alcanena,1D21402,5751
Constância,1D21408,1129
Entroncamento,1D21410,5344
Ferreira do Zêzere,1D21411,2618
Mação,1D21413,1652
Ourém,1D21421,20247
Sardoal,1D21417,743
Tomar,1D21418,10406
Torres Novas,1D21419,11916
Vila Nova da Barquinha,1D21420,1263
Lezíria do Tejo,1D3,87404
Almeirim,1D31403,8098
Alpiarça,1D31404,2174
Azambuja,1D31103,10841
Benavente,1D31405,12273
Cartaxo,1D31406,5947
Chamusca,1D31407,2640
Coruche,1D31409,5321
Golegã,1D31412,1763
Rio Maior,1D31414,8811
Salvaterra de Magos,1D31415,5593
Santarém,1D31416,23943
Grande Lisboa,1A,1256122
Grande Lisboa,1A0,1256122
Amadora,1A01115,65669
Cascais,1A01105,94319
Lisboa,1A01106,608505
Loures,1A01107,85516
Mafra,1A01109,39605
Odivelas,1A01116,49328
Oeiras,1A01110,125280
Sintra,1A01111,134829
Vila Franca de Xira,1A01114,53071
Península de Setúbal,1B,257424
Península de Setúbal,1B0,257424
Alcochete,1B01502,8514
Almada,1B01503,52525
Barreiro,1B01504,19505
Moita,1B01506,12267
Montijo,1B01507,23394
Palmela,1B01508,37076
Seixal,1B01510,45093
Sesimbra,1B01511,14125
Setúbal,1B01512,44925
Alentejo,1C,180558
Alentejo Litoral,1C1,50932
Alcácer do Sal,1C11501,4027
Grândola,1C11505,6022
Odemira,1C10211,23119
Santiago do Cacém,1C11509,9051
Sines,1C11513,8713
Baixo Alentejo,1C2,41876
Aljustrel,1C20201,2726
Almodôvar,1C20202,1684
Alvito,1C20203,615
Barrancos,1C20204,438
Beja,1C20205,15356
Castro Verde,1C20206,3527
Cuba,1C20207,1226
Ferreira do Alentejo,1C20208,3508
Mértola,1C20209,1454
Moura,1C20210,3700
Ourique,1C20212,1251
Serpa,1C20213,4893
Vidigueira,1C20214,1498
Alto Alentejo,1C3,32044
Alter do Chão,1C31201,752
Arronches,1C31202,637
Avis,1C31203,1248
Campo Maior,1C31204,2989
Castelo de Vide,1C31205,770
Crato,1C31206,732
Elvas,1C31207,7728
Fronteira,1C31208,872
Gavião,1C31209,649
Marvão,1C31210,781
Monforte,1C31211,767
Nisa,1C31212,1258
Ponte de Sor,1C31213,4355
Portalegre,1C31214,7118
Sousel,1C31215,1388
Alentejo Central,1C4,55706
Alandroal,1C40701,1363
Arraiolos,1C40702,2064
Borba,1C40703,1712
Estremoz,1C40704,4517
Évora,1C40705,24163
Montemor-o-Novo,1C40706,5283
Mora,1C40707,1108
Mourão,1C40708,682
Portel,1C40709,1295
Redondo,1C40710,2016
Reguengos de Monsaraz,1C40711,3484
Vendas Novas,1C40712,4231
Viana do Alentejo,1C40713,1451
Vila Viçosa,1C40714,2337
Algarve,15,244689
Algarve,150,244689
Albufeira,1500801,34123
Alcoutim,1500802,594
Aljezur,1500803,2890
Castro Marim,1500804,2406
Faro,1500805,34343
Lagoa,1500806,14430
Lagos,1500807,17895
Loulé,1500808,49911
Monchique,1500809,1545
Olhão,1500810,15561
Portimão,1500811,30089
São Brás de Alportel,1500812,3739
Silves,1500813,14541
Tavira,1500814,11687
Vila do Bispo,1500815,3445
Vila Real de Santo António,1500816,7490
Região Autónoma dos Açores,2,83560
Região Autónoma dos Açores,20,83560
Região Autónoma dos Açores,200,83560
Angra do Heroísmo,2004301,11714
Calheta (R.A.A.),2004501,1162
Corvo,2004901,171
Horta,2004701,5213
Lagoa (R.A.A.),2004201,3977
Lajes das Flores,2004801,429
Lajes do Pico,2004601,1226
Madalena,2004602,2591
Nordeste,2004202,776
Ponta Delgada,2004203,30630
Povoação,2004204,1647
Ribeira Grande,2004205,9189
Santa Cruz da Graciosa,2004401,1098
Santa Cruz das Flores,2004802,651
São Roque do Pico,2004603,1129
Velas,2004502,1733
Vila da Praia da Vitória,2004302,6040
Vila do Porto,2004101,1763
Vila Franca do Campo,2004206,2421
Região Autónoma da Madeira,3,102359
Região Autónoma da Madeira,30,102359
Região Autónoma da Madeira,300,102359
Calheta (R.A.M.),3003101,5363
Câmara de Lobos,3003102,7019
Funchal,3003103,61051
Machico,3003104,5088
Ponta do Sol,3003105,2833
Porto Moniz,3003106,761
Ribeira Brava,3003107,3195
Santa Cruz,3003108,12190
Santana,3003109,1348
São Vicente,3003110,1462
Porto Santo,3003201,2049
