local,codigo,Volume de negócios
0,0,Total
Portugal,PT,545818719080
Continente,1,527832838261
Norte,11,159533106669
Alto Minho,111,8395419295
Arcos de Valdevez,1111601,556968151
Caminha,1111602,272644311
Melgaço,1111603,176837471
Monção,1111604,442685032
Paredes de Coura,1111605,239292075
Ponte da Barca,1111606,196389820
Ponte de Lima,1111607,1249593690
Valença,1111608,587971927
Viana do Castelo,1111609,3834368520
Vila Nova de Cerveira,1111610,838668298
Cávado,112,20209297198
Amares,1120301,529177151
Barcelos,1120302,5010334930
Braga,1120303,11929391742
Esposende,1120306,1292641123
Terras de Bouro,1120310,90796475
Vila Verde,1120313,1356955777
Ave,119,18154641525
Cabeceiras de Basto,1190304,307853454
Fafe,1190307,1314016849
Guimarães,1190308,6870112036
Mondim de Basto,1191705,108854724
Póvoa de Lanhoso,1190309,639392417
Vieira do Minho,1190311,178523277
Vila Nova de Famalicão,1190312,7997820193
Vizela,1190314,738068575
Área Metropolitana do Porto,11A,91764577407
Arouca,11A0104,770743171
Espinho,11A0107,656282316
Gondomar,11A1304,4316352941
Maia,11A1306,11241527747
Matosinhos,11A1308,11492810225
Oliveira de Azeméis,11A0113,3457008588
Paredes,11A1310,2909030631
Porto,11A1312,19877303004
Póvoa de Varzim,11A1313,2289951116
Santa Maria da Feira,11A0109,6001149413
Santo Tirso,11A1314,2899403854
São João da Madeira,11A0116,1732344490
Trofa,11A1318,2952405346
Vale de Cambra,11A0119,1069228474
Valongo,11A1315,2633969581
Vila do Conde,11A1316,4696775597
Vila Nova de Gaia,11A1317,12768290913
Alto Tâmega e Barroso,11B,1661619250
Boticas,11B1702,86032953
Chaves,11B1703,815531288
Montalegre,11B1706,113342403
Ribeira de Pena,11B1709,150498521
Valpaços,11B1712,200241323
Vila Pouca de Aguiar,11B1713,295972762
Tâmega e Sousa,11C,12413565073
Amarante,11C1301,1747923914
Baião,11C1302,238523118
Castelo de Paiva,11C0106,284207355
Celorico de Basto,11C0305,302496805
Cinfães,11C1804,315383699
Felgueiras,11C1303,2254303226
Lousada,11C1305,1304728365
Marco de Canaveses,11C1307,1518388757
Paços de Ferreira,11C1309,2359937991
Penafiel,11C1311,1953825751
Resende,11C1813,133846092
Douro,11D,4544688387
Alijó,11D1701,231702258
Armamar,11D1801,149491916
Carrazeda de Ansiães,11D0403,120733769
Freixo de Espada à Cinta,11D0404,51449165
Lamego,11D1805,554439319
Mesão Frio,11D1704,54404936
Moimenta da Beira,11D1807,207253767
Murça,11D1707,62417376
Penedono,11D1812,29401800
Peso da Régua,11D1708,307815133
Sabrosa,11D1710,111449446
Santa Marta de Penaguião,11D1711,69655636
São João da Pesqueira,11D1815,184502361
Sernancelhe,11D1818,97363801
Tabuaço,11D1819,53391247
Tarouca,11D1820,146805964
Torre de Moncorvo,11D0409,127621369
Vila Nova de Foz Côa,11D0914,122140240
Vila Real,11D1714,1862648884
Terras de Trás-os-Montes,11E,2389298534
Alfândega da Fé,11E0401,56922892
Bragança,11E0402,909949833
Macedo de Cavaleiros,11E0405,284162775
Miranda do Douro,11E0406,232787820
Mirandela,11E0407,435618919
Mogadouro,11E0408,261656893
Vila Flor,11E0410,99947411
Vimioso,11E0411,40375869
Vinhais,11E0412,67876122
Centro,19,73951837910
Região de Aveiro,191,23223666995
Águeda,1910101,2252302259
Albergaria-a-Velha,1910102,1683422715
Anadia,1910103,958553271
Aveiro,1910105,6195744508
