local,codigo,Despesas em atividades e equipamentos desportivos dos municípios por habitante
Portugal,PT,40.3
Continente,1,41.3
Norte,11,45.0
Alto Minho,111,41.0
Arcos de Valdevez,1111601,117.9
Caminha,1111602,16.5
Melgaço,1111603,19.7
Monção,1111604,39.6
Paredes de Coura,1111605,43.9
Ponte da Barca,1111606,20.3
Ponte de Lima,1111607,32.6
Valença,1111608,93.2
Viana do Castelo,1111609,25.3
Vila Nova de Cerveira,1111610,58.9
Cávado,112,32.5
Amares,1120301,19.6
Barcelos,1120302,66.9
Braga,1120303,17.5
Esposende,1120306,35.0
Terras de Bouro,1120310,10.8
Vila Verde,1120313,16.9
Ave,119,39.5
Cabeceiras de Basto,1190304,21.5
Fafe,1190307,51.0
Guimarães,1190308,25.2
Mondim de Basto,1191705,26.3
Póvoa de Lanhoso,1190309,52.7
Vieira do Minho,1190311,20.0
Vila Nova de Famalicão,1190312,56.7
Vizela,1190314,25.8
Área Metropolitana do Porto,11A,42.7
Arouca,11A0104,103.1
Espinho,11A0107,7.8
Gondomar,11A1304,22.7
Maia,11A1306,67.8
Matosinhos,11A1308,83.6
Oliveira de Azeméis,11A0113,20.0
Paredes,11A1310,29.5
Porto,11A1312,59.4
Póvoa de Varzim,11A1313,51.8
Santa Maria da Feira,11A0109,29.5
Santo Tirso,11A1314,31.9
São João da Madeira,11A0116,60.8
Trofa,11A1318,6.4
Vale de Cambra,11A0119,54.8
Valongo,11A1315,44.7
Vila do Conde,11A1316,22.2
Vila Nova de Gaia,11A1317,27.3
Alto Tâmega e Barroso,11B,110.4
Boticas,11B1702,99.9
Chaves,11B1703,30.1
Montalegre,11B1706,338.7
Ribeira de Pena,11B1709,307.8
Valpaços,11B1712,53.1
Vila Pouca de Aguiar,11B1713,165.6
Tâmega e Sousa,11C,51.2
Amarante,11C1301,37.4
Baião,11C1302,39.2
Castelo de Paiva,11C0106,26.0
Celorico de Basto,11C0305,76.9
Cinfães,11C1804,99.9
Felgueiras,11C1303,90.7
Lousada,11C1305,15.9
Marco de Canaveses,11C1307,50.3
Paços de Ferreira,11C1309,47.8
Penafiel,11C1311,43.9
Resende,11C1813,80.1
Douro,11D,66.6
Alijó,11D1701,42.1
Armamar,11D1801,548.6
Carrazeda de Ansiães,11D0403,49.3
Freixo de Espada à Cinta,11D0404,122.6
Lamego,11D1805,30.1
Mesão Frio,11D1704,64.4
Moimenta da Beira,11D1807,63.2
Murça,11D1707,30.9
Penedono,11D1812,48.3
Peso da Régua,11D1708,28.8
Sabrosa,11D1710,53.6
Santa Marta de Penaguião,11D1711,40.7
São João da Pesqueira,11D1815,10.7
Sernancelhe,11D1818,72.3
Tabuaço,11D1819,13.7
Tarouca,11D1820,53.8
Torre de Moncorvo,11D0409,115.6
Vila Nova de Foz Côa,11D0914,23.1
Vila Real,11D1714,67.0
Terras de Trás-os-Montes,11E,49.6
Alfândega da Fé,11E0401,59.3
Bragança,11E0402,25.3
Macedo de Cavaleiros,11E0405,46.0
Miranda do Douro,11E0406,48.8
Mirandela,11E0407,60.0
Mogadouro,11E0408,83.3
Vila Flor,11E0410,95.5
Vimioso,11E0411,22.9
Vinhais,11E0412,76.6
Centro,19,47.0
Região de Aveiro,191,46.5
Águeda,1910101,38.5
Albergaria-a-Velha,1910102,85.1
Anadia,1910103,22.7
Aveiro,1910105,66.1
Estarreja,1910108,54.5
Ílhavo,1910110,40.8
Murtosa,1910112,41.0
Oliveira do Bairro,1910114,51.3
Ovar,1910115,22.2
Sever do Vouga,1910117,32.0
Vagos,1910118,41.5
Região de Coimbra,192,47.5
Arganil,1920601,41.8
Cantanhede,1920602,41.0
Coimbra,1920603,45.1
Condeixa-a-Nova,1920604,22.6
Figueira da Foz,1920605,14.6
Góis,1920606,47.2
Lousã,1920607,80.6
Mealhada,1920111,83.6
Mira,1920608,62.4
Miranda do Corvo,1920609,42.3
Montemor-o-Velho,1920610,74.7
Mortágua,1921808,139.3
Oliveira do Hospital,1920611,47.5
Pampilhosa da Serra,1920612,51.4
Penacova,1920613,60.7
Penela,1920614,94.3
Soure,1920615,48.3
Tábua,1920616,37.2
Vila Nova de Poiares,1920617,21.1
Região de Leiria,193,33.9
Alvaiázere,1931002,33.9
Ansião,1931003,61.1
Batalha,1931004,49.8
Castanheira de Pêra,1931007,6.7
Figueiró dos Vinhos,1931008,57.5
Leiria,1931009,23.1
Marinha Grande,1931010,35.5
Pedrógão Grande,1931013,80.7
Pombal,1931015,44.0
Porto de Mós,1931016,36.2
Viseu Dão Lafões,194,51.5
Aguiar da Beira,1940901,23.1
Carregal do Sal,1941802,35.5
Castro Daire,1941803,31.8
Mangualde,1941806,40.7
Nelas,1941809,21.3
Oliveira de Frades,1941810,66.8
Penalva do Castelo,1941811,82.7
Santa Comba Dão,1941814,30.5
São Pedro do Sul,1941816,75.9
Sátão,1941817,89.8
Tondela,1941821,40.7
Vila Nova de Paiva,1941822,95.3
Viseu,1941823,50.2
Vouzela,1941824,94.6
Beira Baixa,195,84.7
Castelo Branco,1950502,45.4
Idanha-a-Nova,1950505,241.1
Oleiros,1950506,79.8
Penamacor,1950507,85.2
Proença-a-Nova,1950508,122.6
Sertã,1950509,124.5
Vila de Rei,1950510,99.8
Vila Velha de Ródão,1950511,44.7
Beiras e Serra da Estrela,196,41.9
Almeida,1960902,123.9
Belmonte,1960501,31.2
Celorico da Beira,1960903,50.9
Covilhã,1960503,35.0
Figueira de Castelo Rodrigo,1960904,15.5
Fornos de Algodres,1960905,41.5
Fundão,1960504,24.6
Gouveia,1960906,61.7
Guarda,1960907,35.8
Manteigas,1960908,55.2
Mêda,1960909,24.3
Pinhel,1960910,33.3
Sabugal,1960911,63.5
Seia,1960912,42.7
Trancoso,1960913,80.3
Oeste e Vale do Tejo,1D,46.7
Oeste,1D1,30.3
Alcobaça,1D11001,25.0
Alenquer,1D11101,13.1
Arruda dos Vinhos,1D11102,36.3
Bombarral,1D11005,23.4
Cadaval,1D11104,15.4
Caldas da Rainha,1D11006,49.0
Lourinhã,1D11108,18.0
Nazaré,1D11011,135.3
Óbidos,1D11012,38.4
Peniche,1D11014,36.5
Sobral de Monte Agraço,1D11112,45.7
Torres Vedras,1D11113,14.2
Médio Tejo,1D2,68.7
Abrantes,1D21401,111.8
Alcanena,1D21402,81.0
Constância,1D21408,150.7
Entroncamento,1D21410,49.9
Ferreira do Zêzere,1D21411,42.1
Mação,1D21413,152.4
Ourém,1D21421,55.9
Sardoal,1D21417,125.9
Tomar,1D21418,45.0
Torres Novas,1D21419,57.8
Vila Nova da Barquinha,1D21420,39.5
Lezíria do Tejo,1D3,52.9
Almeirim,1D31403,50.7
Alpiarça,1D31404,58.4
Azambuja,1D31103,19.5
Benavente,1D31405,75.5
Cartaxo,1D31406,26.0
Chamusca,1D31407,72.4
Coruche,1D31409,70.3
Golegã,1D31412,33.4
Rio Maior,1D31414,85.2
Salvaterra de Magos,1D31415,42.3
Santarém,1D31416,50.7
Grande Lisboa,1A,16.5
Grande Lisboa,1A0,16.5
Amadora,1A01115,6.4
Cascais,1A01105,16.8
Lisboa,1A01106,17.6
Loures,1A01107,9.2
Mafra,1A01109,7.6
Odivelas,1A01116,30.9
Oeiras,1A01110,20.9
Sintra,1A01111,12.8
Vila Franca de Xira,1A01114,30.6
Península de Setúbal,1B,31.3
Península de Setúbal,1B0,31.3
Alcochete,1B01502,31.4
Almada,1B01503,30.7
Barreiro,1B01504,16.8
Moita,1B01506,49.4
Montijo,1B01507,11.4
Palmela,1B01508,18.4
Seixal,1B01510,54.2
Sesimbra,1B01511,30.0
Setúbal,1B01512,17.4
Alentejo,1C,64.9
Alentejo Litoral,1C1,73.6
Alcácer do Sal,1C11501,152.3
Grândola,1C11505,142.5
Odemira,1C10211,42.0
Santiago do Cacém,1C11509,60.0
Sines,1C11513,44.2
Baixo Alentejo,1C2,59.9
Aljustrel,1C20201,74.6
Almodôvar,1C20202,51.6
Alvito,1C20203,138.2
Barrancos,1C20204,66.2
Beja,1C20205,26.6
Castro Verde,1C20206,98.8
Cuba,1C20207,68.5
Ferreira do Alentejo,1C20208,21.6
Mértola,1C20209,84.3
Moura,1C20210,58.5
Ourique,1C20212,39.5
Serpa,1C20213,97.4
Vidigueira,1C20214,118.0
Alto Alentejo,1C3,67.8
Alter do Chão,1C31201,124.8
Arronches,1C31202,219.9
Avis,1C31203,171.2
Campo Maior,1C31204,50.5
Castelo de Vide,1C31205,173.7
Crato,1C31206,109.4
Elvas,1C31207,20.8
Fronteira,1C31208,86.7
Gavião,1C31209,22.7
Marvão,1C31210,16.0
Monforte,1C31211,96.3
Nisa,1C31212,101.7
Ponte de Sor,1C31213,82.2
Portalegre,1C31214,34.7
Sousel,1C31215,92.5
Alentejo Central,1C4,61.1
Alandroal,1C40701,63.1
Arraiolos,1C40702,92.6
Borba,1C40703,30.4
Estremoz,1C40704,10.1
Évora,1C40705,28.2
Montemor-o-Novo,1C40706,105.1
Mora,1C40707,55.4
Mourão,1C40708,190.3
Portel,1C40709,264.0
Redondo,1C40710,50.8
Reguengos de Monsaraz,1C40711,74.9
Vendas Novas,1C40712,55.3
Viana do Alentejo,1C40713,107.6
Vila Viçosa,1C40714,57.1
Algarve,15,87.2
Algarve,150,87.2
Albufeira,1500801,79.7
Alcoutim,1500802,145.9
Aljezur,1500803,86.9
Castro Marim,1500804,75.0
Faro,1500805,46.2
Lagoa,1500806,202.4
Lagos,1500807,131.9
Loulé,1500808,181.2
Monchique,1500809,89.1
Olhão,1500810,44.9
Portimão,1500811,32.7
São Brás de Alportel,1500812,95.0
Silves,1500813,50.5
Tavira,1500814,50.0
Vila do Bispo,1500815,62.0
Vila Real de Santo António,1500816,67.3
Região Autónoma dos Açores,2,23.7
Região Autónoma dos Açores,20,23.7
Região Autónoma dos Açores,200,23.7
Angra do Heroísmo,2004301,35.9
Calheta (R.A.A.),2004501,11.4
Corvo,2004901,0.6
Horta,2004701,20.2
Lagoa (R.A.A.),2004201,11.5
Lajes das Flores,2004801,2.5
Lajes do Pico,2004601,20.0
Madalena,2004602,17.6
Nordeste,2004202,20.6
Ponta Delgada,2004203,18.5
Povoação,2004204,15.6
Ribeira Grande,2004205,23.1
Santa Cruz da Graciosa,2004401,93.0
Santa Cruz das Flores,2004802,14.0
São Roque do Pico,2004603,21.1
Velas,2004502,28.9
Vila da Praia da Vitória,2004302,13.0
Vila do Porto,2004101,92.3
Vila Franca do Campo,2004206,17.7
Região Autónoma da Madeira,3,16.5
Região Autónoma da Madeira,30,16.5
Região Autónoma da Madeira,300,16.5
Calheta (R.A.M.),3003101,36.3
Câmara de Lobos,3003102,33.3
Funchal,3003103,5.2
Machico,3003104,41.1
Ponta do Sol,3003105,31.4
Porto Moniz,3003106,78.0
Ribeira Brava,3003107,18.9
Santa Cruz,3003108,2.6
Santana,3003109,22.9
São Vicente,3003110,57.5
Porto Santo,3003201,19.9
