local,codigo,Despesas em bibliotecas e arquivos
2023,Portugal,88722301.0
0,Continente,86473670.0
0,Norte,29682323.0
0,Alto Minho,3377844.0
0,Arcos de Valdevez,225317.0
0,Caminha,359086.0
0,Melgaço,236997.0
0,Monção,305366.0
0,Paredes de Coura,221217.0
0,Ponte da Barca,147174.0
0,Ponte de Lima,278760.0
0,Valença,340967.0
0,Viana do Castelo,934916.0
0,Vila Nova de Cerveira,328044.0
0,Cávado,1960157.0
0,Amares,180493.0
0,Barcelos,749480.0
0,Braga,246143.0
0,Esposende,357024.0
0,Terras de Bouro,58287.0
0,Vila Verde,368730.0
0,Ave,3907068.0
0,Cabeceiras de Basto,57590.0
0,Fafe,438083.0
0,Guimarães,1669789.0
0,Mondim de Basto,54872.0
0,Póvoa de Lanhoso,394756.0
0,Vieira do Minho,163511.0
0,Vila Nova de Famalicão,1126940.0
0,Vizela,1527.0
0,Área Metropolitana do Porto,13529612.0
0,Arouca,231231.0
0,Espinho,347472.0
0,Gondomar,69394.0
0,Maia,469038.0
0,Matosinhos,1054829.0
0,Oliveira de Azeméis,511834.0
0,Paredes,210270.0
0,Porto,4407352.0
0,Póvoa de Varzim,856785.0
0,Santa Maria da Feira,1129060.0
0,Santo Tirso,306651.0
0,São João da Madeira,292926.0
0,Trofa,8808.0
0,Vale de Cambra,466365.0
0,Valongo,676998.0
0,Vila do Conde,915495.0
0,Vila Nova de Gaia,1575104.0
0,Alto Tâmega,1149513.0
0,Boticas,84103.0
0,Chaves,304624.0
0,Montalegre,178263.0
0,Ribeira de Pena,233226.0
0,Valpaços,214127.0
0,Vila Pouca de Aguiar,135170.0
0,Tâmega e Sousa,2762775.0
0,Amarante,236774.0
0,Baião,169784.0
0,Castelo de Paiva,141893.0
0,Celorico de Basto,482412.0
0,Cinfães,145860.0
0,Felgueiras,345706.0
0,Lousada,178262.0
0,Marco de Canaveses,7207.0
0,Paços de Ferreira,130386.0
0,Penafiel,598031.0
0,Resende,326460.0
0,Douro,2082705.0
0,Alijó,135423.0
0,Armamar,42233.0
0,Carrazeda de Ansiães,97797.0
0,Freixo de Espada à Cinta,146767.0
0,Lamego,218696.0
0,Mesão Frio,92424.0
0,Moimenta da Beira,24953.0
0,Murça,102618.0
0,Penedono,32979.0
0,Peso da Régua,3190.0
0,Sabrosa,29868.0
0,Santa Marta de Penaguião,42513.0
0,São João da Pesqueira,120654.0
0,Sernancelhe,82287.0
0,Tabuaço,72681.0
0,Tarouca,47931.0
0,Torre de Moncorvo,236996.0
0,Vila Nova de Foz Côa,87987.0
0,Vila Real,464708.0
0,Terras de Trás-os-Montes,912649.0
0,Alfândega da Fé,85222.0
0,Bragança,206602.0
0,Macedo de Cavaleiros,44755.0
0,Miranda do Douro,83908.0
0,Mirandela,204007.0
0,Mogadouro,101748.0
0,Vila Flor,173107.0
0,Vimioso,197.0
0,Vinhais,13103.0
0,Centro,25031103.0
0,Oeste,2411289.0
0,Alcobaça,192502.0
0,Alenquer,318933.0
0,Arruda dos Vinhos,56911.0
0,Bombarral,24861.0
0,Cadaval,115000.0
0,Caldas da Rainha,220775.0
0,Lourinhã,320207.0
0,Nazaré,214352.0
0,Óbidos,76978.0
0,Peniche,115789.0
0,Sobral de Monte Agraço,335531.0
0,Torres Vedras,419450.0
0,Região de Aveiro,3334263.0
0,Águeda,145204.0
0,Albergaria-a-Velha,524771.0
0,Anadia,142106.0
0,Aveiro,840763.0
0,Estarreja,218002.0
0,Ílhavo,504793.0
0,Murtosa,118090.0
0,Oliveira do Bairro,235729.0
0,Ovar,274806.0
0,Sever do Vouga,253938.0
0,Vagos,76061.0
0,Região de Coimbra,6094386.0
0,Arganil,305442.0
0,Cantanhede,376700.0
0,Coimbra,2018670.0
0,Condeixa-a-Nova,187489.0
0,Figueira da Foz,644729.0
0,Góis,110389.0
0,Lousã,176292.0
0,Mealhada,270760.0
0,Mira,158236.0
0,Miranda do Corvo,176751.0
0,Montemor-o-Velho,226680.0
